,Absolute Bias,Standard Error,95% CI Length
posterior_phi,0.051010966300964355,0.0008840236067771912,0.3674393162131308
posterior_sigma,0.0476381778717041,0.0009739250689744949,0.4169628426432609
posterior_beta3,0.850675106048584,0.006900056004524231,2.5615957379341125
posterior_rho,0.04618808627128601,0.0011875903606414794,0.47618126347661
posterior_g1,0.09901865630938689,0.0022842834889888765,0.8956171512603754
posterior_g2,0.09510862827301025,0.0009287182241678238,0.36310489624738707
posterior_g3,0.03865545988082886,0.0008101513981819152,0.3204018428921698
posterior_g4,0.14661145210266113,0.001279006153345108,0.5055929884314536
