,Absolute Bias,Standard Error,95% CI Length
posterior_phi,0.8254695869862654,0.004310774074111445,1.5540083363652228
posterior_sigma,0.7465618848800659,0.0008623043447732925,0.3142458971589803
posterior_beta3,3.925257682800293,0.023994266986846924,9.91667947173118
posterior_rho,0.39625734090805054,0.0010620054602622985,0.37852970808744424
posterior_g1,2.7080612784583775,0.010108463764190674,4.004912507534026
posterior_g2,0.9961574578192085,0.009901567697525024,3.817964950203895
posterior_g3,1.0003285427228548,0.010097863674163819,4.008665865659713
posterior_g4,0.9868449894711375,0.0100568687915802,3.954496902227402
