,Absolute Bias,Standard Error,95% CI Length
posterior_phi,0.05060449242591858,0.0014871481060981752,0.5207666434347629
posterior_sigma,0.010089278221130371,0.0008907953649759293,0.3404878914356231
posterior_beta3,0.2428750991821289,0.011779917478561401,4.759095484018325
posterior_rho,0.09335121512413025,0.0016316431760787964,0.6915378876030445
posterior_g1,0.10125979095294158,0.002399370223283768,0.9448586046695708
posterior_g2,0.045064449310302734,0.0010756710916757584,0.42128312438726434
posterior_g3,0.08117938041687012,0.0008210840821266174,0.3200635731220246
posterior_g4,0.0946420431137085,0.001278509944677353,0.4996717959642407
