,posterior_phi,posterior_sigma,posterior_beta3,posterior_rho,posterior_g1,posterior_g2,posterior_g3,posterior_g4
0,0.44360498,1.0585759,3.8319614,0.88557345,2.7396388,1.0503783,0.8738759,1.0328883
1,0.50351423,1.0165615,6.0132356,0.4769839,2.6068287,1.1092768,0.75400764,0.91032785
2,0.5091269,0.97184116,5.270871,0.71818185,2.4673142,0.9304487,0.82184404,1.1896217
3,0.34175715,1.1127868,3.2964525,0.9180301,2.7200422,1.0153104,0.9419055,1.1257663
4,0.42679736,1.0553577,4.5715394,0.7137034,2.6877513,0.98130167,0.7531954,1.0428339
5,0.43042013,1.0759923,6.1357822,0.49951884,2.5807192,1.1026844,0.74946576,1.0823238
6,0.4673624,1.0100262,6.739875,0.27428088,2.5583363,1.0925853,0.8634193,0.96584785
7,0.4574622,1.0114826,5.570658,0.4813206,2.5968366,0.9788039,0.7861359,1.006992
8,0.6738435,0.8017974,4.812277,0.54818046,2.339912,0.9190384,0.7915676,1.2665045
9,0.507409,0.984647,5.6093774,0.721465,2.375753,1.148761,0.9009068,1.1480027
10,0.7211721,0.72207785,4.439201,0.57972515,2.159938,1.0742189,0.853254,1.2034976
11,0.52655756,0.9911619,5.362976,0.66483706,2.4793751,1.0846561,0.9116845,1.0104145
12,0.5191959,0.9623598,6.779872,0.41379648,2.418094,0.9764799,0.9937704,0.99327266
13,0.8012631,0.63523245,5.572606,0.33618745,2.2831922,1.0022949,0.87892115,0.96687573
14,0.3751034,1.0967479,4.825028,0.58405656,2.8156097,0.9684992,0.6986106,1.0187865
15,0.40499958,1.0676688,5.8488164,0.66276187,2.6587195,1.0331713,0.7303341,0.9858914
16,0.5071933,1.0137875,5.1989436,0.79586923,2.510985,0.9534285,0.8708092,1.229746
17,0.45428872,1.0465319,4.959695,0.79335,2.5548046,1.0720987,0.83784264,0.9879751
18,0.5988049,0.9124162,6.491943,0.43799996,2.322729,1.0272661,0.8168155,1.2751553
19,0.41629857,1.0614359,4.363689,0.39269382,2.8403947,1.0578216,0.7318758,0.87528336
20,0.4058015,1.0921272,5.3445635,0.49598598,2.6657174,0.9435572,0.8623785,1.0801141
21,0.4979099,1.0106125,5.404327,0.7603603,2.6115503,0.95161426,0.7396811,1.0959599
22,0.47938964,1.0116639,5.008975,0.8036802,2.4267867,1.0891159,0.88405544,1.1279252
