,Absolute Bias,Standard Error,95% CI Length
posterior_phi,0.06051534414291382,0.001227267161011696,0.4931128218770027
posterior_sigma,0.04017221927642822,0.0012063223868608475,0.48622482717037196
posterior_beta3,1.1721374988555908,0.006093922257423401,2.465228056907653
posterior_rho,0.07568967342376709,0.0017045173048973084,0.6339876659214496
posterior_g1,0.1655176511366574,0.0022370050847530364,0.8787224829196925
posterior_g2,0.012629687786102295,0.0008505137264728546,0.33493720889091494
posterior_g3,0.09694433212280273,0.0009293804317712784,0.363027000427246
posterior_g4,0.13969528675079346,0.00124346524477005,0.48583086729049685
