,Absolute Bias,Standard Error,95% CI Length
posterior_phi,0.11042258143424988,0.0010848864912986755,0.4280038218945264
posterior_sigma,0.06445980072021484,0.0007493981719017029,0.2923198908567428
posterior_beta3,0.4182887077331543,0.01108294129371643,4.380126577615737
posterior_rho,0.05867445468902588,0.0020273077487945558,0.7597914949059486
posterior_g1,0.12260636001422087,0.002296357899904251,0.9074492037296293
posterior_g2,0.010516643524169922,0.0010068412125110626,0.3935919746756553
posterior_g3,0.062155842781066895,0.0009821254014968873,0.3818958908319474
posterior_g4,0.10288882255554199,0.0013128040730953216,0.5155435934662818
