,posterior_phi,posterior_sigma,posterior_beta3,posterior_rho,posterior_g1,posterior_g2,posterior_g3,posterior_g4
64,0.3923133,1.0528295,6.998196,0.5209914,2.4540315,1.1055658,0.8551798,0.99181205
65,0.3446874,1.0938677,4.5082254,0.47596282,2.5838382,0.96814895,0.87898463,1.1047528
66,0.30838287,1.0835706,3.8954487,0.5560827,2.685086,1.130028,0.8827451,0.8857967
67,0.4864382,1.002772,6.5317335,0.41122618,2.5164762,0.9334507,0.86239624,1.0335661
68,0.18747175,1.1344393,5.803756,0.3484216,2.6221766,0.94770527,0.8004659,1.0969545
69,0.39285943,1.0759333,3.9392612,0.42121196,2.5780003,1.1627239,0.8161253,1.0600846
70,0.23885024,1.1009462,6.7228236,0.3900845,2.3827407,0.8872964,1.0009449,1.071557
71,0.508584,0.98517764,3.9080622,0.41135192,2.715248,0.94433105,0.73473424,0.9686717
72,0.4155627,1.0557079,3.6236265,0.5730879,2.8269,1.0639895,0.7382559,1.1383035
73,0.4974036,0.99770975,4.720477,0.31550273,2.6935174,0.9354628,0.7725293,0.9853828
74,0.50596374,0.98666877,5.623159,0.54235804,2.4414732,1.0403924,0.7935199,1.0004677
75,0.524301,0.9628487,6.2431717,0.4440858,2.4509633,1.0395707,0.8423257,0.9513948
76,0.44655392,1.0183012,5.019611,0.40946838,2.5956087,1.0455943,0.9326431,0.9073204
77,0.49636003,0.9642787,5.382068,0.69881946,2.3212616,0.776057,0.9905328,1.2063332
78,0.4763034,0.9882016,6.0182242,0.36292642,2.4366572,0.8193243,0.9172057,1.1012614
79,0.39687192,1.0558742,2.9645426,0.9000029,3.0759594,0.87865555,0.70013624,0.8901267
80,0.45673656,1.0115347,5.594745,0.28980687,2.3791428,0.9944821,0.9352597,1.1978908
81,0.42988104,1.04914,6.8025036,0.34213537,2.4342098,1.0584786,0.87938267,1.0323801
82,0.42330277,1.04876,5.4068074,0.4632205,2.6609044,0.99045604,0.8522854,0.83309454
83,0.41384685,1.0610389,3.4953434,0.81599426,2.7155063,0.92268133,0.90101445,1.0913504
84,0.35834256,1.0777919,3.27471,0.8072183,2.93845,1.0841447,0.68173665,0.8464367
85,0.38010463,1.0838449,4.6934867,0.48967376,2.7128687,0.905777,0.9205947,1.1797848
86,0.3614203,1.0310203,7.4207487,0.8465818,2.2474818,0.94003487,1.0268394,1.0792581
87,0.15156338,1.0912311,6.306499,0.27898428,2.3957381,1.0827936,0.799821,1.0259593
88,0.41107255,1.014249,4.940477,0.25557023,2.5605094,0.93022996,0.7153352,1.0582116
89,0.47173837,0.9652885,4.9332666,0.13279931,2.5939612,0.7377332,0.93047285,1.1125193
90,0.4846165,1.0207158,4.3524456,0.47794938,2.740643,0.9875901,0.95058656,1.0558149
91,0.2909828,1.1065712,4.3913994,0.41309202,2.6052454,0.795606,0.7942261,1.1770352
92,0.5153712,0.98835677,2.8513174,0.8138153,2.9313464,1.0612533,0.94186836,0.9610369
93,0.42894834,1.0470074,4.0951996,0.5124335,2.8109176,0.9271168,1.0121524,0.93215424
94,0.5270007,0.98152363,3.0485058,0.68895924,3.0569577,0.9928714,0.83917487,0.90429944
95,0.15996397,1.159115,4.297757,0.57170355,2.6401577,0.972135,0.9096057,1.2418603
96,0.4203242,1.042602,3.8221858,0.5008002,2.6853561,0.8959611,0.9663258,0.91920793
97,0.3706326,1.0842856,4.1758246,0.63586575,2.8027167,0.966728,0.82748836,1.0588876
98,0.24079435,1.0307403,8.399405,0.40676355,2.2913847,0.94788677,0.882549,0.9998591
99,0.48710114,0.98738104,5.8695455,0.35567504,2.541326,0.95667166,0.80122507,1.0468751
100,0.41448897,1.0580381,4.179961,0.58044285,2.801229,0.9831755,0.9357079,0.82464904
101,0.45967796,1.0316341,5.266994,0.37471622,2.540093,1.2165635,0.81937426,1.0500398
102,0.5238714,0.98062664,3.404376,0.65738016,2.911698,1.0289966,0.84320647,0.8554923
103,0.2969451,1.1121265,4.8328004,0.48066124,2.6075964,1.1121312,0.91682535,0.9662632
104,0.3946,1.0664552,5.0790644,0.45056698,2.5619774,0.9844346,0.93505955,1.1712033
105,0.351424,1.0564778,2.4408753,0.820265,3.1381664,0.9361714,0.8331254,0.8950927
106,0.4143012,1.0484272,5.6383605,0.58294344,2.493369,0.9431212,1.0138644,0.9878373
107,0.32345387,1.0941888,4.1686583,0.48898056,2.5592122,1.0749024,0.9897887,1.0775595
108,0.21966435,1.1099793,3.2438247,0.6831563,2.868817,0.9753543,0.79944265,1.0532742
109,0.43547142,1.0629419,3.2147288,0.9284713,2.6161804,0.9592994,1.0199509,1.1138376
110,0.35896653,1.0663491,2.5065186,0.8966662,2.8686485,1.0121868,0.8377214,1.0972949
111,0.330473,1.0465844,11.972908,0.3492192,2.3526676,0.98294616,0.91103315,1.0036688
112,0.46825284,0.9858851,8.851079,0.34910768,2.3532379,0.89415514,0.9991502,1.0053946
113,0.5343955,0.9803437,3.55569,0.63122445,2.8372092,1.0245148,0.91291666,0.96674037
114,0.42627922,1.0003903,6.2266774,0.5615,2.4001944,0.89492524,0.94091016,0.964534
115,0.3547227,1.0762273,4.1092877,0.47826603,2.866935,1.0420394,0.7686742,0.9090154
116,0.3377179,1.0840381,4.671487,0.26535252,2.8677804,0.9248446,0.90285677,0.91808933
