,Absolute Bias,Standard Error,95% CI Length
posterior_beta2,0.027611243724823042,0.0007659779489040375,0.3262698411941528
posterior_beta1,0.0041183710098267046,0.00017644505947828293,0.07182780057191851
posterior_beta3,1.1104607582092285,0.014273257255554199,5.492541152238845
posterior_rho,0.15271717309951782,0.0020684908330440522,0.7900770645588635
posterior_g1,0.029464327390929856,0.0022037380933761595,0.8593378424644471
posterior_g2,0.022111058235168457,0.0007475990056991577,0.29248258620500567
posterior_g3,0.038612961769104004,0.000837046429514885,0.32979673892259587
posterior_g4,0.11758208274841309,0.000850130096077919,0.3337377220392228
