,Absolute Bias,Standard Error,95% CI Length
posterior_beta2,0.02511210441589351,0.000991932526230812,0.40994437485933277
posterior_beta1,0.010246543787458151,0.0005513929993936435,0.08967491388320925
posterior_beta3,0.15190495861291886,0.012835955901501455,4.901110917329788
posterior_rho,0.14890402555465698,0.002107704728841782,0.7414814706891775
posterior_g1,0.08831468910382112,0.0027195468544960024,1.0614376962184902
posterior_g2,0.003530263900756836,0.0008491834998130798,0.3328732192516327
posterior_g3,0.00040471553802490234,0.0008737694472074509,0.3442304015159606
posterior_g4,0.017564475536346436,0.0009205438196659088,0.3640114709734916
