,Absolute Bias,Standard Error,95% CI Length
posterior_beta2,0.010232734680175826,0.0008794388175010681,0.34817452877759925
posterior_beta1,0.0021516561508179155,0.00029655132442712784,0.11492651998996739
posterior_beta3,0.2844228744506836,0.01240458369255066,4.87651714682579
posterior_rho,0.04235631227493286,0.001965760886669159,0.72352743409574
posterior_g1,0.0757356515486447,0.002204398065805435,0.8691897392272945
posterior_g2,0.06634020805358887,0.0007525443285703659,0.2937810629606248
posterior_g3,0.03909045457839966,0.0007919563353061676,0.31036942899227127
posterior_g4,0.02553868293762207,0.0007927235960960388,0.3082854688167571
