,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_phi,posterior_sigma,posterior_beta3,posterior_rho
0,2.1744826,-0.010778924,-0.21790038,0.3303779,0.6394549608230591,0.17389720678329468,2.5255239009857178,1.0668952
1,2.1550148,-0.021910954,-0.13158514,0.26409328,0.40379798412323,0.2003595232963562,2.487658977508545,1.1221455
2,2.1106124,0.060901336,-0.16769117,0.24261421,0.1430475264787674,0.2240736186504364,2.5732421875,1.122789
3,2.3804016,-0.0692868,-0.19638231,0.38006696,0.4142332971096039,0.19115003943443298,2.0011982917785645,1.1396754
4,2.274355,-0.035133176,-0.26405057,0.3857562,0.4478248059749603,0.19011692702770233,2.219855785369873,1.0700209
5,2.0084074,-0.02730398,-0.072385214,0.24530882,0.3461078405380249,0.16435208916664124,2.8135478496551514,0.92750907
6,2.0547333,0.023533506,-0.098651215,0.10692224,0.4154362380504608,0.19522343575954437,2.8035378456115723,1.1118824
7,2.311964,-0.033326738,-0.09484426,0.2395912,0.05206646770238876,0.1385693997144699,2.249098062515259,1.1244531
8,2.082173,0.010557138,-0.112782866,0.274077,0.6627988815307617,0.1534852683544159,2.575226068496704,1.0882432
9,1.9268479,0.01484329,-0.07603245,0.22794679,0.6858168840408325,0.1499081403017044,2.8434371948242188,1.1130103
10,2.2989025,0.037648913,-0.14107382,0.27621692,-0.8396938443183899,0.10299506783485413,2.209287643432617,1.1063428
11,2.295415,-0.0464166,-0.15226954,0.22008878,-0.6969659328460693,0.1492670327425003,2.2382712364196777,1.1169177
12,2.3045104,-0.04326242,-0.120032884,0.3239599,-0.7343253493309021,0.09372952580451965,2.0,1.1339984
13,2.3503752,-0.036830287,-0.21717243,0.42790273,-0.7856802940368652,0.12975625693798065,2.0604407787323,1.0754257
14,2.4271882,-0.03759911,-0.28387782,0.26172155,-0.8609721660614014,0.08735297620296478,2.1599066257476807,1.1175877
15,2.04713,0.1018533,-0.15837124,0.2465062,0.851855456829071,0.10778430104255676,2.6403770446777344,1.1018192
16,2.3569334,-0.048286285,-0.1673858,0.2355319,-0.7564977407455444,0.15043848752975464,2.1845507621765137,1.106197
17,2.2887902,-0.002966248,-0.04061515,0.22618829,-0.7359410524368286,0.1097458004951477,2.1171047687530518,1.1221836
18,2.1709523,0.08254552,-0.07984679,0.10633027,0.4790194630622864,0.19126714766025543,2.158724546432495,1.0950133
19,2.1612868,-0.07548988,-0.13622497,0.24033989,0.5579081177711487,0.16174407303333282,2.474457025527954,1.127694
20,2.1840827,0.023981765,-0.0278777,0.1411981,-0.2612342834472656,0.1673712581396103,2.2165443897247314,1.1086748
21,2.3377695,-0.08957073,-0.21776207,0.352904,-0.3229741156101227,0.17517244815826416,2.1027677059173584,1.0970248
22,2.1731756,0.05621472,-0.14562777,0.28026295,0.7392765283584595,0.135856032371521,2.3916797637939453,1.1155404
23,2.4375734,0.013477297,-0.1349446,0.1998641,-0.6368762254714966,0.16042692959308624,2.0,1.1343863
24,2.030865,0.048302606,-0.15826763,0.227071,0.6626403331756592,0.14972804486751556,2.8424623012542725,0.98844343
25,2.2635841,-0.0014154229,-0.13438226,0.27758586,0.0695575699210167,0.18771439790725708,2.2116262912750244,1.1053281
26,2.1032948,0.07668147,-0.10427264,0.17418857,0.6255560517311096,0.1657843142747879,2.390620470046997,1.106669
27,2.1684499,-0.115677655,-0.25169337,0.37347737,0.7673070430755615,0.15628427267074585,2.681776762008667,1.0869203
28,2.1611624,-0.0028422645,-0.036469296,0.10810146,0.6134121417999268,0.12462586909532547,2.3352174758911133,1.1161134
29,2.1610627,0.07796566,-0.10954282,0.19808774,0.6807699799537659,0.13255572319030762,2.4334497451782227,1.1242286
30,2.418829,0.016351996,-0.09525087,0.20895334,-0.14829067885875702,0.18491396307945251,2.0,1.1128794
31,2.3727477,-0.10823205,-0.20740844,0.40897954,-0.22393326461315155,0.17016130685806274,2.0163278579711914,1.1254416
32,2.0547652,-0.0061786193,-0.093420126,0.14303182,0.2797296643257141,0.18825802206993103,2.715304136276245,1.0643667
33,2.4589837,-0.03402584,-0.15897904,0.25738055,0.8403762578964233,0.11454003304243088,2.0069870948791504,1.0648512
34,2.1643553,-0.0023175075,-0.10273435,0.2243962,-0.12287197262048721,0.16913121938705444,2.3108022212982178,1.0998877
35,2.0963202,-0.018314214,-0.08700132,0.13972656,0.5000038743019104,0.17999963462352753,2.6371872425079346,1.1164776
36,2.1769633,0.0009831798,-0.2895965,0.35473764,0.5891371965408325,0.19412289559841156,2.693028211593628,1.0669999
37,2.0908108,-0.06343879,-0.18011406,0.33437446,0.5228923559188843,0.17099186778068542,2.9650306701660156,0.98305327
38,2.1942668,-0.0032395858,-0.07220747,0.106070526,0.4257909953594208,0.16365323960781097,2.41477108001709,1.0825012
39,2.2724447,0.06091158,-0.13752575,0.23224774,-0.49679142236709595,0.1480923593044281,2.1081225872039795,1.0812619
40,2.2760377,-0.034537565,-0.08403831,0.175657,-0.5618214011192322,0.12158418446779251,2.3443100452423096,1.0832071
41,2.5190184,-0.044517267,-0.26590008,0.30085865,0.7431207299232483,0.15083248913288116,2.0,1.0718571
42,2.1348383,0.031854935,-0.12464286,0.24286793,-0.16684304177761078,0.1916320025920868,2.5759923458099365,1.0920691
43,2.082225,0.0015236699,-0.08377106,0.23144597,0.8084465861320496,0.11334267258644104,2.7307629585266113,1.0350323
44,2.269596,-0.017355978,-0.2732086,0.4850288,-0.5420835018157959,0.19771306216716766,2.1183135509490967,1.0985456
45,2.2224476,0.021494843,-0.19679424,0.28581944,0.566384494304657,0.1783193200826645,2.3951239585876465,1.115805
46,2.3338199,-0.04079692,-0.18872912,0.282661,-0.8349920511245728,0.08869217336177826,2.188976526260376,1.109595
47,2.1902573,-0.02422762,-0.19737609,0.36009943,0.6098431944847107,0.18733233213424683,2.5383942127227783,1.1277865
