,Absolute Bias,Standard Error,95% CI Length
posterior_phi,0.042875051498413086,0.0009131542593240738,0.3634814649820328
posterior_sigma,0.005724072456359863,0.0006479837000370025,0.27032264322042465
posterior_beta3,0.6227407455444336,0.010388985872268677,4.163672465085982
posterior_rho,0.06843459606170654,0.0019384653866291047,0.7075806133449078
posterior_g1,0.1155601373274533,0.002296976298093796,0.8983903527259827
posterior_g2,0.012917876243591309,0.001007053256034851,0.3943486899137497
posterior_g3,0.06259238719940186,0.0009815507382154465,0.38210803270339966
posterior_g4,0.10127055644989014,0.0013348360359668732,0.5238656297326088
