,posterior_beta2,posterior_beta1,posterior_beta3,posterior_rho,posterior_g1,posterior_g2,posterior_g3,posterior_g4
0,0.7385576,0.7918414,7.775476,0.2147269,2.612768,1.0807297,1.0469787,1.0606312
1,0.68267,0.77211136,7.8225355,0.21879917,2.6003916,1.0703751,0.9908089,1.1638497
2,0.71697044,0.79111356,3.4667149,0.83572435,3.054076,1.1513971,1.0235348,1.0993788
3,0.76004267,0.80183554,7.1391854,0.18983638,2.7386703,1.1293424,0.96853304,1.0026617
4,0.68376523,0.8165943,7.0306697,0.27292046,2.6278996,1.1652094,1.14146,0.9717593
5,0.8748574,0.79476535,3.0304425,0.91759557,2.864433,1.1947147,1.145115,1.2260147
6,0.7066488,0.7709714,8.120106,0.20587498,2.7107017,0.9376511,0.96308583,1.1230623
7,0.9325382,0.8149895,6.5938654,0.1967128,2.209836,1.0904105,1.1125414,1.1368886
8,0.72133356,0.7923609,6.82795,0.26399657,2.6302087,1.0265343,0.94987863,1.1697998
9,0.6892195,0.7865395,7.9435534,0.20627567,2.8018043,1.0382776,1.0184017,0.9723832
10,0.7411934,0.8008418,6.10544,0.2924391,2.5978434,1.0356232,0.97919315,1.0497941
11,0.6918354,0.8188453,4.09597,0.506472,2.371343,1.1767707,1.0754288,1.0665972
12,0.6612237,0.78848714,5.7668004,0.28959566,2.819669,0.89613897,1.08695,1.041197
13,0.7094747,0.79127645,5.0727944,0.49244666,2.9531016,0.975553,0.960903,1.0230561
14,0.6584618,0.78443414,6.365741,0.32235873,2.7770655,1.0267503,1.0701189,1.0756265
15,0.6655625,0.7866067,6.0095305,0.3351032,2.7632926,0.8983972,0.9574492,1.1076849
16,0.6724958,0.79958284,7.746935,0.20014407,2.6590528,1.0443288,1.026961,1.1732424
17,0.7066183,0.80466485,5.4081326,0.5464069,2.9743917,0.9300819,1.0119214,1.0564644
18,0.70428264,0.781656,6.695922,0.27058023,2.8087194,1.0679916,1.0264782,1.0894314
19,0.6675831,0.80112344,7.2026706,0.24911217,2.7344522,1.0236514,1.1452539,1.1952147
20,0.94758946,0.7815283,5.3323236,0.23893274,2.2168057,1.0516472,0.8966347,1.1996076
21,0.65522003,0.81229186,3.8188949,0.74790907,2.996878,0.886685,0.98641735,1.1258717
22,0.6995719,0.7915567,5.8638067,0.30366442,2.6836743,1.1883507,1.0078622,1.1892232
23,0.69602966,0.77201486,7.543911,0.18425047,2.6550279,1.0329804,1.0084474,1.0539113
24,0.67201054,0.7835416,4.5473113,0.5292757,2.8791604,0.9915744,0.9698242,1.2435341
25,0.682978,0.8016299,3.7836468,0.7383759,2.9462605,1.0023102,1.1013479,1.0565324
26,0.69677866,0.81874615,5.8046293,0.2773276,2.442922,1.0277281,1.0924789,1.0504166
27,0.59447396,0.833639,7.6862607,0.21993148,2.5173566,1.0220861,1.0673251,1.2881924
28,0.6874558,0.7715335,7.0624228,0.1926652,2.8003414,1.1015729,0.9324055,1.1247525
29,0.8226576,0.8385343,6.885703,0.3426947,2.3847942,1.0409279,1.0522435,1.0569469
30,0.67337066,0.79901075,5.7024164,0.3974843,2.816886,1.0546188,1.118562,1.096731
31,0.6508148,0.7983323,3.1422603,0.92379326,2.9944725,1.0565004,0.96793807,1.0767242
32,0.93544155,0.8059551,6.0145664,0.2131635,2.214068,1.0383289,1.1358544,0.95826584
33,0.69808173,0.7869131,6.598371,0.24341576,2.5923994,0.95658946,0.9795427,1.1078103
34,0.86681324,0.8294729,5.3278346,0.21458897,2.3105347,1.0555149,0.9800097,1.1702979
35,0.87535673,0.8193269,5.028218,0.21998335,2.2893715,1.1509771,0.9787281,1.183201
36,0.67351,0.8014475,6.227464,0.17646086,2.496533,0.97571266,0.9740771,1.1966733
37,0.72623163,0.7912095,7.6051188,0.1896102,2.6520097,0.93235034,0.89944804,1.180814
38,0.74098295,0.80066097,6.889191,0.2911613,2.5708635,0.8917685,1.049641,1.0511754
39,0.7804058,0.76926255,4.371742,0.4586914,3.0954883,0.93339336,0.92203385,1.1728654
40,0.7670629,0.80188847,6.17452,0.2823335,2.3912768,1.1145378,1.0992177,1.1296164
41,0.692241,0.8059162,5.424183,0.4548619,2.9006279,0.965715,1.1975427,1.0039891
42,0.6502154,0.8019651,6.234301,0.35242435,2.7312546,0.9659792,1.089122,1.2230664
43,0.72611094,0.7853338,6.183297,0.36033192,2.8238375,0.9802036,1.0259888,1.1267775
44,0.6841614,0.80947363,7.485373,0.23746723,2.463608,1.0818604,1.0656463,1.10786
45,0.67210734,0.7728586,8.055222,0.15350913,2.6471612,1.0175956,1.0750484,1.0782871
46,0.62642515,0.79534674,5.36819,0.3439057,2.5035455,1.0320315,1.1587768,1.1086278
47,0.75960124,0.7981878,7.506456,0.20935513,2.6812663,0.91867524,0.9905117,1.1091022
48,0.76724917,0.81764495,5.563143,0.34871185,2.4146194,0.96479887,1.1523182,1.1048927
49,0.6482621,0.8093937,6.106062,0.25767913,2.4950306,1.0075755,1.2041043,1.1677045
