,posterior_beta2,posterior_beta1,posterior_beta3,posterior_rho,posterior_g1,posterior_g2,posterior_g3,posterior_g4
64,0.6604007,0.79517394,6.803874,0.26681584,2.7095392,1.0993441,0.93468356,1.0275087
65,0.69543374,0.79198986,6.9481354,0.23744456,2.6980152,1.0399965,1.1997285,0.8803758
66,0.7915472,0.8190453,5.5542207,0.31614882,2.4548779,1.0593331,1.170267,0.95330554
67,0.79839736,0.7849364,3.0086322,0.9811899,3.1242912,0.9444672,1.0349125,1.0241566
68,0.54259336,0.8223367,3.4988563,0.8271123,2.9992101,0.8855937,0.96243715,1.1207448
69,0.60061,0.8008316,5.3619556,0.3701258,2.775829,0.96801156,1.0697881,0.98689044
70,0.79245424,0.7881882,2.2159748,0.98467493,3.2647893,0.9815857,0.9390016,1.2095724
71,0.6900779,0.8211734,5.926141,0.24902926,2.487149,1.0425621,0.9699133,1.1096412
72,0.70241517,0.77566594,7.2218323,0.23997772,2.6065788,1.0526276,1.0225651,1.1437584
73,0.6776465,0.7717159,4.3841267,0.45781896,3.1131067,0.9506378,0.91968924,0.96477723
74,0.8290463,0.7886446,3.544168,0.84449285,3.1374826,0.8854301,1.066931,1.0529504
75,0.74347377,0.81723106,6.1148376,0.24542333,2.3194573,1.0974543,1.0340928,1.1863497
76,0.9390152,0.7830039,6.439567,0.18018152,2.2563357,1.0522155,0.87808484,1.1427311
77,0.65428126,0.7928701,5.792998,0.3167484,2.9197698,0.9057594,0.9264322,1.1403328
78,0.9013287,0.8060653,6.325832,0.20342806,2.4156506,0.9842437,0.99299806,1.000196
79,0.64540756,0.802836,7.5486183,0.19819601,2.6899543,0.9391421,1.0086842,1.3094993
80,0.6945369,0.79618806,5.8851533,0.37434235,2.8391325,0.9511791,1.087293,1.1579711
81,0.74049205,0.7912629,7.5125184,0.24889849,2.6005964,1.0528364,1.111378,1.1423715
82,0.8009575,0.8333892,5.8131332,0.3346662,2.4137437,0.96308136,1.0413667,1.1321169
83,0.8054569,0.7763177,3.6946576,0.6471003,2.9359815,1.1299533,1.045133,1.1714556
84,0.6411999,0.80865085,6.7853975,0.25287348,2.4916217,1.0254112,0.9881397,1.2479436
85,0.7028589,0.7889647,7.8723297,0.20078082,2.6391988,1.055842,0.9995028,1.127634
86,0.7012316,0.805636,5.635753,0.35353324,2.6345034,0.939659,1.0158066,1.0623628
87,0.66080093,0.7849118,2.9223258,0.8104644,2.8917294,0.9456858,1.169331,1.240752
88,0.94913054,0.77622515,5.8505425,0.18122558,2.3612247,1.0385315,1.0283931,1.0468602
89,0.5858888,0.7902976,4.610629,0.5360474,2.8947358,1.0691645,0.9738447,1.1069335
90,0.7405898,0.7852378,4.4730773,0.579422,2.953134,1.0592948,0.96789795,1.2276459
91,0.7301917,0.79349226,4.572289,0.59877753,2.934168,1.004123,1.1153822,1.0958592
92,0.6603885,0.8036397,6.3262744,0.29591683,2.7498186,1.0534825,0.99790615,1.0612762
93,0.70332634,0.8176181,6.2701097,0.2572425,2.540303,1.180869,1.1651621,1.1584922
94,0.7619244,0.79626817,7.2245517,0.23583505,2.5336363,1.0972294,1.1458408,1.024385
95,0.7281257,0.7986811,5.7511935,0.2470123,2.4208837,1.03643,1.0432391,1.0623317
96,0.698575,0.7948856,4.5046625,0.5939249,2.8528523,0.9957848,1.0518157,1.1873832
97,0.71189255,0.7919381,3.1521657,0.98005503,2.9911616,1.112634,1.0879875,1.0915534
98,0.7942819,0.8193157,5.729108,0.25472653,2.3498952,1.0168989,1.1910982,1.0944164
99,0.71516365,0.83147824,6.641224,0.2618475,2.4667196,1.0866109,1.028041,1.1298431
100,0.7512388,0.81006557,5.0825725,0.48261625,2.849219,1.0700195,1.070856,1.0838597
101,0.77394223,0.81077045,6.940045,0.24969147,2.6374655,0.9875916,0.91477376,1.0405343
102,0.67723477,0.78592193,3.9195542,0.69347495,2.9480112,1.0655688,0.89731526,1.2112432
103,0.9374712,0.8283642,4.464277,0.26790485,2.2643821,1.0489712,0.79982966,1.2777702
104,0.69787246,0.7827435,5.958731,0.29581946,2.613836,0.98624295,1.1202276,1.1180699
105,0.685453,0.78291214,6.268621,0.25927985,2.7338076,0.93233335,1.0757693,1.2749746
