,Absolute Bias,Standard Error,95% CI Length
posterior_phi,0.5036536660045385,0.00452099323272705,1.5607040524482727
posterior_sigma,0.05275166034698486,0.0016691306233406068,0.6020252868533135
posterior_beta3,3.5204954147338867,0.03748173952102661,12.361043387651444
posterior_rho,0.009737014770507812,0.002914579212665558,0.9490015391260386
posterior_g1,0.09225019126727263,0.0011397760361433029,0.4477463185787198
posterior_g2,0.11159491539001465,0.0007403425872325898,0.2950665026903152
posterior_g3,0.12839734554290771,0.0007104129344224929,0.2851656064391136
posterior_g4,0.09814608097076416,0.0008414043486118317,0.3325919747352599
