,Absolute Bias,Standard Error,95% CI Length
posterior_phi,0.5083784321323037,0.004544118046760559,1.5652044460177421
posterior_sigma,0.06324625015258789,0.001636534184217453,0.5906506538391113
posterior_beta3,3.5592193603515625,0.03755433559417724,12.281631153821944
posterior_rho,0.005977928638458252,0.0029313454031944276,0.9518163275439292
posterior_g1,0.05170241684124788,0.0010995689034461976,0.435799664258957
posterior_g2,0.09912890195846558,0.0007178331166505813,0.2812980815768241
posterior_g3,0.1253798007965088,0.0007423540204763413,0.29214487522840504
posterior_g4,0.059811532497406006,0.0009472078830003738,0.38161334544420233
