,posterior_g1,posterior_g2,posterior_g3,posterior_phi,posterior_sigma,posterior_beta3,posterior_rho
0,-0.015473957,-1.2895235,-1.0203084,0.05,0.05,1.1222425699234009,6.417643
1,1.063171,-0.21450786,-0.10259641,0.05146506428718567,0.2768697440624237,12.359420776367188,2.8751047
2,0.8621796,0.58484614,0.36478,0.062256697565317154,0.237045019865036,13.464715003967285,2.2019193
3,0.1431811,0.5291058,0.032840513,0.044282201677560806,0.3895401656627655,9.927350044250488,2.7712681
4,-0.1801358,-0.99325836,-0.52007335,0.05,0.05,1.05,9.957476
5,0.75796324,-0.09560148,0.06094303,0.0250946506857872,0.298215389251709,11.695098876953125,2.861197
6,-0.040226154,0.09514904,-0.5831008,0.05,0.05,1.05,8.108711
7,0.37533474,-0.054159027,-0.18954346,0.0018296883208677173,0.383980929851532,11.476469039916992,2.8953426
8,-0.19248028,0.25007662,0.44141924,0.06550879776477814,0.4356618821620941,10.177913665771484,2.87388
9,0.8293001,-0.00820004,0.82474977,0.37752941250801086,0.18028020858764648,14.58633804321289,1.7432278
10,0.22205842,-0.98087066,0.20853157,0.05,0.05,1.05,8.223181
11,-0.10918285,0.031389024,-0.12529911,0.05,0.05,1.05,8.918461
12,0.053988174,-0.1985269,-0.7962096,0.05,0.05,1.05,7.6406007
13,-0.47618383,-0.40928409,0.5438854,0.05,0.05,1.05,8.081787
14,-0.21467264,0.3347833,0.5526807,0.060568008571863174,0.4183928668498993,10.467687606811523,2.906314
15,1.0157552,-0.26665914,-0.07409887,0.05216487497091293,0.31365159153938293,13.251791000366211,2.8889184
16,0.42525575,-0.88869226,1.3842752,0.02484734356403351,0.30766862630844116,10.649616241455078,2.581049
17,1.1467832,-0.48529425,1.7157208,0.05,0.19968482851982117,5.247765064239502,0.28634578
18,-0.105682105,0.19746569,-0.9879499,0.05,0.05,1.05,8.582999
19,-0.20242132,0.54746604,0.88412344,0.03662790730595589,0.35362643003463745,11.464204788208008,2.8267117
20,0.56546044,-0.33478674,0.5186577,0.053697846829891205,0.30978652834892273,12.97225570678711,2.8304474
21,-0.5467425,0.31668755,0.7323838,0.05,0.05,1.05,7.660156
22,-0.85188013,0.18913169,0.21729131,0.05,0.05,1.05,8.023303
23,0.13388716,-0.14884941,0.41766113,0.058685772120952606,0.3123525083065033,11.0742826461792,2.8338146
24,0.50432926,-0.2020421,1.0089355,0.05,0.2418789267539978,11.464578628540039,2.7157004
25,-1.0424091,0.02917361,-0.36663836,0.05,0.05,1.0023518800735474,8.792857
26,-0.7387094,0.3943985,-0.2676746,0.05,0.05,1.1079500913619995,8.110663
27,-0.00023295694,0.07267701,-0.9050209,0.05,0.05,1.05,8.615915
28,-0.42350158,-0.67127186,0.07484958,0.05,0.05,1.0964157581329346,7.733245
29,1.1803455,1.0425874,-0.6657683,0.042340461164712906,0.21056370437145233,15.081426620483398,1.7057803
30,0.57134193,1.3601705,0.2527421,0.05109885707497597,0.2744694650173187,12.545042991638184,1.7446584
31,-0.11417404,0.6259503,-0.08468328,0.055721573531627655,0.3545680642127991,12.023428916931152,2.8797657
32,0.7235277,-0.864931,-0.1869027,0.05750788375735283,0.41665181517601013,9.594626426696777,2.8973165
33,0.3511416,-0.07586718,0.40943372,0.06749575585126877,0.29309043288230896,11.58869457244873,2.8615894
34,0.3645731,0.18702613,0.39685252,0.05,0.27263879776000977,10.733198165893555,2.6227505
35,-0.15767433,0.31577772,-1.5704249,0.05,0.05,1.0469651222229004,7.7990894
36,-0.26426023,0.52256763,-0.77387065,0.05,0.05,1.05,8.479957
37,0.48257983,0.581279,-0.49173212,0.05385711416602135,0.3611639738082886,12.49810791015625,2.900844
38,-0.8371083,-0.4391015,-0.5953516,0.05,0.05,1.1047145128250122,8.18766
39,-1.2128195,-0.1458777,0.2551544,0.05,0.05,1.0819134712219238,8.447268
40,-0.71764874,-0.28001246,-0.38560835,0.05,0.05,1.00858736038208,8.589189
41,0.0808803,-1.006618,1.3539548,0.05,0.3946108818054199,6.688593864440918,2.814755
42,0.28620824,0.09046082,0.3387902,0.01735944300889969,0.32313984632492065,10.43567180633545,2.8855336
43,1.1069158,-0.47312102,-0.08452808,0.0375494658946991,0.3071528673171997,12.009105682373047,2.7517939
44,0.60977626,0.14022711,-0.35111883,0.04500894248485565,0.31627726554870605,12.849699974060059,2.5324676
45,-0.19140176,0.16552457,0.7606676,0.05696617066860199,0.4059540927410126,9.762935638427734,2.8233967
46,0.4101622,0.27369106,-0.748595,0.02833821438252926,0.42669785022735596,9.666958808898926,2.839537
47,0.3458958,0.08342704,0.16069041,0.11563645303249359,0.2738049030303955,10.831253051757812,2.480912
48,-0.31904787,0.6520846,0.20191403,0.04846780374646187,0.43971753120422363,9.66686725616455,2.872572
49,0.41148558,-0.72266024,0.7902989,0.03859788179397583,0.3645152449607849,9.12709903717041,2.8932714
50,0.9625096,-0.46953106,-0.41529408,0.05854738876223564,0.32671183347702026,12.432297706604004,2.8486297
51,-0.73214275,0.25181407,-0.88470656,0.05,0.05,1.1321179866790771,6.4140544
52,-0.024259113,0.639854,-0.6531105,0.24714922904968262,0.34455519914627075,11.208541870117188,2.8683195
53,-0.21560249,-0.7819554,0.39122137,0.05,0.05,1.05,8.427113
54,0.392208,0.78445786,0.19843103,0.05,0.2519611418247223,13.583370208740234,2.7240512
55,0.35383496,-1.2763096,0.86142635,0.05,0.05,1.05,7.1234107
56,0.09590748,1.4191447,-0.54581714,0.046220216900110245,0.35232093930244446,14.286355018615723,2.7090893
57,0.84349096,-0.2835523,-0.20187418,0.06294754892587662,0.26351064443588257,14.721853256225586,2.7036047
58,0.45280758,-0.19347413,-1.7753476,0.05,0.05,1.05,8.849775
59,-0.38039577,0.12638508,0.94294775,0.09762024134397507,0.3974989354610443,10.493077278137207,2.8054955
60,-0.5331729,-1.2582912,-1.1614825,0.05,0.05,1.0160412788391113,9.133595
61,-0.31047028,1.0528415,-0.45552894,0.05,0.3557615280151367,9.855579376220703,2.9050467
62,0.40619436,0.30160797,0.21349245,0.07541977614164352,0.19290542602539062,9.927518844604492,1.471
63,-0.5868722,-1.2091388,-0.37707338,0.05,0.05,1.0843013525009155,8.181974
64,0.11573893,0.14897859,-0.4140781,0.05,0.05,1.05,5.0990386
65,-0.36657542,-0.29419678,-0.3367004,0.05,0.05,1.05,8.721281
66,-0.6811548,0.056798074,0.07515638,0.05,0.05,1.000167727470398,8.195944
67,-0.9705578,-0.46249866,-0.5281722,0.05,0.05,1.1056650876998901,7.876118
68,0.9705818,-1.1574683,-0.113025345,0.05114446580410004,0.40715575218200684,9.500515937805176,2.8863018
69,0.8749983,0.6460977,-0.28582987,0.05,0.19144399464130402,11.958142280578613,2.6642404
