,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_beta2,posterior_beta1,posterior_beta3,posterior_rho
0,-0.5788242,0.10191733,0.118056715,-2.4826365,0.39209914207458496,0.8597750067710876,14.134771,2.9175264835357666
1,-0.5540419,-1.1659762,0.51926935,-0.5589454,0.3571506440639496,0.819603681564331,14.707354,2.8482038974761963
2,-0.26525947,-0.40278038,-0.17228231,-0.44607595,0.7125318646430969,0.7309561967849731,14.261593,2.718580722808838
3,-0.35446638,0.09687772,-1.977274,-0.6798754,0.08464778959751129,1.0972422361373901,14.84657,2.7486572265625
4,-0.9927893,0.6753267,-0.030093051,0.7878782,0.5773679614067078,0.7416907548904419,14.763863,2.7037720680236816
5,0.0022048827,-0.31455854,-0.087796025,-0.40383556,0.9232116341590881,0.644104540348053,11.3721485,2.907940626144409
6,-0.29937038,0.080624335,0.4312508,1.2348914,0.95,0.513796329498291,14.257919,0.8173699378967285
7,0.70956856,0.52097166,-0.27518475,-0.21792617,0.95,0.24173754453659058,12.658063,0.21680544316768646
8,-0.17800301,0.122854985,-0.11297697,-1.1812805,0.9215981364250183,0.6914464235305786,13.662884,1.5645484924316406
9,0.07467442,-0.14000478,0.47258675,-0.2080414,0.95,0.4599919021129608,10.635026,1.029045820236206
10,1.9322348,-0.33032838,0.6592657,-0.35869348,0.6567099690437317,0.14436283707618713,13.681301,0.45417290925979614
11,0.6816132,-0.124430165,-0.7106141,0.88314205,0.95,0.4194332957267761,14.658019,0.22457516193389893
12,-0.2075481,-0.24888101,0.5292593,-0.8611539,0.95,0.6095178127288818,13.472713,0.9708215594291687
13,-1.2303089,-0.13492769,-0.026800636,0.3755776,0.2923741042613983,0.9361400604248047,14.990204,2.9094910621643066
14,0.8038532,1.6516703,0.25646207,-0.023862801,0.95,0.1331183910369873,14.710763,0.48179855942726135
15,0.37631625,0.87362814,-0.12436791,0.0874697,0.95,0.26140689849853516,12.780389,0.24407543241977692
16,-0.08069718,0.32764295,0.19533737,1.3832414,0.95,0.40038129687309265,13.988845,0.19500941038131714
17,-0.1460085,0.33863583,0.213621,-0.025741508,0.95,0.3749762773513794,8.318511,0.10468140244483948
18,-0.5598564,0.35629886,-0.25974968,0.08370263,0.7185595035552979,0.7164321541786194,11.584866,2.854875326156616
19,0.2934695,0.4619294,-0.39017478,-0.09031806,0.95,0.4680079519748688,12.311063,0.5246684551239014
20,0.62392765,-1.6282061,0.04125988,0.3652389,0.95,0.5106781125068665,10.862788,0.8705761432647705
21,-0.6520576,0.30303976,0.52155226,0.72828275,0.95,0.611283004283905,12.33918,1.2643910646438599
22,1.2063622,-0.738362,0.75610703,1.0170919,0.95,0.15596862137317657,14.138801,0.28286850452423096
23,0.028327057,0.32901394,-0.9178789,-0.3773767,0.5467067956924438,0.7906994819641113,13.520622,2.593015432357788
