,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_g5,posterior_g6,posterior_beta2,posterior_beta1,posterior_beta3,posterior_rho
0,-0.36308482,0.22024602,-0.098846935,0.2629777,0.057546478,0.7922025,0.95,0.4901735484600067,14.108964920043945,0.4598005414009094
1,0.55105495,-0.26386818,0.026218688,0.8803551,-1.3487906,-0.27304113,0.8046573996543884,0.6501688361167908,12.43890380859375,1.1619294881820679
2,-1.1811196,-0.4408804,-1.946124,-0.2169343,0.75856835,0.6696662,0.14529822766780853,1.0159471035003662,14.182554244995117,2.8220810890197754
3,0.85268843,0.5683277,-1.3198496,0.6057639,0.003378604,0.3328542,0.95,0.43466857075691223,13.017459869384766,0.8931912183761597
4,-0.2589095,-0.40107197,-0.12726544,-0.97255987,-0.1364956,1.3827279,0.95,0.5669252872467041,15.515579223632812,0.5632427334785461
5,0.46266136,-1.4064441,-0.32360297,-0.0499401,-0.3699134,-0.6611221,0.41486600041389465,0.8125636577606201,14.529584884643555,2.723048210144043
6,-0.68522984,0.17618428,0.3301207,1.2540945,-0.23485649,0.4720189,0.8833502531051636,0.6120852828025818,10.221221923828125,2.3107380867004395
7,0.13471636,-0.039904453,-0.61517036,-0.18490021,-0.44656932,0.7692399,0.95,0.5775499939918518,13.525152206420898,0.5992336869239807
8,0.814304,0.26433504,0.34753528,0.56484985,-0.5085927,-1.3581764,0.5658426284790039,0.6085300445556641,9.007089614868164,2.0227270126342773
9,-1.0576893,0.17218423,-0.60741544,-0.28554636,0.14843018,-0.9009064,0.06887058168649673,1.1674389839172363,15.028149604797363,2.9050302505493164
10,-0.30705228,-0.011482316,-0.35314488,-0.59076166,0.86882764,0.5040473,0.95,0.4264877140522003,9.832807540893555,0.13537180423736572
11,0.9932603,0.76995564,-0.92863053,1.0962569,0.014359458,0.69999474,0.95,0.07305414229631424,14.307230949401855,0.2516455352306366
12,-0.305178,0.7545381,-0.28147525,0.000342473,-0.13775538,-0.78847826,0.4219393730163574,0.8628889918327332,11.141203880310059,2.642202377319336
