,posterior_g1,posterior_g2,posterior_g3,posterior_beta2,posterior_beta1,posterior_beta3,posterior_rho
0,-0.63030183,-0.1472484,1.0279561,0.8930644989013672,0.5849691033363342,10.232358,1.4805810451507568
1,0.63196015,-0.24685334,0.78821886,0.95,0.21336494386196136,13.476135,0.26478174328804016
2,0.043793663,0.36603895,1.6235915,0.95,0.17402197420597076,14.212058,0.23329585790634155
3,0.52020967,-0.12327604,0.8612924,0.95,0.26893916726112366,7.806437,1.2890338897705078
4,-0.16338502,-0.19734074,-0.4404641,0.7761172652244568,0.6878989934921265,12.46997,2.5017385482788086
5,-0.037405703,-0.52014726,-0.50824493,0.7916468381881714,0.7091183662414551,14.760756,1.8062784671783447
6,-0.25309718,0.4903797,0.43328384,0.95,0.47373923659324646,14.20609,0.4681357741355896
7,-0.35352606,0.6199216,0.77152604,0.95,0.46951326727867126,10.609308,1.1429678201675415
8,0.47712547,-0.41412273,-0.7124659,0.95,0.5785863995552063,14.365928,0.768330991268158
9,-0.13687189,-0.75815725,-0.0972379,0.7626185417175293,0.7005581855773926,12.9955845,2.6330814361572266
10,0.29878134,0.20889097,0.7344422,0.95,0.29808446764945984,11.647519,0.5841108560562134
11,0.24337868,0.14809333,-0.11100207,0.95,0.4623353183269501,13.200609,0.39709725975990295
12,-0.32843214,-0.6394448,0.035709657,0.5880405902862549,0.7335079908370972,13.379882,2.89845609664917
13,-0.7889402,-0.048332706,0.3143169,0.6522356867790222,0.7222194671630859,14.594722,0.03519340977072716
14,0.9749643,-0.2200283,-0.24371108,0.95,0.28465360403060913,11.16079,0.6653844714164734
15,-0.098451614,0.5347256,-0.8962915,0.5821526646614075,0.777426540851593,13.157394,2.5868215560913086
16,0.33892438,0.085634716,0.67442924,0.95,0.26762670278549194,12.196114,0.21877393126487732
17,0.34575683,-1.1935885,0.74513245,0.95,0.46680933237075806,11.719453,0.8106406927108765
18,-0.82627,0.32763487,-1.0638511,0.13184194266796112,1.0571597814559937,14.33327,2.8585004806518555
19,0.7104767,0.48438597,0.76201993,0.95,0.09094160050153732,14.146024,0.24500995874404907
20,-0.025163583,-0.08234915,0.53603303,0.95,0.4466792941093445,14.42948,0.24150404334068298
21,-0.38348496,-0.38794547,0.4004969,0.95,0.655770480632782,13.309128,1.984167218208313
22,-0.35519794,-1.3738915,0.32255915,0.41781821846961975,0.7861531972885132,12.50487,2.7974066734313965
23,-1.2499522,-0.101522714,0.2589612,0.37740567326545715,0.8549962043762207,14.570895,0.05
