,posterior_g1,posterior_g2,posterior_beta2,posterior_beta1,posterior_beta3,posterior_rho
0,-0.9648439,-0.48325297,0.4126245677471161,0.8684244751930237,14.641364,0.0018653402803465724
1,1.1220875,-0.1923201,0.95,0.08874671161174774,11.461095,0.16580384969711304
2,-0.46063787,0.060575917,0.8078311085700989,0.6733821034431458,12.617819,2.3656857013702393
3,-1.0134131,0.872337,0.5934396982192993,0.7625598907470703,12.442992,2.8704028129577637
4,-0.8982664,-0.3795034,0.42787936329841614,0.8478756546974182,14.807498,0.021140236407518387
5,0.18707375,0.66470605,0.95,0.37697452306747437,9.835001,0.7274821400642395
6,0.34130737,0.45629817,0.95,0.36058923602104187,8.602253,1.0317448377609253
7,0.5728663,-1.2977793,0.95,0.48249030113220215,14.41536,0.16576023399829865
8,-1.0261745,-0.14998412,0.3889997601509094,0.8365844488143921,14.883777,0.00695940712466836
9,-0.30812308,0.24476366,0.9335805773735046,0.6180675625801086,9.278369,2.0963642597198486
10,1.6550949,-0.99596494,0.95,0.19569063186645508,9.791945,1.0078147649765015
11,0.7982332,0.038063288,0.95,0.24302490055561066,11.917235,0.38266104459762573
12,-0.19987746,0.7158738,0.95,0.5077415704727173,11.639642,0.6829949617385864
13,-0.24833107,-0.4821407,0.8311454653739929,0.6883465051651001,14.131541,1.6977019309997559
14,-1.0937891,-0.08079787,0.3953833281993866,0.8497204184532166,14.945283,0.012736803852021694
15,0.025736056,0.6154554,0.95,0.4509546458721161,13.423351,0.26298388838768005
16,0.07830256,-0.6239982,0.95,0.6003475785255432,14.111947,1.3392091989517212
17,0.5824981,0.72404146,0.95,0.23652933537960052,14.007427,0.3091833293437958
18,-0.35945985,1.1955969,0.95,0.4997331202030182,14.43515,0.36149585247039795
19,0.5456971,0.6471862,0.95,0.13828960061073303,9.472396,0.1596902757883072
20,-0.19030389,1.1270119,0.95,0.4049830734729767,10.875545,0.15844528377056122
21,-0.25685427,0.65549713,0.95,0.5533218383789062,12.651,0.7508220672607422
22,-0.350493,0.2803113,0.95,0.6262534260749817,13.39299,1.3760954141616821
23,-1.0462118,-0.5581564,0.2817171514034271,0.9528297185897827,14.905206,2.910755157470703
24,-0.1532361,1.6032513,0.95,0.3231487572193146,10.76794,0.21226678788661957
25,-0.20208584,-0.320573,0.95,0.665816605091095,14.642768,1.518968105316162
26,0.17381214,0.23453526,0.95,0.44889217615127563,12.877602,0.29101717472076416
27,0.55847746,0.11640407,0.95,0.21677982807159424,12.954873,0.15583544969558716
28,0.029835118,-0.56760764,0.95,0.6139194965362549,13.243013,1.2884914875030518
29,-0.14409907,0.87902445,0.95,0.47461196780204773,13.532239,0.49640461802482605
30,1.1430594,-0.10016685,0.95,0.20076684653759003,13.2682495,0.43842148780822754
31,0.4237945,0.9910579,0.95,0.27158820629119873,6.4810605,1.3210113048553467
32,-0.35611492,0.4074442,0.95,0.5963248610496521,14.139103,0.25756174325942993
33,-0.47031346,0.12515393,0.8947577476501465,0.6828591227531433,13.199264,1.755558729171753
34,0.038404264,-0.2637202,0.95,0.5053682923316956,11.556523,0.11028779298067093
35,0.15963852,0.47308338,0.95,0.42828842997550964,12.516554,0.2720107436180115
36,-0.23467025,-0.57326704,0.7930077314376831,0.6998199224472046,13.543318,2.807856321334839
37,-0.34789193,-0.72473973,0.46713751554489136,0.7303126454353333,14.903281,2.753833532333374
38,0.07373509,0.83895516,0.95,0.327404648065567,9.40536,0.17670071125030518
39,0.25513616,0.07598997,0.95,0.43279871344566345,13.165571,0.22321170568466187
40,0.44426617,-0.48478636,0.95,0.4771837890148163,9.59435,1.1197739839553833
41,0.32399172,-0.6556073,0.95,0.5197031497955322,13.400261,0.8477796912193298
42,-0.21479015,-0.4486779,0.883229672908783,0.6719555854797363,13.060871,2.199296712875366
43,-0.011311512,-0.1839329,0.95,0.5763628482818604,14.5444765,0.6941372156143188
44,0.5432165,-0.07646775,0.95,0.3934449553489685,10.692577,0.7666165828704834
45,0.21330793,-0.46577916,0.95,0.5475001335144043,11.201342,1.3818553686141968
46,0.4733314,-0.25309417,0.95,0.4236210882663727,12.269776,0.40344685316085815
47,0.5086832,0.33990198,0.95,0.30213606357574463,11.236796,0.4425923228263855
48,-0.64814967,0.5732929,0.8842402100563049,0.6602210402488708,13.7520075,1.9426594972610474
49,-0.22068512,0.8028058,0.95,0.4326915740966797,9.053664,0.1238434761762619
50,-0.92538464,0.21400353,0.5062463879585266,0.7985578179359436,14.839787,0.05171346291899681
51,-0.33472115,0.84874797,0.95,0.5529256463050842,13.618681,0.6808525919914246
52,-0.60178596,-0.395017,0.47743916511535645,0.8004447817802429,13.874333,2.834674835205078
53,-0.022719415,-0.27360708,0.95,0.5899607539176941,9.280111,2.3132591247558594
54,2.2901576,-1.384004,0.95,0.054603055119514465,9.290447,0.29381757974624634
55,-0.34712803,-0.23045933,0.8164839148521423,0.6690053939819336,13.959793,2.005702257156372
