,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_g5,posterior_g6,posterior_g7,posterior_beta2,posterior_beta1,posterior_beta3,posterior_rho
0,-0.43765703,1.342485,-0.51120013,0.49566862,-0.6517335,-0.2196677,0.4804587,0.45240551233291626,0.8422695398330688,14.818048477172852,2.2508344650268555
1,-0.31701496,-0.33648387,1.1672419,0.17996074,-0.66039795,-1.0975014,-0.23694086,0.44323715567588806,0.8134056329727173,14.629310607910156,2.89190411567688
2,-0.60614514,-0.42796713,0.6250651,0.46691656,0.467513,-0.09959793,-0.40740716,0.95,0.5714201331138611,14.864480972290039,0.48168015480041504
3,-0.2312051,-0.42507982,-0.25091642,0.5896747,-1.2089064,-0.32753298,-0.9358875,0.2028801590204239,0.9835262894630432,14.979779243469238,2.885204553604126
4,-0.23233235,0.27086407,1.0305496,0.7562008,0.10068169,0.23650146,0.51892364,0.95,0.34529098868370056,14.230536460876465,0.3031313717365265
5,-0.7762955,0.08254328,1.3644754,-1.3972363,-0.8306298,0.44154245,0.87531585,0.6798427104949951,0.6855217814445496,14.839555740356445,2.482422113418579
6,0.2973547,-0.55094963,1.3058816,-0.63139606,0.123388894,1.2524098,0.63861406,0.95,0.23650221526622772,13.489315032958984,0.4451386034488678
7,0.10818281,0.3093078,1.333007,-0.85218114,0.029709863,-0.15380317,0.82745725,0.95,0.2666836380958557,13.746707916259766,0.19698311388492584
8,0.20470253,1.1941415,-0.6956103,0.614544,0.47996283,1.3897861,1.0080494,0.95,0.09117086976766586,10.116722106933594,0.162509024143219
9,0.36132795,1.0652258,-0.74263376,-0.06702699,-0.8286815,0.552187,-0.32771388,0.95,0.5206402540206909,14.461440086364746,0.35563158988952637
10,0.32348168,-0.91027486,1.5205297,0.6716741,-0.1956057,-0.6351157,0.66355926,0.95,0.42103880643844604,12.575366973876953,0.9965606331825256
11,-0.5565654,0.6812766,-0.80398166,-0.46643698,-0.2757126,-0.30094513,-0.23871654,0.17402003705501556,1.0246084928512573,14.839364051818848,2.8198509216308594
12,0.27855107,0.25166184,-0.4095269,-0.94272166,-0.30026385,-0.32009125,-0.51760757,0.5762677788734436,0.8181638717651367,14.635712623596191,1.6700223684310913
13,0.40401632,-1.4066912,0.7931615,-0.9455323,0.11083904,-0.31741327,0.19763376,0.95,0.49456286430358887,12.87575912475586,0.15562650561332703
14,-0.8678943,-0.8022562,-0.40503886,0.038711943,0.21932128,0.21422282,-0.033895977,0.34231510758399963,0.8951684832572937,14.734973907470703,2.8558952808380127
15,0.2518866,1.2222936,-0.20268455,0.6226746,0.18967855,-0.49371156,1.0349497,0.95,0.3604178726673126,13.933238983154297,0.3435693383216858
