,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_g5,posterior_beta2,posterior_beta1,posterior_beta3,posterior_rho
0,0.66077536,-1.0671471,0.43765986,1.3084009,-0.049790572,0.95,0.35724398493766785,13.610953,0.27643391489982605
1,-0.4330696,1.2178584,0.5100892,0.11603212,0.49430162,0.95,0.26810380816459656,11.49801,0.23556706309318542
2,0.14540404,-0.33294114,-0.42658404,0.52770966,0.22821209,0.95,0.566653311252594,14.485795,1.0312832593917847
3,0.26803792,-0.7030441,0.08799911,-0.53396845,-0.12413237,0.95,0.6153984069824219,14.677566,0.8819660544395447
4,0.99873334,-0.5337496,0.4120051,-0.9967826,1.5182297,0.95,0.06345308572053909,5.0456314,0.15458768606185913
5,0.12190809,-1.0184796,0.30255228,0.31417006,-0.0936056,0.95,0.560036301612854,10.759369,0.929347813129425
6,-1.1926038,0.5698667,0.27266157,0.89379513,-0.32599372,0.4320659041404724,0.855219304561615,14.969283,2.9118165969848633
7,-0.7454135,0.011826362,1.2419147,-0.10434984,0.6895996,0.95,0.4670073986053467,13.374932,0.3877696990966797
8,0.36224604,-0.23293947,0.10172348,-1.0839062,0.8333015,0.95,0.43069136142730713,12.635541,0.5361718535423279
9,0.10083152,-0.63521093,0.027929613,0.5137175,0.10400806,0.95,0.5383966565132141,8.424829,1.5656317472457886
10,-0.7118875,-1.7699722,-0.24282794,1.2468593,-0.5944439,0.15465869009494781,1.0464296340942383,14.9796505,2.909485101699829
11,0.21625793,-0.85450894,-0.14335883,-0.89339125,-0.064948514,0.8819230794906616,0.6815769672393799,14.894478,1.8359971046447754
12,-0.086842835,0.79019636,0.32759184,0.253881,-1.2616072,0.7932637929916382,0.6472992897033691,14.973069,0.2243301421403885
13,-0.29648668,0.8902787,-0.5930693,-0.382693,0.1924993,0.95,0.6119351983070374,13.20461,0.5052967071533203
14,0.0829349,-0.6526374,0.6387398,0.37748516,0.11640693,0.95,0.4642212390899658,12.993191,0.5672493577003479
15,0.5793589,1.3415431,-0.16543345,-0.28068864,0.25104257,0.95,0.20387029647827148,10.975478,0.697720468044281
16,-1.0681471,1.1141024,0.82089794,-0.18642849,-0.23253223,0.7303705215454102,0.6675316095352173,12.221799,2.2087056636810303
17,0.4936459,0.44774717,-0.57958424,0.4119224,-0.11595493,0.95,0.41117584705352783,13.218355,0.18773916363716125
