,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_g5,posterior_g6,posterior_g7,posterior_beta2,posterior_beta1,posterior_beta3,posterior_rho
0,3.113587,-0.73108387,0.57587713,-0.94500583,-0.7800796,-0.7256435,1.5776527,0.6984568238258362,0.04161453619599342,3.4461305,0.24660757184028625
1,0.23026638,1.9993347,-1.2221023,1.5706344,2.0668468,0.7626399,-1.272867,0.12282537668943405,0.08019208163022995,3.374543,0.3246438205242157
2,2.174164,-0.04571278,-2.0834126,-0.5333465,0.003846109,1.9199297,0.68223065,0.5982601642608643,0.0461878776550293,3.9610794,0.32530128955841064
3,1.4515212,0.94937366,-0.9392732,-0.23246288,0.91564244,0.70503944,0.59186876,0.8775909543037415,0.1025581806898117,2.9007404,0.6837340593338013
4,0.25597256,1.8721656,-0.6343367,1.2317253,1.9552413,0.38385552,-0.78952134,0.7508016228675842,0.11272843182086945,4.323386,0.28394246101379395
5,-0.49800622,2.679039,0.6214038,-0.23587967,2.7971814,-0.8423995,0.77129954,0.8778062462806702,0.06907245516777039,3.092987,0.5526859760284424
6,0.7318298,1.5827764,-0.93548423,0.90399116,1.6573831,0.8239635,-0.5703871,0.7648116946220398,0.05389630049467087,2.3374374,0.6935589909553528
7,1.3062472,0.7784584,-0.4705857,0.95476484,0.8291383,0.39523575,-0.7648013,0.678613007068634,0.05525772646069527,3.9504812,0.3595617413520813
8,1.1028886,1.0192413,-0.39839888,0.91647,1.092745,0.1795898,-0.6717704,0.7866591215133667,0.033021606504917145,4.263471,0.24930314719676971
9,1.6228905,0.44221306,-2.1943028,1.4301264,0.48815206,1.6387391,-1.0727715,0.05354078859090805,0.16585968434810638,3.7218637,0.3262096047401428
10,0.35206205,1.97776,-2.29559,-0.9582486,2.0970588,2.1524453,1.3645061,0.7204709053039551,0.023075316101312637,3.1437442,0.3215796649456024
11,0.52984405,1.6187369,-0.77260363,2.9444325,1.5830264,0.19437492,-2.8167963,0.03468131646513939,0.07595403492450714,3.0046248,0.10202684998512268
12,2.661221,-0.15325476,-0.63933396,-2.993397,-0.15504374,0.79921585,3.10645,0.05136852711439133,0.005852065049111843,2.8759744,0.024959174916148186
13,0.02788788,2.0448415,-0.40987486,1.3440413,2.2889879,0.12373905,-1.1767997,0.05755336210131645,0.05078050494194031,3.2562833,0.3189101219177246
14,1.4359943,0.8303011,1.4041449,-0.90116155,0.80709344,-1.3361636,0.9486677,0.5482946634292603,0.10677064210176468,3.9071639,0.30768561363220215
15,1.7386531,0.49705467,0.19191156,-0.3394015,0.58322513,-0.40557513,0.6018973,0.8530106544494629,0.053463149815797806,3.8272552,0.37139350175857544
16,0.39001653,1.8380966,-2.0165513,0.113210484,1.828712,1.9155023,0.18654251,0.9361793994903564,0.060620203614234924,3.867655,0.41634202003479004
17,1.5027481,0.9794487,2.0562482,-0.6112071,0.93564624,-2.234086,0.9043396,0.9351149201393127,0.11201409250497818,3.0133636,0.5578209757804871
18,1.9324734,0.24090493,-1.0597134,-0.3015828,0.40849096,0.8987001,0.6888324,0.7937708497047424,0.028147034347057343,3.6674635,0.4182564616203308
19,1.0961539,1.0513033,2.3257987,0.69310236,1.0287961,-2.5283105,-0.45453593,0.8604055047035217,0.08195025473833084,3.4634752,0.4858102798461914
20,1.1721798,0.8372761,-1.9664751,0.11236201,1.1187285,1.7711382,0.20419772,0.7307586669921875,0.04546595364809036,2.9831712,0.5843496918678284
21,4.1500773,-2.0311613,0.37257478,0.64690435,-1.9837579,-0.45058712,-0.25762314,0.8017702102661133,0.07891581207513809,2.7291136,0.6442053914070129
22,1.2442645,0.96227825,-0.8793809,-0.13734293,1.1795158,0.6650483,0.6356655,0.8087548017501831,0.04866897687315941,3.3089817,0.4465879499912262
23,4.56788,-2.3781173,-1.2966862,-0.21940342,-2.279864,1.272627,0.49425718,0.947526216506958,0.06881889700889587,4.067725,0.34032267332077026
24,2.8151758,-0.7549674,2.0484512,1.1816357,-0.61557263,-2.2513485,-0.9892744,0.2992021143436432,0.10421301424503326,3.436857,0.39217644929885864
25,-0.7015167,2.7126606,1.5129638,1.2422562,2.8027031,-1.9116815,-0.91445297,0.3633825182914734,0.17185966670513153,4.4648914,0.29057592153549194
26,1.5192826,0.5498021,0.51517516,1.479705,0.7165278,-0.7618153,-1.1524076,0.3478526175022125,0.0789685845375061,3.328737,0.3403424620628357
27,3.4561517,-1.0896406,-3.849873,-0.3848525,-1.0284259,4.1249413,0.7850152,0.4698701500892639,0.05,2.0069366,0.7138066291809082
28,2.2959275,-0.2068328,0.19102857,2.6962721,-0.15406092,-0.6003639,-2.43328,0.006159142125397921,0.31041470170021057,3.9329169,0.1255970597267151
29,3.799315,-1.6811035,0.21792582,-0.73322374,-1.4707625,-0.44442827,1.0245346,0.3060135245323181,0.06012081727385521,3.1715517,0.5130418539047241
30,-0.03776116,2.334885,0.5607058,-0.031201841,2.2687654,-0.6341043,0.6987901,0.4974369406700134,0.0480511449277401,2.2212794,0.838447630405426
31,3.2802286,-1.2187068,-0.12390018,0.2799313,-0.99840176,-0.07458694,0.2585954,0.8678616881370544,0.056435588747262955,3.3457263,0.4440418779850006
