,posterior_g1,posterior_g2,posterior_g3,posterior_phi,posterior_sigma,posterior_beta3,posterior_rho
0,2.0875382,0.011263505,0.05067406,0.8372668,0.39515465,3.7227323,0.2925194
1,1.9762758,0.012961013,0.025031833,0.8550873,0.28783858,3.7587214,0.26079145
2,2.5423367,0.023489397,-0.031355795,0.8460506,0.41791436,3.2506633,0.32432023
3,2.1178038,0.041918993,0.026749404,0.8317153,0.39721787,3.694787,0.30299157
4,2.576974,-0.06791039,0.056237184,0.8587137,0.40633968,3.1490018,0.37815452
5,2.2293108,0.040468305,0.07701391,0.84299636,0.4166711,3.4496832,0.31355816
6,2.2165115,-0.0117740845,-0.05515025,0.8428296,0.39910004,3.1071284,0.3276771
7,2.2351727,-0.069266066,0.08468915,0.85542524,0.35120037,3.0521622,0.3344623
8,2.3280823,-0.06436233,0.05623541,0.8495763,0.4755046,3.572687,0.3175907
9,2.263683,0.033110596,0.032392927,0.850909,0.37898886,3.4907584,0.31368744
10,2.4342504,-0.005625456,0.05670863,0.8498134,0.49925008,3.4067333,0.3359906
11,2.3216412,0.04317956,0.005869783,0.8268287,0.53949,3.7040477,0.2939995
12,2.1643317,0.038395077,0.032256763,0.8475643,0.3592209,3.733427,0.27458072
13,2.4097347,-0.058292396,0.0065982933,0.86253417,0.4043432,3.3842096,0.34845364
14,2.3629177,-0.07162526,0.014018961,0.8501293,0.43787253,3.2014496,0.3374087
15,1.7624928,0.0059406864,0.009358971,0.74846286,0.40066904,3.8658183,0.24974844
16,2.4404507,0.017097909,-0.0295807,0.8384562,0.47193217,3.6990297,0.29088387
17,2.642331,-0.06393556,0.002197484,0.8482643,0.5032869,3.091961,0.3545199
18,2.0728676,-0.022887772,0.037585,0.8575712,0.37460485,3.6635597,0.24003181
19,2.4376621,0.007410735,0.0010115678,0.86129636,0.4042225,2.9770977,0.41135043
20,2.3782823,0.036908396,0.07343917,0.84905213,0.43892267,3.129046,0.38524017
21,2.5241024,0.06612949,0.056945287,0.8279324,0.5283814,3.3317204,0.31258535
22,2.198872,-0.014503407,-0.034885943,0.84353465,0.3901155,3.5657203,0.296303
23,2.0296826,-0.04457754,0.024517737,0.828869,0.35437486,4.079911,0.24646159
24,2.3929741,-0.023730602,0.058759034,0.84792393,0.39960432,3.209675,0.3674504
25,2.242345,0.0493995,0.047298394,0.847216,0.43667302,3.3041906,0.32652035
26,2.2916498,-0.024918811,0.032609727,0.85325027,0.35618526,3.2746985,0.3074584
27,2.4787004,-0.0053075645,0.05306791,0.83360463,0.49173313,3.5415184,0.28816983
28,2.3094726,-0.032072462,0.04553165,0.846293,0.4010327,3.493913,0.29536676
29,2.4938016,-0.0075812195,0.047961727,0.8466033,0.42123905,3.2428994,0.37263656
30,2.1816819,-0.032564696,0.023977568,0.8466513,0.46371898,3.348587,0.32179645
31,1.9802518,-0.024184419,0.082013465,0.8578501,0.2924434,3.6651819,0.2879703
32,2.1464226,-0.053537346,0.0229266,0.861661,0.29044464,3.7177677,0.2922162
33,2.1462073,0.039930183,-0.04681287,0.84887075,0.3380181,3.11534,0.34199953
34,2.1215081,0.007129987,-0.016515655,0.86507046,0.3791422,3.3004682,0.3505526
35,2.3285475,-0.10881402,0.0011877193,0.8422519,0.35466954,3.3676898,0.32282233
36,2.0298011,-0.0494041,0.069364175,0.85400206,0.3352401,3.50047,0.27264097
37,2.31293,-0.0061823702,0.030240921,0.8461586,0.45353177,3.313358,0.34841108
38,2.0853643,0.08660993,-0.007103776,0.8446313,0.3568473,4.0273647,0.2498517
39,2.4899855,0.012605756,0.054974414,0.8253355,0.5156808,3.7228,0.30550465
40,2.2045782,-0.048123065,0.03679913,0.84328365,0.4105694,3.5874996,0.26486486
41,2.4086208,0.05270968,-0.037018444,0.8153043,0.5549624,3.0177908,0.39756146
42,2.2404842,0.009161851,0.006056941,0.85078484,0.4438392,3.1185594,0.34595045
43,2.5729876,-0.0035692763,0.026901474,0.8401599,0.50180984,2.9666734,0.36308372
44,2.1715302,-0.005990067,-0.0007819913,0.8511119,0.35667995,3.8251517,0.24759756
45,2.159709,-0.017307693,-0.012572357,0.8435139,0.34013253,3.8709657,0.264574
46,2.1558924,0.02490089,0.02664122,0.85607606,0.39897683,3.903321,0.26718414
47,2.073076,0.020718463,0.03723344,0.855575,0.36464378,3.5315053,0.2762921
48,2.5358837,0.011220215,0.081526674,0.8477058,0.48827174,3.328376,0.34633473
49,2.0878499,0.019139877,0.08801151,0.8530736,0.3559956,3.367348,0.34633502
50,2.1992009,-0.04315569,0.031939793,0.8416232,0.36662966,3.6724682,0.28340024
51,2.1978424,-0.02660747,0.005740916,0.8492539,0.36637953,3.3600674,0.30291608
52,2.2689617,-0.004792776,0.01806668,0.83373094,0.39526027,3.1448517,0.34668
53,2.3889525,-0.040508967,-0.011360107,0.8410079,0.37587908,3.611877,0.29510254
54,2.1926308,-0.018851066,0.009137018,0.85594887,0.34957922,3.51757,0.31397328
55,2.2016065,-0.017702634,0.041267864,0.8190532,0.466618,3.9233444,0.2722134
56,2.488367,-0.00468062,0.04132306,0.85239017,0.472883,3.5170503,0.3384365
57,2.447443,0.029167099,0.038714502,0.84068304,0.4907985,3.6281466,0.31065685
58,2.1984258,0.008302327,-0.02801484,0.8449018,0.41947973,3.5818136,0.29126793
59,2.1789024,0.008035972,0.035825465,0.850638,0.39298838,4.0053687,0.25276917
60,2.426845,-0.014392966,0.0045192307,0.83031327,0.48698545,3.5354242,0.28171298
61,2.212368,-0.010920042,-0.0010696042,0.8441884,0.4073758,3.1499777,0.33173034
62,2.5387068,-0.026530579,0.028617412,0.8306238,0.5128424,3.1766498,0.32449612
63,1.9115214,0.012085932,0.014370448,0.83281165,0.36290258,3.954506,0.22617263
64,2.0686548,0.00067671057,0.04684927,0.8528849,0.35313067,3.6450984,0.26631135
65,2.0876703,-0.014457466,-0.011315722,0.8415739,0.43274388,4.269095,0.19682851
66,2.0067325,-0.00023730317,0.013529918,0.84410816,0.32523662,3.4449706,0.27216047
67,2.3577135,0.03436817,0.02947687,0.8222529,0.54700524,3.161187,0.365087
68,2.4490507,-0.016291045,-0.0137453,0.8236536,0.49096033,3.048699,0.35402355
69,2.1947792,0.01566999,0.071146175,0.8360111,0.46542442,3.893024,0.26195973
