,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_g5,posterior_g6,posterior_g7,posterior_phi,posterior_sigma,posterior_beta3,posterior_rho
25,1.1460149,1.139847,0.17549348,1.1260421,1.0773492,-0.4749737,-1.0527229,0.85518473,0.29683042,3.5383065,0.21317972242832184
26,0.7256104,1.3935565,1.0925164,1.4949924,1.5480924,-1.4251297,-1.1497034,0.84076744,0.2839416,3.6737263,0.19330911338329315
27,1.6893957,0.90172327,-1.6206255,0.7964739,0.8813824,1.3297647,-0.13976817,0.82721865,0.55111057,3.3810675,0.33645203709602356
28,0.8031094,1.4380257,-2.0650952,-0.16922523,1.5683901,1.9829874,0.38880092,0.82678473,0.47634482,3.4289353,0.33293938636779785
29,1.2546171,1.0922005,1.7951071,0.47235727,1.0843953,-1.9687566,-0.18964705,0.83889675,0.43313417,3.346517,0.3782815933227539
30,0.86798966,1.494183,-2.2365456,-0.93271965,1.4212883,2.2615736,1.0972518,0.8549087,0.3329873,3.5216165,0.2518727481365204
31,1.3504916,0.99932784,2.5985498,-0.6457087,0.99117315,-2.722771,0.8544904,0.8414187,0.37243357,3.7473333,0.25119152665138245
32,0.28937897,1.8124961,-0.90703124,0.48307964,1.6573731,0.7090007,-0.23004286,0.85130155,0.36291692,3.6529603,0.28433722257614136
33,0.25261623,2.0584567,-0.49936295,0.8737944,1.935354,0.24582241,-0.7214441,0.8544682,0.3327833,3.3316035,0.2553354799747467
34,1.3261094,0.98645693,-0.16127491,2.6240525,0.9206682,-0.3367735,-2.5268881,0.8567978,0.14521798,2.8990393,0.09547009319067001
35,1.3429756,0.8821927,-1.3099204,-0.7413549,1.0331167,1.2095077,0.8681342,0.85346335,0.320405,3.6108615,0.2152855545282364
36,1.6133498,0.9626922,2.2996442,0.064181164,0.85804546,-2.4023075,0.21637893,0.8216866,0.5859431,3.3837118,0.35801321268081665
37,1.6910597,0.5673745,1.4114307,0.11828961,0.51747614,-1.5923164,0.22830994,0.8374381,0.5353164,3.629882,0.326837420463562
38,0.403483,1.6624994,-1.3058567,0.29374292,1.5685275,1.185734,0.18840471,0.8419965,0.41250512,3.0658338,0.38311877846717834
39,0.09007764,2.1287613,-2.369685,-2.605562,2.241103,2.801121,2.6842575,0.86453676,0.06492244,3.0691178,0.07265505194664001
40,-0.013268619,2.4695187,-2.2162051,-0.096640594,2.3035827,2.0843613,0.54416275,0.85219336,0.382522,3.0585597,0.39121106266975403
41,-0.053556073,2.3676796,-1.3933543,-0.20012794,2.290159,1.388446,0.52279377,0.84437376,0.42081523,3.1650798,0.39865922927856445
42,1.6505566,0.9560131,-0.6182509,-2.2392673,0.90824974,0.88230026,2.4509735,0.85666275,0.1884858,2.89093,0.10707850009202957
43,1.418383,0.9910244,0.75361663,0.59800726,0.9854439,-1.0133953,-0.27729723,0.8537291,0.4654462,3.6460097,0.3031145930290222
44,0.46486616,1.8031721,1.8170741,-0.4514005,1.7723598,-1.8332564,0.7768392,0.8559689,0.34004694,3.5580344,0.2924635112285614
45,2.697185,-0.1203719,0.9487603,-0.34726447,-0.16058972,-1.0101422,0.64638954,0.8373662,0.47123805,3.4462607,0.34230926632881165
46,0.89670914,1.4167104,-2.2119422,0.35941738,1.3230942,1.9551924,-0.09355178,0.85108125,0.38997123,3.45287,0.3083529770374298
47,0.2936327,1.7998961,-0.02352915,1.8157082,1.6402986,-0.02738842,-2.1690865,0.85270995,0.1739079,3.2771804,0.12467854470014572
48,-1.2037972,3.7172604,0.097894676,2.472809,3.5847194,-0.48627436,-2.1110919,0.8568962,0.15404427,2.9170284,0.11298386752605438
49,2.1821055,0.15617612,-2.742547,-2.1264265,0.17737956,3.0664935,2.3300729,0.85688186,0.13517796,3.1575415,0.1046067401766777
50,0.5850272,1.6051537,1.4276301,1.2957135,1.526136,-1.6190853,-0.9255006,0.85032505,0.3838375,3.3124375,0.27040427923202515
51,1.2279719,1.0819434,-1.6213862,1.7912924,1.1306378,1.166354,-1.5950806,0.8579316,0.18579444,3.5697496,0.13139128684997559
52,-1.2949733,3.5155723,-0.6878491,0.9775778,3.453858,0.5693317,-0.82938313,0.8456747,0.37490308,3.367314,0.2596806287765503
53,-0.0013643797,2.6385365,-0.31510642,-1.4468824,2.5144916,0.22107539,1.973483,0.85841286,0.26586184,2.8982518,0.21332521736621857
54,2.3757718,-0.09890957,0.76752746,-0.4474895,-0.23851733,-0.90881795,0.7499587,0.8536379,0.38838482,3.4782388,0.2887619733810425
55,1.9234409,0.46015772,-1.0831324,-2.206336,0.42160612,1.371241,2.2460253,0.86638635,0.10888133,3.0919538,0.09588523954153061
56,2.484758,-0.07578956,-1.2188224,0.40852693,-0.13316436,1.0488797,-0.1273179,0.84871197,0.48703623,3.2792406,0.37316933274269104
57,-0.703388,3.1154575,-1.9409049,1.050228,3.0869703,1.6805711,-0.76953,0.83208525,0.47065586,3.7686188,0.22621437907218933
58,0.16398028,2.0079951,0.68971,2.6471882,1.9245263,-1.1709642,-2.3511953,0.8401702,0.1773876,3.3308098,0.06608163565397263
59,1.8210449,0.55462295,-0.9693407,-1.5137798,0.34191924,1.1275021,1.5854933,0.85311675,0.29169908,3.2785146,0.16317671537399292
60,1.4620689,0.79245466,-0.55672383,2.7567756,0.7470822,0.18426985,-2.5827034,0.85469717,0.19314851,2.874854,0.0717419907450676
61,1.6686368,1.0913314,-0.4976743,-1.416781,1.0376596,0.5630278,1.6524534,0.832392,0.44808668,3.206541,0.1743251234292984
62,0.7276573,1.595859,-3.430641,0.28668895,1.5399965,3.086135,-0.04164899,0.85563743,0.3617905,3.2986155,0.3481040596961975
63,0.5133594,1.7761146,-1.6110238,-0.786586,1.5559944,1.6008357,0.94018906,0.85934377,0.32263818,3.3202634,0.2595112919807434
64,1.3670654,0.8466691,-0.07763449,0.6111306,0.7878114,-0.20741265,-0.25851962,0.83714104,0.42563975,3.988309,0.28464195132255554
65,0.75658137,1.4553938,3.9728615,1.5754263,1.3904115,-4.305329,-1.5098647,0.84191525,0.2460218,3.4217215,0.13144077360630035
66,1.6589143,0.54115903,0.829492,0.14822246,0.4909152,-1.1180104,0.15345164,0.8576815,0.38790646,3.467943,0.3363117575645447
67,2.2287557,0.23467332,-3.396382,-0.8760444,0.28130198,3.4237223,1.4566628,0.836422,0.39608052,2.9493659,0.2565526068210602
68,1.6761873,0.8366085,0.1743599,0.26397705,0.71788806,-0.32723108,0.035774667,0.8475786,0.55093414,3.2464542,0.40966513752937317
69,2.0535066,0.2856252,-0.013443888,-0.57294184,0.22234645,-0.14234483,0.99776936,0.84551615,0.42911133,3.427238,0.2770776152610779
70,1.7445463,0.6518145,-1.1644907,0.7482946,0.55675125,0.93451124,-0.6049793,0.85009974,0.3635929,3.388037,0.30508169531822205
71,1.9340367,0.5428177,-1.441928,0.1640256,0.6132105,1.1883134,0.21353483,0.85040057,0.48636326,3.3830233,0.3497404158115387
72,-0.83507925,2.9362333,0.55571806,0.34898454,2.9386187,-0.6515635,-0.055136487,0.8446747,0.5062309,3.4378145,0.33635157346725464
73,1.538567,0.814589,-1.2479783,0.9476844,0.7364303,1.0048673,-0.6017394,0.85375756,0.2969178,3.5456026,0.3257802724838257
74,0.41935512,1.948096,0.28298858,0.8594754,2.0267456,-0.69377244,-0.46042353,0.8371602,0.43933952,3.4375498,0.2875607907772064
75,2.1818852,0.29098877,-1.5684154,-0.59409845,0.28542665,1.2660733,0.93041813,0.84627384,0.3371316,3.3622954,0.26813805103302
76,3.3122327,-0.99280566,-0.5957951,0.601973,-1.0564431,0.41710186,-0.31806946,0.8363919,0.47364423,3.4605217,0.3385887145996094
77,3.3573074,-0.8449136,-0.89950013,-0.61244345,-0.87789273,0.67959404,1.2702563,0.8591479,0.3627182,3.2964568,0.2635830342769623
78,1.9597182,0.35470814,-0.054355793,-1.5031621,0.23208675,0.12223362,1.8346347,0.8610102,0.19966492,3.549528,0.14846326410770416
79,2.3482044,-0.15896578,-2.355035,-0.12709261,-0.28363797,2.277071,0.4359216,0.8529317,0.37673187,3.4924846,0.32961249351501465
80,0.51199067,1.8465741,0.22727792,-3.5837574,1.5397229,0.1002532,3.556065,0.7365205,0.30545437,2.7593737,0.039686787873506546
81,2.338115,0.17819518,-0.08524597,0.75065327,0.07737572,-0.07732567,-0.41944918,0.8490411,0.44840592,3.686128,0.31318700313568115
82,2.7257469,-0.3603301,-1.5230184,0.22053163,-0.4352473,1.6726803,0.052780233,0.8401106,0.51114315,3.4848187,0.3216099143028259
83,1.5701966,0.6162857,0.18490708,0.84190387,0.48758596,-0.44715255,-0.2890642,0.8549817,0.43811113,3.2529006,0.3067100942134857
