,posterior_phi,posterior_sigma,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_g5
59,-0.3730798,0.37741342,1.216413,1.0532376,-0.1805359,0.2519693,1.0516136
60,-0.41656357,0.3934912,3.150397,-1.0188404,-0.18560459,0.34100562,-0.9412703
61,-0.38389856,0.38484222,2.8780267,-0.5185856,-0.13575451,0.27174482,-0.63057286
62,-0.33007777,0.37811515,0.9795612,1.2648623,-0.084655724,0.19095288,1.2097155
63,-0.4380299,0.37483624,0.83428544,1.331916,-0.070906185,0.23478563,1.346684
64,-0.18790103,0.38309988,0.4023149,1.9252367,-0.20260619,0.33942688,1.92837
65,-0.50653285,0.3449246,-0.13267814,2.3320994,-0.062795445,0.2029796,2.3703382
66,-0.5837337,0.33020788,0.6373354,1.3499193,-0.11752538,0.31646118,1.5377522
67,-0.46572277,0.34973627,1.712611,0.563009,-0.17569178,0.29053912,0.5363944
68,-0.4559029,0.38687158,2.3332493,-0.23550895,-0.030380832,0.17818639,-0.19329159
69,-0.21830882,0.3649303,-0.09647054,2.2381454,-0.095739014,0.1733789,2.3820024
70,-0.42679444,0.3544391,4.7710295,-2.430613,-0.15643042,0.25253302,-2.4913096
71,-0.35693812,0.35306177,1.2393875,1.0273386,-0.22764127,0.34133223,1.0415822
72,-0.3875778,0.3660256,1.412052,0.81262934,-0.23687777,0.30709758,0.87323654
73,-0.32514903,0.36580256,3.8607275,-1.5840667,-0.12092426,0.23973384,-1.5636113
74,-0.3466925,0.35881415,1.2426078,0.8653089,-0.20391022,0.25932932,0.9995204
75,-0.42540726,0.34115574,2.3891842,-0.03572488,-0.17705216,0.27755627,-0.042911753
76,-0.44425133,0.3892287,2.496651,-0.16916224,-0.21019013,0.28691792,-0.14967746
77,-0.37505928,0.3621699,1.5072073,0.6786287,-0.16264662,0.29427454,0.7083004
78,-0.31721985,0.3638554,2.2575943,0.08390804,-0.20085518,0.22328208,0.10581959
79,-0.43214905,0.3980841,3.423332,-1.1284107,-0.17411646,0.33654377,-1.1229547
80,-0.28761858,0.34194615,2.372047,-0.058526892,-0.14472754,0.26476696,-0.096877135
81,-0.2368434,0.3900531,0.13244863,1.7768193,-0.1494688,0.28316545,1.9128326
82,-0.36586264,0.32502854,0.9100774,1.3677087,-0.17579243,0.26483452,1.3729978
83,-0.48192674,0.35904104,0.2057326,2.0166416,-0.14937848,0.29445764,1.996257
84,-0.3355721,0.40370178,2.7345319,-0.3827819,-0.18647575,0.2969848,-0.36691418
85,-0.35749504,0.3604902,1.3373511,0.7955146,-0.03450474,0.18191175,0.8385798
86,-0.20379545,0.37831855,0.14853196,2.211366,-0.17841816,0.2482246,2.1970208
87,-0.34840116,0.36934024,0.11092198,2.175081,-0.10456646,0.12497488,2.1532269
88,-0.4520919,0.44328845,1.5060855,0.7663012,-0.18678097,0.2771843,0.80947816
89,-0.43714342,0.3694699,2.1895437,-0.036629654,-0.12679878,0.28533888,-0.032455307
90,-0.45157883,0.36395898,2.142035,0.07288532,-0.16272412,0.29819593,0.11787227
91,-0.3245224,0.3621003,1.0629946,1.1599454,-0.20936953,0.2653287,1.2027344
92,-0.24552602,0.35503262,-0.4980814,2.5810733,-0.11489175,0.19552515,2.69286
93,-0.37888417,0.3641399,0.77962244,1.5875115,-0.20305064,0.2181184,1.4615818
94,-0.35661143,0.3843307,3.3917654,-1.2812691,-0.15613717,0.31712714,-1.2359583
95,-0.41466507,0.37825444,2.3250122,-0.042608224,-0.10843694,0.18757448,-0.112574436
96,-0.4110647,0.36163735,2.4714918,-0.17491315,-0.059034113,0.20652196,-0.2495989
97,-0.6325769,0.3187615,0.28257087,1.8371351,-0.13015778,0.251228,1.8729483
98,-0.37899077,0.35089454,2.057162,0.25212997,-0.19758365,0.26364583,0.22924201
99,-0.46455142,0.377081,0.37170535,1.9516025,-0.16814625,0.23246469,1.9871799
100,-0.40410653,0.38447535,2.129777,0.09099348,-0.11013052,0.21354109,0.11974481
101,-0.37072453,0.35031617,1.3151834,0.8274198,-0.1636078,0.2562687,0.8514257
102,-0.5189686,0.37221614,0.42789534,1.8690869,-0.18937968,0.25835028,1.7839735
103,-0.3576468,0.38305607,2.6453917,-0.46981946,-0.13453065,0.20978642,-0.49600667
104,-0.49977332,0.34148097,-0.10153011,2.460858,-0.20421419,0.23655973,2.4750674
105,-0.33852062,0.37772113,1.5814049,0.70687175,-0.14118117,0.25360543,0.70755357
106,-0.31089246,0.38377506,-0.17558384,2.533785,-0.2187748,0.2803517,2.487698
107,-0.5487992,0.38964257,1.2664682,1.0878819,-0.15078576,0.25909245,0.9932877
108,-0.4145039,0.36620253,2.2737722,-0.19544844,-0.16191132,0.2799885,-0.0492174
109,-0.35186502,0.33113185,1.7829183,0.43327153,-0.13271883,0.21924224,0.40828043
110,-0.430571,0.3897261,0.7006986,1.396982,-0.103794314,0.25067052,1.4280864
111,-0.5151984,0.37921318,1.8092202,0.4741908,-0.19508679,0.25321725,0.4217807
112,-0.4652745,0.40460354,3.1722531,-0.9990193,-0.1521656,0.25351894,-0.9455823
113,-0.43891376,0.38141835,1.4039382,0.8988701,-0.12970412,0.17626843,0.9381003
114,-0.38071755,0.35451335,0.38542196,1.9044263,-0.14296524,0.2393996,1.9206414
115,-0.521266,0.35812518,0.6826966,1.5024989,-0.14271063,0.29063296,1.5147333
116,-0.36800662,0.35704994,2.5525298,-0.41798308,-0.1421365,0.28676277,-0.33085638
117,-0.5083165,0.4099608,0.9853226,1.2343674,-0.1962392,0.19751054,1.3188136
118,-0.23513433,0.38616806,1.4108572,0.80540854,-0.16605438,0.22751516,0.82718897
119,-0.44974884,0.38353008,2.0937347,0.036928542,-0.14422026,0.26177412,0.1708162
120,-0.50948536,0.35617062,3.05722,-0.77980745,-0.20581254,0.29750383,-0.76945806
121,-0.4243616,0.36745358,3.4930236,-1.2354015,-0.2140469,0.32603073,-1.1675081
122,-0.4548789,0.39050722,0.09212424,2.0943403,-0.17355406,0.17912382,2.0929086
123,-0.36578882,0.37583703,1.8304659,0.26727524,-0.11037717,0.27346566,0.38117698
124,-0.41099077,0.38567662,1.7877785,0.35358566,-0.1253807,0.18863156,0.39205357
125,-0.4243341,0.31403777,2.5098608,-0.16248281,-0.18598212,0.18232785,-0.22016117
126,-0.4869355,0.41126516,1.7122285,0.44687954,-0.19536354,0.31354576,0.5202649
127,-0.39905953,0.34419078,-0.9358187,3.130744,-0.1448638,0.22143604,3.1396956
128,-0.48915064,0.36942545,-0.66613376,2.843194,-0.1445173,0.2600779,2.9089198
129,-0.48167917,0.38845685,0.48796555,1.8328327,-0.118035205,0.22932842,1.8026514
130,-0.48908377,0.3788977,2.3702135,-0.03781171,-0.14412417,0.19052695,-0.16091543
131,-0.37277868,0.38498998,0.6152513,1.6004521,-0.18236636,0.3057886,1.7456076
132,-0.37646055,0.34792987,1.1317188,0.9868933,-0.13782452,0.20818421,1.0379119
133,-0.3371265,0.41515216,1.0185381,1.1940094,-0.22268762,0.23767784,1.2891624
134,-0.3432491,0.36451402,0.48538667,1.8861985,-0.1479803,0.20923586,1.8821875
135,-0.3233995,0.35934195,3.8228304,-1.560686,-0.14658782,0.28974518,-1.6500269
136,-0.46340126,0.34739584,-0.08377969,2.5158465,-0.13084361,0.15720615,2.479028
137,-0.40065947,0.33828616,0.29724917,1.9830352,-0.10273001,0.15571344,1.9483696
138,-0.34367907,0.3944852,-0.095299795,2.1766193,-0.10130061,0.24252535,2.3318021
139,-0.41579336,0.38359225,2.1907167,-0.004676845,-0.08066019,0.24545407,0.002384866
140,-0.45016292,0.38650128,3.808535,-1.6892585,-0.12299745,0.27682313,-1.7066473
141,-0.49514595,0.34989664,1.5540223,0.7062243,-0.19493715,0.37910998,0.8009595
142,-0.21517923,0.39553052,-0.82635313,2.9556036,-0.14352334,0.2584436,3.0485697
143,-0.33804056,0.37238073,-0.14491588,2.3157873,-0.20227395,0.3053978,2.3726811
144,-0.31441408,0.3936138,2.8322709,-0.6178685,-0.14393875,0.2419335,-0.58140516
145,-0.45689824,0.37566388,-1.5442079,3.6519284,-0.1649377,0.23557141,3.8630192
146,-0.46101654,0.36066642,1.4549689,0.75858986,-0.12644187,0.23817693,0.724624
147,-0.5423451,0.355533,0.66351986,1.5165193,-0.16190067,0.21630296,1.5128154
148,-0.3599337,0.40173244,0.64310604,1.5400507,-0.07502271,0.17168869,1.5773871
149,-0.46806875,0.40475807,2.9936025,-0.77875865,-0.15605539,0.26740414,-0.7282914
150,-0.39946938,0.35222545,3.9918368,-1.7222168,-0.20842382,0.27847588,-1.687879
151,-0.35626736,0.37244615,1.6103992,0.65050125,-0.15237768,0.23628138,0.63117105
152,-0.6005496,0.35593808,2.3005269,-0.11643035,-0.13771363,0.27855697,-0.1421613
153,-0.57130307,0.35341957,1.3858023,0.76359725,-0.19820821,0.28987604,0.81868196
154,-0.3214335,0.386521,2.0949616,0.018949052,-0.18967226,0.3543929,0.1744545
155,-0.3671262,0.38350993,-0.14982827,2.3693938,-0.16707337,0.23226118,2.4270697
156,-0.34651434,0.3956567,2.2071815,-0.02314672,-0.119676344,0.24141712,-0.053406246
157,-0.47853526,0.3496044,1.1975398,1.1525083,-0.20632872,0.28339744,1.0686586
158,-0.4342983,0.38206318,3.223102,-1.0333797,-0.15139382,0.28046483,-0.95702165
159,-0.4016446,0.36669242,1.9727081,0.22715695,-0.08788702,0.24362618,0.27604026
160,-0.45923004,0.3704233,0.49965554,1.6521407,-0.207603,0.36503145,1.7907294
161,-0.40400228,0.3992232,-0.6372956,2.9192488,-0.19738579,0.28402817,2.8388321
162,-0.33024138,0.3854703,0.33931753,1.9868848,-0.15681072,0.23264909,2.022187
163,-0.50197387,0.37919256,3.001414,-0.8906869,-0.16447365,0.36243704,-0.8105383
164,-0.34480667,0.35939625,0.39519623,1.8430367,-0.2768334,0.24925466,1.9384016
165,-0.40906507,0.34118718,0.35546732,2.1391425,-0.15630616,0.2503457,2.0375378
166,-0.29163343,0.35613227,0.47264585,1.5025989,-0.15735497,0.26696587,1.6340008
167,-0.34702694,0.3663544,1.3113949,0.91497535,-0.1699212,0.2867915,0.9920187
168,-0.42132187,0.38657853,0.45167133,1.7266872,-0.22406599,0.325965,1.8155249
169,-0.1839133,0.36929217,1.0605228,1.1246194,-0.10522208,0.19386873,1.025247
170,-0.3498219,0.37171975,2.3121445,-0.07372455,-0.13960955,0.26582623,-0.06593029
171,-0.55002975,0.368528,1.8813938,0.32236984,-0.15653616,0.3094598,0.37338486
172,-0.55898386,0.36125636,-0.16116552,2.286157,-0.14463036,0.2056148,2.2972808
173,-0.38881686,0.36227468,0.8098967,1.2549405,-0.21542718,0.3077606,1.3634953
174,-0.39732903,0.40341976,1.840072,0.324943,-0.17436166,0.2842531,0.39197356
175,-0.35101327,0.35158047,-0.10880632,2.399674,-0.14307041,0.24123439,2.4331472
176,-0.38511044,0.37703604,0.66493076,1.7590024,-0.23616467,0.24486805,1.6047167
177,-0.35492083,0.35979915,0.40804118,1.8867887,-0.17606026,0.18366344,1.8824168
178,-0.37163734,0.35035953,0.32596296,1.6377006,-0.10105622,0.19267727,1.7400376
179,-0.39495388,0.34299788,0.93189013,1.1914253,-0.10106192,0.28279313,1.174084
180,-0.5493695,0.36994955,1.4393619,0.7803334,-0.13551767,0.187884,0.8109241
181,-0.37154824,0.35929793,2.1620529,0.12222686,-0.23825683,0.28626698,0.11703187
182,-0.4019072,0.36446467,0.41317168,1.8877196,-0.28001457,0.32807213,1.9357212
183,-0.39854187,0.3886708,1.6669855,0.57401514,-0.1539709,0.18307921,0.5403291
184,-0.49872315,0.40392533,2.779362,-0.70064133,-0.07030385,0.19311999,-0.5761413
185,-0.45148066,0.3549467,-0.24537955,2.6448903,-0.08230882,0.086438395,2.551631
186,-0.39481378,0.3783463,0.66086483,1.6331414,-0.13948973,0.2657859,1.7291617
187,-0.26018065,0.3833913,1.0298526,1.1521975,-0.098822504,0.23371351,1.1627039
188,-0.19898653,0.36880255,0.51921654,1.6864556,-0.12838356,0.16903426,1.6724176
189,-0.43385375,0.41038686,2.5806947,-0.30886498,-0.18678316,0.2936759,-0.3174958
190,-0.502181,0.3288741,3.302894,-1.1411048,-0.15170762,0.19462654,-1.060502
191,-0.3434938,0.3700211,3.2478344,-0.9687916,-0.16526644,0.29043555,-0.9829375
192,-0.35027584,0.402059,1.2903548,0.94848585,-0.13076961,0.2846979,0.93567806
193,-0.42270774,0.3584541,2.4136126,-0.16003782,-0.06519623,0.15252279,-0.20511672
194,-0.23428665,0.38997516,3.205397,-0.93196905,-0.09292646,0.21463121,-0.9187844
195,-0.5393345,0.37834018,3.101668,-0.88122344,-0.119795054,0.22986966,-0.81927586
196,-0.25816122,0.37907633,3.4008403,-1.249713,-0.15922432,0.28456137,-1.3016928
197,-0.3895297,0.35562286,-0.0561879,2.2020595,-0.13254488,0.30041322,2.3169284
198,-0.42236984,0.35281286,1.4928554,0.8595543,-0.114711344,0.17167787,0.8010765
199,-0.4098769,0.38756496,0.63742626,1.4709074,-0.09926957,0.22503552,1.5408595
200,-0.4150624,0.35563296,0.17236198,2.053429,-0.16751595,0.26486993,1.9730341
201,-0.4300527,0.39608577,2.2768307,-0.09313114,-0.17677568,0.22041047,-0.06348697
202,-0.27066872,0.3753686,0.3931955,1.8799213,-0.20737132,0.30926022,1.883676
203,-0.33587542,0.38290173,3.115466,-0.8658144,-0.1760691,0.24983639,-0.860774
204,-0.2958589,0.33955827,1.5137055,0.6981198,-0.15459448,0.21613072,0.70115364
205,-0.26116446,0.3839449,1.1848316,0.93085724,-0.15027289,0.22731297,0.9475793
206,-0.3014164,0.37266445,1.9526886,0.28019872,-0.20234147,0.3370604,0.33944818
207,-0.3866243,0.38991398,1.397101,0.9666865,-0.19267662,0.2665472,0.90704316
208,-0.45844603,0.34971684,3.44957,-1.2872931,-0.21725337,0.31201893,-1.2071899
209,-0.4625174,0.3500962,2.4291282,-0.2443988,-0.20254093,0.33577552,-0.14945082
210,-0.35254076,0.36731213,3.3488147,-1.3906628,-0.07264431,0.20422925,-1.1960807
211,-0.15571715,0.39370006,1.3329207,0.91044104,-0.13108616,0.1630043,0.91248477
212,-0.49742058,0.37650287,-0.036057338,2.273654,-0.21874645,0.3093357,2.3611193
213,-0.3924469,0.3845524,3.917043,-1.7526699,-0.16838598,0.28790128,-1.6306812
214,-0.4399683,0.38576365,2.4343436,-0.19206676,-0.22283158,0.27987373,-0.1788813
215,-0.5336102,0.3454526,2.0655239,0.3012,-0.24170364,0.31282127,0.26740396
216,-0.5374896,0.3891118,2.264311,-0.02398315,-0.11376261,0.23729964,0.0031078544
217,-0.45102265,0.3462208,1.691331,0.6484404,-0.12433418,0.20073424,0.647083
218,-0.37421417,0.35728633,0.3011353,2.0791764,-0.1324871,0.26301715,2.087326
219,-0.3385502,0.3877546,1.4573952,0.8105601,-0.20368765,0.26187918,0.8745266
