,posterior_g1,posterior_g2,posterior_g3,posterior_phi,posterior_sigma,posterior_beta3,posterior_rho
62,2.14333,0.07287317,0.02203458,0.7776506,0.36516845,3.5422425,0.29018298
63,2.2595432,0.057601824,-0.030473232,0.7320279,0.46772787,3.5597634,0.3368638
64,2.5695748,-0.03268633,-0.018441675,0.5887961,0.67611253,3.1019764,0.3861112
65,2.108345,0.05423147,-0.008986567,0.56615347,0.41671607,4.0236187,0.30358636
66,2.5054832,0.076895066,0.025133798,0.7774173,0.40117875,3.068002,0.42311135
67,2.2259016,0.002808163,0.011752746,0.7117885,0.35100573,3.6198673,0.3003711
68,2.331179,0.01764439,0.03952803,0.7145444,0.44128904,3.5699782,0.32435158
69,2.2059073,0.063580394,0.007666258,0.73759043,0.41101918,3.4351034,0.32782048
70,2.5012586,0.06137733,0.10476471,0.7464832,0.57337606,3.1117108,0.40335846
71,1.8790625,0.029818803,0.018713323,0.22717148,0.6006026,4.635104,0.24902725
72,1.7706958,0.07424399,0.027482657,0.40009752,0.6522405,5.969209,0.16285755
73,2.1388812,0.04142291,-0.034054402,0.56243706,0.49253374,4.480635,0.23403582
74,2.4730177,-0.007365853,0.0016826693,0.7761563,0.47810763,4.0296435,0.28047264
75,2.462824,0.036649972,0.049674187,0.7759285,0.49054447,3.3907883,0.37678355
76,2.0527542,0.07719377,-0.005886244,0.5568699,0.39194497,3.7147384,0.34002647
77,2.3020098,0.07880772,0.03298769,0.8289939,0.3333756,3.060868,0.40539634
78,2.5670862,0.06430591,-0.039545994,0.72918403,0.6292539,3.261528,0.39051735
79,2.4503741,0.002144806,0.026010584,0.8236639,0.49485317,3.696166,0.33878773
80,2.1993473,0.027366478,0.067814864,0.75233257,0.43527034,3.1941946,0.36756012
81,2.244152,0.062260915,0.04616315,0.71690476,0.5124547,3.5731766,0.33009687
82,1.9838941,0.055887822,0.017364053,0.5124473,0.43780163,4.1316843,0.27807084
83,2.5546105,0.032451607,0.007909924,0.78583497,0.5547468,3.2786856,0.35300463
84,2.085882,0.032874603,0.09373272,0.6765237,0.30779448,4.020205,0.2672977
85,2.5255845,0.05265308,-0.00010407448,0.7304694,0.64071584,3.1245315,0.39388645
86,2.1779916,0.0058465833,0.0013832722,0.6633944,0.3665567,3.2806733,0.35150054
87,2.2513936,0.024281302,0.04379608,0.78927284,0.38712466,3.4047518,0.36462292
88,2.21016,0.034063946,0.0219321,0.6122236,0.53718984,3.860981,0.29485106
89,1.8757783,0.09283997,0.010862664,0.21591946,0.5800738,5.4167786,0.187087
90,2.463788,0.05610399,0.013354538,0.8237364,0.4096528,3.1671586,0.35417575
91,2.359634,0.07388981,0.012601902,0.7969362,0.5014778,3.2328,0.34857553
92,2.168742,0.06552345,0.07842311,0.67315614,0.38405168,3.3571548,0.367479
93,2.1347008,0.08246346,0.001730241,0.7863779,0.3649732,3.107692,0.39627936
94,2.4304137,-0.006543355,0.010420718,0.826347,0.39992735,3.2324774,0.39075524
95,2.3731556,0.03671296,0.037758816,0.7349425,0.47622555,3.302708,0.32920703
96,2.592838,0.039841946,-0.03495718,0.7902305,0.5406908,2.7598825,0.46825776
97,2.5456529,-0.007980589,0.0074627977,0.7110801,0.6186889,3.1467164,0.36549273
98,2.3168082,0.013970846,0.014623894,0.6247529,0.562944,3.816631,0.2713189
99,2.257381,0.06588958,0.022091316,0.7846624,0.39242977,3.431893,0.3506257
100,2.1732378,0.016678175,-0.04657326,0.7861516,0.33814144,3.8274806,0.2833784
101,2.1022127,0.14031056,-0.021293476,0.6193843,0.3986588,4.0416684,0.27881917
102,1.9841943,-0.0128387185,-0.003946648,0.2816986,0.44139522,4.3428154,0.24487774
103,2.1415482,0.031540096,0.020949524,0.64317495,0.49643812,4.1143646,0.26945147
104,2.3656745,0.044825286,0.0007286318,0.65240866,0.49341345,3.6119554,0.3035173
105,2.4251242,0.084785596,0.051747445,0.819895,0.5049545,3.4379594,0.35062197
106,2.3787143,0.043319996,0.0070340806,0.7508545,0.40148446,2.903584,0.461902
107,2.0390947,0.034217965,0.02535911,0.53990966,0.49543324,3.8427224,0.2834233
108,2.2850294,0.04314161,0.03382102,0.6540018,0.48806924,3.0223489,0.44658488
109,2.2436163,0.032940317,0.038271133,0.6762381,0.48461193,3.0183399,0.38844392
110,2.242028,0.09191977,0.00094918563,0.8100559,0.40132266,3.7734365,0.30010557
111,2.2369552,0.014141326,0.019209912,0.7031442,0.36508158,3.5862992,0.32858968
112,2.3643103,0.008496723,0.012280943,0.7242456,0.41353437,3.7979484,0.3046114
113,1.9307641,0.089167945,0.022847833,0.49721986,0.49949557,4.040537,0.27397522
114,2.5712895,0.04911605,0.014709858,0.8362726,0.42705384,3.380432,0.39398324
115,2.2947564,-0.0073723113,0.045251954,0.72002846,0.43534142,3.7663178,0.28912747
116,1.9615499,0.055334777,0.07119777,0.35392684,0.42395264,4.697959,0.24486181
117,1.8815076,0.026956415,0.020914566,0.3498437,0.6000127,5.202464,0.18910365
118,2.3416593,0.041270424,0.007308358,0.78969234,0.40523225,2.9678032,0.40383825
119,2.4350717,0.05075206,-0.009422526,0.78194386,0.48163,2.963945,0.4105898
120,2.1090093,0.07328745,-0.010043222,0.61152357,0.3850124,3.9091933,0.25344375
121,2.1849537,0.036858786,0.03146443,0.7139123,0.44793615,3.090498,0.3995191
122,2.3515482,0.06619895,-0.016891155,0.6978533,0.46017507,3.7887573,0.29874516
123,2.1679173,0.086431354,-0.0072674225,0.56607956,0.4799839,2.9881263,0.3947738
124,2.6032429,0.015448652,0.04064897,0.71725005,0.67585933,3.2415223,0.39348826
125,2.263456,0.032883365,-0.04821085,0.73870647,0.40715477,3.395945,0.3298558
126,2.4453983,0.05532803,0.013057521,0.76646864,0.5192825,3.2214344,0.37996307
127,2.274999,0.06735804,-0.033097707,0.75466263,0.4170012,3.4546354,0.33703732
128,2.3256893,0.06461614,0.018423535,0.7493354,0.4432934,3.6815372,0.30811542
129,2.259276,0.0724573,0.004160279,0.7771826,0.38543,4.0145965,0.27425057
130,2.473645,-0.009396837,0.0031557847,0.770304,0.51614493,3.522387,0.30294982
131,1.8503548,0.061898615,0.015278698,0.40269762,0.61477953,5.2155414,0.18959346
132,2.0665739,0.08494309,0.022103474,0.69607604,0.3988512,4.054679,0.25440842
133,2.0136788,0.05447353,-0.002717433,0.48232973,0.45704412,4.09394,0.2549739
134,2.2716985,0.035032563,0.008729336,0.7274483,0.43930635,3.4672024,0.32638136
135,2.095107,0.07289404,0.022897134,0.61459684,0.51292783,4.0090904,0.25833687
136,2.1323562,0.04685939,0.017976424,0.70010144,0.37270945,3.3612592,0.35219106
137,2.288903,-0.017916987,0.022805052,0.77471435,0.43013054,3.1906905,0.36880657
138,2.4667888,0.015003132,-0.068917744,0.72843355,0.5419001,3.3718643,0.35027924
139,2.5452876,0.011871584,-0.061080884,0.7983534,0.4420419,3.0519228,0.41558397
140,2.3769925,0.055362172,0.006740815,0.7443473,0.48318934,3.2948148,0.39499858
141,1.8992332,0.01850629,-0.03929672,0.33761367,0.65394,4.677489,0.23917787
142,2.119956,0.05853154,-0.006477721,0.4252779,0.5333059,4.3479204,0.2488915
143,2.505531,0.05604227,0.015986122,0.72944087,0.49041823,3.561302,0.34106347
144,2.4765544,0.01647191,-0.00089562515,0.76976776,0.44597805,2.8395624,0.4620771
145,2.2771947,0.03203135,-0.016660966,0.69112533,0.47072688,3.6406267,0.31436348
146,2.0685575,0.03502983,-0.0010430188,0.77266556,0.29807985,3.4419446,0.33974603
147,2.078396,0.057910442,-0.026389323,0.46885273,0.4870748,4.4052205,0.24309704
148,2.357969,0.06573237,0.023832256,0.80691016,0.30833706,3.096666,0.42992145
149,2.355927,0.06729708,0.007861118,0.7317156,0.5125281,3.7089581,0.29825294
150,2.1128745,0.03915315,0.035262246,0.680534,0.39796513,3.51272,0.32390252
151,2.2983289,0.041969236,0.018807849,0.8005123,0.35357037,3.238568,0.3994064
152,2.0574667,0.059972048,0.020178521,0.42838627,0.47678038,3.9200678,0.28155404
153,2.332742,0.05441551,0.0008450289,0.76579326,0.46762323,3.87498,0.2771532
154,2.0719342,-0.027458504,-0.03479801,0.5767183,0.40879267,3.6427226,0.309045
155,2.1249824,0.004990318,0.007611881,0.6763588,0.34854376,3.6854832,0.2947368
156,2.2084875,0.059284873,-0.027773127,0.7785596,0.40266973,3.7040637,0.31329995
157,2.22808,0.085882775,0.0042963694,0.801269,0.37212524,3.1238995,0.35820082
158,2.074885,0.017148234,0.054060046,0.4425563,0.4243187,3.5248427,0.30711433
159,2.2360463,0.065022096,0.0041755405,0.765638,0.38991714,3.3230696,0.34074414
160,2.115369,-0.0015809466,0.012264146,0.61692905,0.33034766,3.9492066,0.27566698
161,2.3121123,0.06386916,0.041647892,0.8366203,0.28200313,3.054988,0.41296792
162,2.3081183,0.04969993,-0.045734234,0.7404995,0.4025846,3.118956,0.4071771
163,2.1992295,0.08184061,0.0040771468,0.7082146,0.46369386,3.8356667,0.27070734
164,2.3120797,0.05354937,0.00089206814,0.84375095,0.39212182,3.2483773,0.39965302
165,1.9928849,0.071204014,0.015267367,0.5036874,0.62664056,5.0788713,0.18720867
166,2.240609,0.0012116316,-0.03739308,0.67432314,0.42330924,3.6703277,0.30271962
167,2.1070695,0.10693023,0.045597166,0.7186731,0.39447036,3.9209452,0.2589668
168,2.1479213,0.02233666,0.0552556,0.69767755,0.37571242,3.2069633,0.37484473
169,2.245762,0.033245977,0.007726299,0.6755178,0.42075926,2.9368207,0.4241355
170,2.0869849,0.08943375,0.017661769,0.8196707,0.34851298,3.663282,0.3064333
171,2.1993608,0.06665813,0.02810647,0.66215277,0.42225176,3.7988532,0.29499298
172,2.1717405,0.059993464,0.00318794,0.5995335,0.43860158,3.5662289,0.33446917
173,2.1108406,0.10449091,0.016219756,0.67513824,0.4387434,3.835769,0.2874882
174,2.0769107,-0.029796382,0.047569856,0.37084198,0.52723855,4.2353454,0.2462111
175,2.4292939,0.048994623,-0.015197715,0.7596809,0.45728114,3.459116,0.36778054
176,2.1362786,0.055943362,0.042425353,0.7595576,0.35284027,3.5486164,0.32347488
177,2.3354468,0.025318325,0.083244875,0.79758525,0.44969094,3.3793843,0.32970583
178,2.1542761,0.047670532,0.038232118,0.69501704,0.3781427,3.4564059,0.33928224
179,1.9532766,0.043555062,0.024282606,0.4827901,0.4460805,4.414074,0.25976744
180,2.1052582,-0.049161363,0.046128422,0.62367123,0.4130636,3.733373,0.28128603
181,2.219921,0.04656122,-0.0043312833,0.7383573,0.41121402,3.3551075,0.36252633
182,2.0048306,0.03059254,0.00859074,0.5917158,0.3007279,4.0986896,0.26496124
183,2.3552537,0.01895331,-0.014552482,0.6993612,0.49992937,3.5950205,0.33544236
184,2.3039958,0.035944756,0.01445158,0.6831034,0.474386,3.174991,0.37024036
185,2.4685338,0.0854562,0.015888898,0.75778425,0.48786396,3.2768474,0.38975626
186,2.5100524,0.06524417,0.021899402,0.665714,0.65598136,3.3356225,0.34929445
187,2.2365754,0.04655509,0.025416264,0.74558806,0.3860376,3.3283575,0.35371405
188,2.5070674,0.016474513,-0.014683245,0.701148,0.6059743,3.3441253,0.3537068
189,2.139569,0.009421374,-0.0056446134,0.7454885,0.3500605,4.2384887,0.26080868
190,2.1034284,0.028997568,-0.008944641,0.5530169,0.5021621,3.802211,0.28299356
191,2.4017658,0.06440818,0.019930804,0.66569483,0.5277886,3.9002476,0.29130712
192,2.145136,0.079387814,-0.025721459,0.75900996,0.31394,3.8047204,0.2874205
193,2.1833034,0.07147011,-0.0175198,0.7046804,0.41054556,3.4991105,0.34133014
194,2.5878527,-0.024019687,0.013050356,0.6811022,0.53449184,3.0038013,0.39470622
195,2.3526297,0.057863116,0.0348918,0.76138663,0.49762473,3.0965538,0.40891576
196,2.214802,0.016680757,0.034879133,0.65699327,0.43617034,3.7607317,0.30977035
197,2.2192502,0.018097594,0.017497217,0.6821124,0.43184817,3.6471627,0.28857544
198,2.020521,0.06188598,-0.008824986,0.49885327,0.3977198,3.8764806,0.3055386
199,2.4281573,0.025272131,-0.02705006,0.83107066,0.28548285,3.0707283,0.41398576
200,2.204548,0.04803375,0.060651388,0.8093688,0.35160297,3.6883836,0.29652748
201,2.190606,0.13486856,0.008670006,0.8128374,0.38542083,3.8288724,0.2942158
202,2.1587992,0.019960923,0.04090512,0.59170324,0.453473,3.447621,0.34130487
203,2.1564333,0.019659478,-0.024920713,0.7443565,0.3798226,3.1272995,0.36982393
204,1.9875585,0.026174443,0.016544048,0.36990532,0.46661502,4.056758,0.2791077
205,2.2045908,0.050708767,0.010208783,0.82036203,0.38139576,3.6728024,0.30204615
206,2.286865,0.022798074,0.01432074,0.7506506,0.5638644,3.0981314,0.4468979
207,2.0669172,0.07224141,0.022868201,0.55970675,0.42385966,4.085453,0.26650712
208,2.3228166,0.018500071,0.04039027,0.8050031,0.4084042,3.7123199,0.2895252
209,2.1766798,0.025587393,0.037631977,0.7416717,0.33577594,3.5842519,0.3020318
210,1.6527705,0.032893,0.028116187,0.09302997,0.8203303,6.186664,0.15330125
211,2.2289085,0.0636092,0.027597578,0.69894904,0.4845595,3.2573156,0.3444505
212,2.4345207,0.029795328,-0.023922095,0.68963796,0.55301464,3.0879297,0.40530065
213,2.0747387,0.014663396,0.013901106,0.5585723,0.4263887,4.0784235,0.26243106
214,2.4003587,0.05468264,0.0004583303,0.8367995,0.36571765,3.070604,0.39482725
215,2.0322084,0.018948385,0.008417141,0.43470904,0.4785177,4.2884135,0.258061
216,2.0678787,0.067358226,-0.002674644,0.4481379,0.49267492,3.850622,0.3179119
217,2.4295807,0.07664401,0.030721853,0.67417914,0.5098552,3.1105106,0.4230059
218,2.642868,0.049516518,0.09158091,0.7080007,0.592833,2.574225,0.50064594
219,2.3042867,0.019113587,-0.028723223,0.578437,0.58844745,3.558444,0.32366696
220,2.2271125,0.042161986,-0.016124824,0.75815946,0.36230987,3.1725965,0.4083026
221,1.866208,0.045558356,0.046671595,0.36754647,0.6661645,5.0594397,0.2183213
222,2.2390893,0.035665426,0.019824645,0.7240041,0.43891963,3.482324,0.34376982
223,1.9531608,0.099583216,0.05181355,0.48732212,0.41927707,3.4914317,0.35361445
224,2.5268638,0.01857937,0.030740157,0.71551347,0.59334695,3.520378,0.34732756
225,2.2673876,0.054990638,0.02439341,0.5794462,0.5886121,3.347604,0.35020784
226,1.9273578,0.07220743,0.0026378015,0.35042605,0.5499239,4.9654384,0.2016447
