,posterior_phi,posterior_sigma,posterior_g1,posterior_g2
118,-0.31828824,0.4928956,2.1768763,0.0357283
119,-0.4332841,0.48167214,2.1868873,0.05599355
120,-0.49646157,0.45742977,2.2158744,0.040247414
121,-0.54823595,0.4237774,2.0839005,0.051170077
122,-0.45408604,0.4867141,1.9565467,0.12166695
123,-0.53599566,0.43259403,2.2499444,0.085734
124,-0.40316856,0.50458497,2.1052556,0.07593368
125,-0.46303254,0.4945111,2.1150727,0.049428165
126,-0.39233267,0.48749918,2.014462,0.095950395
127,-0.48875788,0.46633768,2.0246658,0.10418589
128,-0.41042542,0.4833083,2.0334013,0.06680654
129,-0.5287664,0.43409023,2.1701677,0.09546903
130,-0.5490278,0.43598014,1.8930492,0.11038159
131,-0.4803785,0.49329957,2.0334322,0.1124905
132,-0.5373935,0.46357208,2.0298045,0.08922514
133,-0.3731123,0.49937955,2.0263152,0.0877185
134,-0.42740986,0.47935206,2.079405,0.07927874
135,-0.5803771,0.42060667,2.2062907,0.098398946
136,-0.42130563,0.44923788,1.9065864,0.12546878
137,-0.5053278,0.4281047,2.0623617,0.09179185
138,-0.3945613,0.4559778,2.332927,0.04699647
139,-0.2868906,0.49636182,2.0099466,0.09339158
140,-0.56823874,0.4787368,2.120865,0.051268324
141,-0.26102442,0.44792292,1.8471477,0.06504787
142,-0.3260358,0.49217644,1.9074695,0.09042419
143,-0.4890223,0.43478107,2.132614,0.09127732
144,-0.5878624,0.42372492,1.8949977,0.11578595
145,-0.6146495,0.4047489,2.0020509,0.051573057
146,-0.41482806,0.4940412,2.0702152,0.1142974
147,-0.4363299,0.43063006,2.0209093,0.073985636
148,-0.6075095,0.3660806,2.0518448,0.079492696
149,-0.60103947,0.44438413,2.3038218,0.03863401
150,-0.4088543,0.48182335,2.0872922,0.07529642
151,-0.57073903,0.42152107,2.1433024,0.003518873
152,-0.5890488,0.42039242,2.0436502,0.06353253
153,-0.3705187,0.51367503,2.0832999,0.09770699
154,-0.42398292,0.49580416,2.1531138,0.06188605
155,-0.3793398,0.48857275,2.2535691,0.086395435
156,-0.427822,0.45801336,2.0499666,0.11100437
157,-0.3255007,0.4854407,2.164264,0.082415216
158,-0.4118624,0.47720492,2.1511772,0.087252416
159,-0.47163838,0.43471643,2.1359787,0.11852361
160,-0.46668547,0.44668657,2.1882796,0.08658951
161,-0.5449282,0.4541435,2.0620108,0.10836391
162,-0.40620488,0.46196714,2.3290484,0.010782079
163,-0.5519707,0.4303686,2.1947896,0.064346865
164,-0.41615087,0.5170336,2.030921,0.07822001
165,-0.33103445,0.48217258,2.0735123,0.098395266
166,-0.41481894,0.47350478,1.9662035,0.10211869
167,-0.47027898,0.4505765,2.0669687,0.040599503
168,-0.3955044,0.46412343,2.090316,0.091964014
169,-0.46551165,0.4883392,2.1869714,0.08724083
170,-0.49872667,0.41815507,2.0222344,0.07467824
171,-0.58443666,0.38883382,2.2299683,0.03618273
172,-0.39686075,0.48925766,2.2404232,0.0811066
173,-0.4717087,0.47285795,2.0537534,0.09337159
174,-0.42692384,0.4792795,1.9897416,0.11338355
175,-0.33693773,0.448819,1.969553,0.07379032
176,-0.39582843,0.46137968,2.0861151,0.06203322
177,-0.5383092,0.44366884,1.9291269,0.070986554
178,-0.49879932,0.45021302,2.3275344,0.065794535
179,-0.4556133,0.4674921,1.8933002,0.07247046
180,-0.38477778,0.5151282,2.252643,0.077233426
181,-0.4552982,0.44967532,2.1659675,0.06261395
182,-0.4042405,0.48402843,2.0418618,0.100672625
183,-0.355804,0.48530015,1.8694197,0.105625354
184,-0.3846652,0.4675841,2.082639,0.060524646
185,-0.42123392,0.4786342,2.0822003,0.076943666
186,-0.3316135,0.47232693,2.0474882,0.047712523
187,-0.4986052,0.44673926,2.0935774,0.095044054
188,-0.39982262,0.46322525,1.9858714,0.09240742
189,-0.2544914,0.4927334,1.9789776,0.07984758
190,-0.27626246,0.5000224,2.0099292,0.05891816
191,-0.46073964,0.48073617,2.1079767,0.11610745
192,-0.2990235,0.49329746,1.9370263,0.10986094
193,-0.34183255,0.50199306,1.7476431,0.101666726
194,-0.39468184,0.4831912,1.8907232,0.057756357
195,-0.5459138,0.4031325,1.9051139,0.12093669
196,-0.5171705,0.46709147,2.064095,0.07888684
197,-0.56563175,0.43551806,2.2068708,0.0658377
198,-0.39370483,0.50686145,1.9337772,0.09739045
199,-0.3876588,0.47086543,1.9826257,0.13158901
200,-0.35304704,0.47500923,2.0348206,0.03165557
201,-0.5153913,0.42725474,2.1365921,0.06220067
202,-0.4399387,0.43870664,1.917185,0.093875766
203,-0.3858102,0.49591026,2.1506217,0.09116761
