,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_g5,posterior_beta2,posterior_beta1,posterior_beta3,posterior_rho
0,0.090090446,2.055411,-0.21598169,0.4098756,2.182294,0.9259027242660522,0.0731128677725792,3.9098604,0.38656712
1,-0.15051237,2.1871817,-0.24608092,0.4794621,2.2775292,0.9039528965950012,0.09723027795553207,4.8181915,0.32214722
2,0.07647739,2.1948056,-0.23040146,0.30112004,2.0484753,0.872968316078186,0.04312150180339813,3.5635796,0.44533002
3,1.4767579,0.7546817,-0.19285429,0.3763485,0.7640541,0.9020992517471313,0.10685305297374725,3.164616,0.6081085
4,2.0318792,0.19004256,-0.07172093,0.27542937,0.19728854,0.9303401708602905,0.09003148227930069,3.2230113,0.5552811
5,1.9448167,0.112409644,-0.21475753,0.33460966,0.16581318,0.9026378989219666,0.10139810293912888,4.3589864,0.35634816
6,-0.15020888,2.3424723,-0.17115429,0.24341509,2.417086,0.9383574724197388,0.07520407438278198,4.054678,0.37367076
7,4.57555,-2.2873168,-0.10139296,0.20681572,-2.2728722,0.8968149423599243,0.06273054331541061,2.8057435,0.6121681
8,-0.03172425,2.0532916,-0.21182765,0.2764341,2.4064572,0.24393482506275177,0.046748556196689606,2.5228438,0.94804734
9,2.5919464,-0.26660338,-0.22912894,0.32141545,-0.27920398,0.9089615345001221,0.09981846809387207,3.194639,0.55895865
10,0.011821493,2.0440826,-0.22706862,0.40351668,2.2395499,0.8264716267585754,0.09696754813194275,3.6489763,0.46569228
11,-0.63837504,2.868011,-0.18874866,0.29940498,2.9394183,0.940690815448761,0.0942981168627739,3.2593026,0.5917311
12,-0.20077372,2.2363427,-0.22017194,0.36157432,2.4984953,0.916312038898468,0.04072144255042076,3.4030797,0.46134248
13,0.72697717,1.2784418,-0.25192887,0.31173095,1.3846477,0.8577650785446167,0.12371014058589935,3.7606335,0.48351094
14,1.6887901,0.6135773,-0.21942945,0.46705282,0.7228036,0.9456207156181335,0.09791349619626999,2.7311633,0.6545232
15,2.884011,-0.71898013,-0.18379048,0.1896858,-0.6045927,0.8731894493103027,0.029252642765641212,3.530677,0.4359226
16,3.0194166,-0.83520687,-0.18253995,0.4633257,-0.83999145,0.9039905667304993,0.05424010381102562,4.0491066,0.32907027
17,0.17339464,2.078587,-0.24055481,0.18703224,2.1394465,0.9087721109390259,0.04064374417066574,3.6261525,0.41188696
18,0.13826495,1.9436531,-0.20123571,0.4328761,2.1002433,0.9490445256233215,0.08097469061613083,4.1049013,0.3913977
19,-0.04049709,2.0792108,-0.23014961,0.38971895,2.3595614,0.7803691029548645,0.05643869563937187,2.7654617,0.65198904
20,0.6296958,1.5326626,-0.26571992,0.39843133,1.7314245,0.8669847846031189,0.054974690079689026,2.9978967,0.55681163
21,2.2699842,-0.11656784,-0.11635525,0.25806,-0.04647476,0.9387640357017517,0.08465466648340225,4.1821175,0.35504076
22,0.46864372,1.7675849,-0.16383052,0.25597662,1.8441535,0.8893550634384155,0.11453106999397278,3.1441655,0.6192395
23,4.381255,-2.3122325,-0.0552882,0.20242678,-2.3597548,0.9246368408203125,0.0789056271314621,3.9129276,0.41505113
24,0.46184635,1.6927085,-0.17117013,0.4889105,1.724001,0.8552060127258301,0.058646783232688904,3.4108639,0.46149528
25,1.2228785,0.9511755,-0.13467775,0.2412436,0.8440917,0.9461129307746887,0.04992905631661415,4.3622127,0.3109813
26,3.0829043,-0.97815126,-0.17494892,0.26172674,-0.9996597,0.9269369840621948,0.09045777469873428,5.0953836,0.259778
27,2.8157814,-0.7788755,-0.18887545,0.27041206,-0.74717367,0.8142005801200867,0.14332659542560577,4.0372167,0.50720084
28,3.0178525,-0.87711245,-0.16245739,0.2900857,-0.8553457,0.9193230867385864,0.1207883432507515,4.2178593,0.4102736
29,1.4804025,0.77797014,-0.19176847,0.38073942,0.75355273,0.9068689942359924,0.08360672742128372,3.6514373,0.46003342
30,1.3857474,0.8288149,-0.13854443,0.3071308,0.86799306,0.8337463140487671,0.11811242997646332,3.1393583,0.67223245
31,0.22253068,1.9630136,-0.19109277,0.21790685,1.8180248,0.8127933144569397,0.07177972793579102,4.40861,0.34070483
32,1.0038227,0.9638877,-0.16475163,0.383627,1.130279,0.9217124581336975,0.06379763782024384,3.8632984,0.4025591
33,3.327031,-1.2528862,-0.21715994,0.40397406,-1.1949345,0.9455093145370483,0.08903071284294128,4.550436,0.31615284
34,0.7267283,1.4342479,-0.18537153,0.40189162,1.2303427,0.41042256355285645,0.04499266296625137,3.4113314,0.5099797
35,1.9967498,0.3272989,-0.26055473,0.36274603,0.32377928,0.870906412601471,0.07275719940662384,3.0165532,0.6148284
36,0.9709107,1.3375474,-0.24789476,0.22079967,1.4332451,0.915171205997467,0.04521239921450615,3.0721781,0.47778776
37,0.96287787,1.2197967,-0.23256476,0.3040792,1.2388043,0.890509843826294,0.0887441486120224,4.264944,0.36666393
38,2.9663908,-0.7059293,-0.18527158,0.42058486,-0.71435034,0.9481062889099121,0.056122131645679474,3.3714664,0.42806214
39,1.4685451,0.6115071,-0.20669466,0.36351842,0.7063766,0.9469166398048401,0.061777375638484955,3.793005,0.37168816
40,0.07939944,1.8648645,-0.02789194,0.25927258,1.9782943,0.7929394841194153,0.06933505088090897,3.7551084,0.44265062
41,0.8427957,1.3785192,-0.2720373,0.42088354,1.4536786,0.9473512172698975,0.08412457257509232,4.284828,0.3449514
42,1.7682899,0.44585222,-0.2096374,0.2307288,0.5553698,0.8131865859031677,0.07724405825138092,3.2466543,0.5297209
43,0.18054968,2.0398748,-0.18160577,0.24407095,2.0668354,0.9261300563812256,0.11212538927793503,3.8348439,0.4753065
44,2.03191,0.1143221,-0.14086446,0.31092277,0.08731903,0.9224421977996826,0.06820271164178848,5.0133295,0.2818406
45,1.1693554,0.9004677,-0.1503667,0.33087522,0.8965478,0.8775945901870728,0.10141217708587646,4.3981624,0.37089455
46,2.3786957,-0.10855845,-0.21771027,0.33015382,-0.12766802,0.9150121808052063,0.111561119556427,3.099306,0.6845099
47,2.440474,-0.21503295,-0.1393468,0.2864462,-0.25977916,0.9373480677604675,0.0996360182762146,3.7510395,0.46760187
48,2.3384776,-0.124741346,-0.14156467,0.17465949,-0.33029142,0.7515018582344055,0.05240780860185623,3.7096605,0.43012488
49,1.4626688,0.71754485,-0.14722584,0.3272931,0.74304724,0.935217022895813,0.07120838761329651,3.9355648,0.35276347
50,1.398505,0.8138489,-0.16714884,0.202566,0.8713951,0.8858941197395325,0.07374600321054459,3.467503,0.46584493
51,0.33127943,1.8447081,-0.3131263,0.4011059,1.9139373,0.9298713207244873,0.09129643440246582,3.5602248,0.4602394
52,0.13902219,2.2128532,-0.15822136,0.26990348,2.0364325,0.6292619109153748,0.05917549878358841,2.5649714,0.74858075
53,1.8084826,0.400469,-0.114327505,0.37220052,0.39480808,0.9102108478546143,0.08638492971658707,3.3907378,0.56348336
54,-0.1368726,2.2816386,-0.17518638,0.23838161,2.1312609,0.7129679918289185,0.07221774011850357,3.844089,0.40688747
55,0.87026316,1.1789461,-0.146767,0.3155828,1.2368652,0.935194194316864,0.07284141331911087,4.519477,0.30662316
56,1.2635968,0.75971335,-0.17445205,0.33875072,0.9168,0.9378639459609985,0.05501007288694382,4.6678896,0.31321698
57,1.4953157,0.70621717,-0.258526,0.40096435,0.76040804,0.9439013600349426,0.11265638470649719,3.5015996,0.5010212
58,1.7192037,0.40586758,-0.15550958,0.46192893,0.42407498,0.8878189325332642,0.07151829451322556,3.4036362,0.46520978
59,1.8078753,0.3326002,-0.22629097,0.45002496,0.35295388,0.928869903087616,0.09167346358299255,4.753448,0.3235765
60,0.985347,1.1204828,-0.21314815,0.27363124,1.1503433,0.8983046412467957,0.08124163746833801,4.4238844,0.3515588
61,2.8029594,-0.556808,-0.16867855,0.2979542,-0.65677595,0.9355627298355103,0.10278738290071487,4.1661596,0.35629672
62,3.9758198,-1.8065939,-0.34208784,0.39592394,-1.6540005,0.853731632232666,0.05405876785516739,3.2993712,0.46662146
63,1.4360316,0.76581866,-0.14364062,0.3500022,0.8376083,0.9284582138061523,0.08374697715044022,3.527596,0.45277542
64,2.6665502,-0.5370933,-0.17849673,0.3725864,-0.4887472,0.8800594210624695,0.08353213965892792,4.201998,0.36525053
65,0.94850534,1.1460747,-0.22374782,0.34508556,1.2526569,0.9073033332824707,0.04859504848718643,4.8036127,0.29317522
66,2.3451762,-0.1254024,-0.19055215,0.08869251,-0.22295263,0.799032986164093,0.06362967193126678,4.0648594,0.3590923
67,2.3566425,-0.25175482,-0.13803126,0.23772413,-0.16427186,0.9070682525634766,0.10032554715871811,4.561529,0.33317626
68,2.0129485,0.09911683,-0.17778073,0.34670958,0.1447449,0.9368349313735962,0.08925414085388184,3.845153,0.44685575
69,1.0378966,1.1760001,-0.22031192,0.372961,1.1926963,0.9423431754112244,0.06387519091367722,3.8311574,0.3917166
70,0.90888083,1.1081161,-0.14834309,0.22239234,1.27862,0.8428534269332886,0.07572519034147263,3.9434385,0.3943265
71,-1.7258021,4.046899,-0.19725122,0.3142234,3.9098036,0.7656570076942444,0.06031188741326332,3.6064188,0.4835675
72,2.1691463,0.09764106,-0.35018057,0.3697244,0.18020101,0.9348384141921997,0.06499893963336945,3.8042605,0.37469855
73,2.0745065,0.23181185,-0.19581188,0.26360527,0.24436232,0.942411482334137,0.13809561729431152,3.2434244,0.62216735
74,1.0716381,1.1211361,-0.17317198,0.35595807,1.2200421,0.9475457668304443,0.05050969868898392,3.7809422,0.37473246
