,posterior_g1,posterior_beta2,posterior_beta1,posterior_beta3,posterior_rho
0,1.7864298,0.5700105,0.21858812868595123,5.459406,0.24819231
1,1.8816272,0.5222452,0.09839770197868347,5.0002866,0.24228135
2,1.9245727,0.5406954,0.14555363357067108,4.83742,0.33608842
3,1.6457821,0.78185815,0.1725354939699173,5.3228855,0.23893382
4,1.6590098,0.74841166,0.16409197449684143,5.37226,0.23511665
5,1.8274904,0.52903134,0.11014571040868759,5.217159,0.215913
6,1.5338393,0.90676886,0.1741623878479004,5.696569,0.30705628
7,1.9745151,0.6531208,0.06835722178220749,4.3673368,0.27004236
8,1.8736022,0.5161825,0.12896107137203217,5.001308,0.26166213
9,1.945896,0.5508255,0.04708443954586983,4.771662,0.24979746
10,1.7061833,0.6032117,0.19701343774795532,4.975468,0.27794647
11,1.8292292,0.46876281,0.1768164336681366,5.689052,0.27765587
12,1.7247229,0.5934478,0.1927492767572403,5.2505517,0.25948137
13,2.013129,0.5483586,0.09703075140714645,3.9909096,0.4214634
14,1.8354162,0.54961735,0.15813840925693512,5.004206,0.2687201
15,1.8355086,0.5138921,0.15411847829818726,4.963193,0.27001774
16,1.8509068,0.54294586,0.09224886447191238,5.514184,0.16515146
17,1.9217023,0.4998135,0.09678015112876892,4.3231277,0.34495196
18,1.9191433,0.5399475,0.0702427327632904,4.3343234,0.28340903
19,1.8500508,0.5470464,0.09462210536003113,5.2189603,0.22160242
20,1.9826947,0.63390064,0.14655622839927673,4.6005607,0.3651236
21,1.7950894,0.60938257,0.10671201348304749,4.8885174,0.19421323
22,1.8324234,0.564293,0.16014307737350464,4.7268543,0.27909154
23,1.750583,0.5276465,0.22912977635860443,4.915796,0.31629157
24,1.8692285,0.4862384,0.12622740864753723,4.619313,0.269969
25,1.80221,0.5514689,0.1418389081954956,4.867368,0.25212944
26,1.8268745,0.5238946,0.17799480259418488,5.419465,0.2508016
27,1.8351127,0.5656375,0.12635737657546997,5.103108,0.23835133
28,1.7100133,0.721572,0.20314857363700867,5.316465,0.25553352
29,1.9012743,0.5001627,0.13841836154460907,4.594804,0.29427168
30,1.9544939,0.5957331,0.09169449657201767,4.51729,0.33418128
31,1.777136,0.68549895,0.12085863202810287,4.9056373,0.19772583
32,1.9675502,0.5905796,0.09825761616230011,4.7213182,0.28587037
33,1.7395976,0.5098488,0.21712368726730347,4.6704082,0.33897367
34,1.7581398,0.57561177,0.15827882289886475,4.5193696,0.28451058
35,1.98652,0.6418544,0.10280513763427734,4.444588,0.33884868
36,1.8185208,0.5634501,0.17896918952465057,4.9080896,0.2501535
37,1.7998403,0.5800132,0.0949125662446022,5.220165,0.16880022
38,1.7907695,0.48282072,0.18870176374912262,5.011142,0.28004408
39,1.8877093,0.45989528,0.13920949399471283,4.2870874,0.34528264
40,1.9198334,0.5838449,0.09569910168647766,4.9893346,0.2607707
41,1.8898966,0.5233615,0.12297213077545166,4.8213825,0.27239457
42,1.9684997,0.62482756,0.09454343467950821,4.0946727,0.33295146
43,1.681914,0.60088223,0.22447770833969116,5.2044764,0.33307564
44,1.9849244,0.60024846,0.08871030062437057,4.7556915,0.31202188
45,1.7306142,0.6730508,0.1502252221107483,5.2583857,0.22112356
46,1.7081686,0.6075693,0.19784285128116608,4.820811,0.31591517
47,1.7690797,0.5704531,0.13684441149234772,5.7398376,0.15982746
48,1.897801,0.48908937,0.1269516944885254,4.579125,0.28940833
49,1.8645662,0.5427922,0.14973485469818115,4.903996,0.2619575
50,1.8580437,0.5249355,0.14558279514312744,4.7469044,0.2507805
51,1.8591378,0.54889005,0.12763911485671997,4.8843813,0.2652629
