,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_beta2,posterior_beta1,posterior_beta3,posterior_rho
0,2.0627184,-0.015279414,-0.1732243,0.37784937,0.9251593947410583,0.10896306484937668,4.718926,0.3500444
1,2.1415765,-0.08797902,-0.16027403,0.16824597,0.7788538336753845,0.08439265191555023,3.5522065,0.5039609
2,2.0689425,-0.009917184,-0.16566421,0.3303764,0.9293765425682068,0.13656577467918396,4.6058254,0.39027143
3,1.9382912,0.023606809,-0.22835013,0.317901,0.6518092751502991,0.1372721940279007,4.0547447,0.49160838
4,2.1684074,-0.06379841,-0.27216277,0.43022943,0.935294508934021,0.08353627473115921,4.4876,0.32454804
5,2.0822127,-0.009945661,-0.19772866,0.25053203,0.8130117654800415,0.11254091560840607,4.2212887,0.42057517
6,2.368531,-0.0721957,-0.23603995,0.3695845,0.9239293932914734,0.10726982355117798,2.551604,0.7743276
7,2.2293584,-0.043318853,-0.18544644,0.37959743,0.9408524632453918,0.09098886698484421,3.696834,0.4626227
8,2.1480978,0.01058005,-0.21749638,0.39601618,0.828225314617157,0.10200581699609756,4.207998,0.39443815
9,2.1160092,-0.07999936,-0.110979,0.3071614,0.9119052290916443,0.10061123222112656,4.4796147,0.34529752
10,2.1522543,-0.05413816,-0.13161889,0.1900027,0.9485828280448914,0.09510120749473572,3.76264,0.4466646
11,2.2806208,0.008074151,-0.16219501,0.34986016,0.8087481260299683,0.09860940277576447,2.7248704,0.7550921
12,2.2029035,-0.004352756,-0.24432658,0.37168923,0.8979129791259766,0.09144119173288345,3.943589,0.41629556
13,1.9371206,-0.019805128,-0.27244908,0.433247,0.6398587226867676,0.1365581899881363,4.586081,0.35571134
14,2.094112,-0.090067826,-0.25627536,0.376968,0.873392641544342,0.10464069247245789,5.128781,0.298459
15,2.2765563,0.0021292625,-0.3251397,0.44104922,0.9098160862922668,0.08224020153284073,3.3281302,0.49212173
16,2.0803192,-0.008205022,-0.23084347,0.37886038,0.8692477941513062,0.10777106136083603,4.3397818,0.3957356
17,2.0942435,-0.032776847,-0.18720227,0.28702176,0.7736137509346008,0.14077594876289368,4.2605295,0.4733423
18,2.020128,-0.01759352,-0.3132785,0.48923814,0.6661891937255859,0.12732841074466705,4.8610077,0.36270228
19,2.2898383,-0.023326071,-0.2213716,0.31188798,0.9455614686012268,0.07219463586807251,3.966181,0.3851374
20,2.1272323,-0.058678437,-0.20408243,0.37488022,0.9189708232879639,0.056315790861845016,3.933017,0.38310122
21,2.0071535,-0.034758266,-0.15809146,0.3585103,0.7423644065856934,0.12798115611076355,3.464271,0.6013981
22,1.9588096,0.018160166,-0.18582441,0.3480122,0.7817716002464294,0.12355152517557144,4.5011454,0.41077465
23,2.1596525,-0.051252536,-0.23237228,0.35062045,0.9458511471748352,0.06784041225910187,4.596754,0.2821498
24,2.033936,0.00085861096,-0.10246073,0.31106034,0.8999428153038025,0.10581856220960617,4.1426425,0.4030795
25,2.098178,-0.061366502,-0.28042912,0.43011153,0.9260725975036621,0.11415586620569229,4.9755473,0.30189896
26,2.1988022,-0.027829107,-0.10724044,0.26853043,0.9300944209098816,0.09121532738208771,3.5799112,0.46927485
27,2.1262572,-0.06404213,-0.19286908,0.44994968,0.9480264782905579,0.04909326136112213,4.4731436,0.2805493
28,2.0457127,-0.0009102001,-0.1883693,0.3431266,0.9125776290893555,0.1152992695569992,4.4685755,0.36479113
29,2.2211416,-0.068345286,-0.2239206,0.303807,0.9309403300285339,0.08110765367746353,4.128793,0.36943352
30,2.2372215,-0.07775385,-0.27280366,0.4963366,0.893303394317627,0.049587249755859375,4.0016603,0.37480587
31,2.0853665,0.042670276,-0.18526846,0.3262703,0.8597772121429443,0.09629040956497192,3.678217,0.44332063
32,2.1627889,0.017325519,-0.1664391,0.42726317,0.9488157629966736,0.08843517303466797,3.9546492,0.34201503
33,2.1533432,0.047506656,-0.15105508,0.40873572,0.8732396960258484,0.07248673588037491,3.626676,0.4446788
34,2.175073,0.016960867,-0.16303375,0.37592438,0.9351872801780701,0.1094331368803978,3.5848978,0.4808183
35,1.8524551,-0.04972093,-0.19065906,0.37718707,0.5617603063583374,0.19288840889930725,5.0812364,0.36186096
36,2.1036046,-0.01641149,-0.20647737,0.41832715,0.8486766219139099,0.09328094869852066,3.953783,0.40502316
37,2.1902938,0.015645161,-0.20817724,0.43363234,0.9386827349662781,0.06213200464844704,4.0883923,0.35031882
38,2.0579813,0.04520807,-0.048455946,0.2095642,0.9194342494010925,0.08540565520524979,4.7368,0.30018547
39,2.1136067,0.024276381,-0.18655764,0.39224526,0.9478066563606262,0.08767202496528625,4.7327323,0.29743344
40,1.9242822,-0.10347238,-0.27564037,0.45454225,0.569617509841919,0.1424575001001358,5.553736,0.27376866
41,1.9606149,0.04642233,-0.22877255,0.3686987,0.8019399046897888,0.11208952218294144,4.7512007,0.27934316
42,2.1811867,-0.028545674,-0.19054414,0.32016882,0.9105486273765564,0.10262802243232727,4.500625,0.36621583
43,1.9129677,0.029874664,-0.1879383,0.28916705,0.7140727639198303,0.13962720334529877,5.165537,0.3178466
44,2.0493994,-0.0076494077,-0.16154703,0.2710758,0.8683488368988037,0.08539014309644699,5.244128,0.26131672
45,2.2308857,-0.12379476,-0.21779788,0.34151733,0.9413054585456848,0.07127036154270172,3.6066782,0.49579316
46,2.0798388,0.033238795,-0.2613556,0.35989037,0.9158183336257935,0.11455784738063812,4.2798023,0.3751501
47,2.165096,-0.04867331,-0.13240668,0.24952984,0.9425458908081055,0.11130338907241821,4.599099,0.38550276
48,2.059894,-0.01665834,-0.12285499,0.2873361,0.8885986804962158,0.11075999587774277,4.271698,0.4084962
