,posterior_g1,posterior_g2,posterior_beta2,posterior_beta1,posterior_beta3,posterior_rho
0,1.7016358,0.05802263,0.6316365,0.2043006420135498,5.5261455,0.23826568
1,1.7907987,0.10194635,0.53691906,0.13785190880298615,5.6143603,0.19732311
2,1.9346343,0.0904638,0.6047085,0.12344928830862045,4.2820945,0.36274788
3,2.1294026,0.091848634,0.8724116,0.06709558516740799,4.020192,0.3562253
4,1.8422204,0.111030936,0.5804132,0.07455657422542572,4.8179,0.24184707
5,1.8308753,0.06524875,0.5690853,0.16418464481830597,5.195392,0.23697072
6,1.9061364,0.051475618,0.5984904,0.10826130211353302,5.551982,0.22785111
7,1.8358697,0.07179441,0.44723013,0.16905906796455383,4.6942315,0.35726434
8,1.9415756,0.04073548,0.6956422,0.10323360562324524,4.464806,0.31580365
9,1.6155396,0.07910746,0.8082892,0.19370199739933014,4.957116,0.28856763
10,1.8495835,0.062329717,0.6118936,0.11617865413427353,4.905031,0.24624854
11,1.9161503,0.0951026,0.4992649,0.10611243546009064,4.1459827,0.3696499
12,2.0590749,0.057554647,0.780614,0.04496714100241661,4.1975527,0.27427217
13,2.0258348,0.054664347,0.80821383,0.06109645962715149,4.300908,0.29881486
14,1.8993489,0.109102845,0.604303,0.09538479149341583,5.7023444,0.225675
15,1.7813159,0.08075764,0.5316758,0.12491767853498459,4.885885,0.24717559
16,2.1111631,0.05756892,0.81302243,0.06886851042509079,3.6810262,0.36556002
17,1.8370645,0.058328837,0.44147164,0.1681205928325653,4.964168,0.28847206
18,1.8969693,0.059421103,0.5712235,0.10057418048381805,4.5996222,0.31628343
19,1.9626517,0.06604015,0.6619525,0.09035222232341766,4.3682632,0.3187965
20,1.8501221,0.07960441,0.52308136,0.14586684107780457,5.095239,0.2801756
21,1.9114914,0.061244655,0.5907346,0.11053021997213364,5.2137637,0.26494414
22,1.8867854,0.052545507,0.50764996,0.1604175716638565,4.5956397,0.3664486
23,1.7164426,0.091683954,0.6301575,0.09456459432840347,5.434714,0.18967465
24,1.6664158,0.08988558,0.6990445,0.19304171204566956,5.9630218,0.19582306
25,2.0783165,0.06737937,0.86355966,0.05926508083939552,4.744036,0.26571193
26,1.9163227,0.0801303,0.60221773,0.15680266916751862,4.9167304,0.33963016
27,2.029843,0.06616152,0.7169716,0.06856866180896759,4.6454144,0.3001022
28,1.882006,0.08289401,0.52626455,0.08368480950593948,4.756885,0.28700212
29,1.9832454,0.08310285,0.749724,0.06628255546092987,4.3365912,0.3084742
30,1.6102225,0.10092716,0.7265969,0.21436117589473724,4.6320477,0.37717268
31,1.8937725,0.024930714,0.5973521,0.1324281394481659,5.150141,0.24377395
32,1.788666,0.10154322,0.57761586,0.12249352037906647,5.478779,0.17924915
33,2.0093122,0.06665091,0.7684849,0.0626220777630806,3.9108062,0.32660446
34,2.0737927,0.05952875,0.871418,0.03186934441328049,4.669094,0.26077756
35,2.1214523,0.101354614,0.8699613,0.054819632321596146,4.582029,0.30167362
36,1.8234899,0.12347266,0.5200569,0.14744122326374054,5.141932,0.24843808
37,1.8343874,0.08937671,0.55437356,0.12832587957382202,5.1339545,0.23280537
38,1.7016876,0.045681883,0.637899,0.14995966851711273,5.091081,0.21067183
39,1.8575836,0.07860936,0.56636924,0.15467225015163422,5.5843573,0.23542322
40,1.6145637,0.08477501,0.70135206,0.20468975603580475,5.292545,0.28837445
41,1.9787871,0.07811263,0.750201,0.05082143843173981,4.5590024,0.27790767
42,1.9232624,0.07924424,0.5662074,0.13342462480068207,4.2116647,0.3875989
43,1.9570414,0.0818823,0.6727778,0.09270013123750687,4.7193274,0.30689934
44,1.8013083,0.081008874,0.5177119,0.16239677369594574,5.1572948,0.2674446
45,2.0507824,0.056308657,0.79933625,0.04605472460389137,3.9865584,0.32962525
46,2.02768,0.0755151,0.70551735,0.0600375160574913,4.664694,0.2654544
47,2.067449,0.0633971,0.86902523,0.059456970542669296,3.7740355,0.33297428
48,1.9180157,0.06102973,0.56261915,0.1260230392217636,4.5835323,0.33288026
49,1.8635017,0.02140842,0.49849367,0.16592922806739807,4.525216,0.36735076
50,1.8139881,0.07860352,0.57923317,0.13915309309959412,5.728625,0.1873652
51,2.1231804,0.057640053,0.8186032,0.06986232846975327,3.6884723,0.38152885
52,1.8763949,0.05067169,0.54981375,0.1496463418006897,4.5588994,0.3505523
53,1.96052,0.08669554,0.61464524,0.12726768851280212,4.133587,0.3948404
54,1.8283887,0.08805082,0.49488872,0.13987985253334045,5.154076,0.24760462
55,1.853565,0.07193092,0.5015819,0.1583595871925354,5.3304086,0.3105891
56,1.8047963,0.089778066,0.5069991,0.1579095721244812,4.6645155,0.29669973
57,1.7608296,0.10137376,0.5515853,0.17198053002357483,5.2442536,0.22289093
58,1.6117367,0.10734714,0.6884995,0.2183094322681427,5.1849723,0.316323
59,1.942772,0.052016977,0.42270163,0.15602220594882965,4.000207,0.51232034
60,1.7539558,0.12279255,0.55833477,0.09222585707902908,4.725952,0.22924294
61,1.6964955,0.100844145,0.52180827,0.23290245234966278,4.2287383,0.44358268
62,1.8071669,0.030587278,0.54167336,0.17004051804542542,5.333704,0.23362987
63,2.0075734,0.052564133,0.7979223,0.057421181350946426,4.701817,0.24295257
64,1.8152435,0.11847639,0.50421494,0.06302520632743835,5.120073,0.17392923
65,1.9930793,0.093976974,0.69117475,0.08097618073225021,4.3865895,0.30998263
66,1.7190808,0.08244862,0.53890896,0.21947899460792542,5.743428,0.25506246
67,2.026697,0.06790957,0.73005843,0.06910867989063263,4.399355,0.2982021
68,1.8746331,0.12769109,0.5441832,0.0687635987997055,4.689135,0.25407293
69,1.94736,0.02719168,0.5589989,0.08901239186525345,4.7711287,0.2891367
70,1.8481964,0.053172477,0.51256824,0.14357420802116394,4.8401246,0.27623758
71,1.6969712,0.082236566,0.51529914,0.20122283697128296,4.25655,0.35697052
72,1.9743357,0.062780455,0.7476402,0.06133650988340378,5.34469,0.23154643
73,1.9146485,0.060371578,0.5412006,0.13254159688949585,4.706645,0.331197
74,1.8691425,0.07962948,0.54104537,0.09986602514982224,5.239347,0.2398245
75,1.7482662,0.09302634,0.5090624,0.1367846131324768,4.9423046,0.24629015
76,2.0084555,0.110423736,0.81968606,0.03520885854959488,4.693631,0.26487082
77,1.7445602,0.06749606,0.5967554,0.194125697016716,5.4508085,0.26074755
78,2.0057049,0.044864245,0.7139217,0.09045983850955963,4.256984,0.31985474
79,1.7355983,0.029005494,0.5779579,0.1772897094488144,5.3609743,0.2289917
80,1.6641947,0.09751838,0.56295335,0.16536515951156616,4.9932017,0.2564007
81,1.9129417,0.069271,0.5963088,0.12138455361127853,5.2374873,0.25910437
82,1.9884032,0.055338632,0.7275677,0.06779851019382477,4.609843,0.28953665
83,1.7489761,0.107978806,0.5857095,0.20166538655757904,5.316814,0.26020905
84,1.9149958,0.06282886,0.6116347,0.07843002676963806,4.7796483,0.27013448
85,2.0551512,0.02891882,0.75042117,0.04901374131441116,4.430732,0.29133633
86,1.7949114,0.08235377,0.553472,0.16226419806480408,5.4287157,0.22300343
87,2.0440745,0.021051565,0.68928343,0.07485470175743103,4.1358232,0.35722902
88,2.0194178,0.08781343,0.7533987,0.0920155867934227,3.8325024,0.39479777
89,1.769851,0.092886545,0.48519596,0.1727069467306137,4.7897716,0.30464897
90,1.9037015,0.066712506,0.5264893,0.11286457628011703,3.9125807,0.38115665
91,1.7834507,0.05428609,0.46826786,0.18984054028987885,4.923116,0.32145992
92,1.9556628,0.06532449,0.6836935,0.08421029150485992,4.807168,0.2620601
93,1.8963665,0.05712661,0.5453516,0.12028121948242188,5.2099752,0.27965114
94,1.9734472,0.046026293,0.718504,0.10841261595487595,4.549881,0.32218117
95,1.9234774,0.06375346,0.5588539,0.08643204718828201,4.515219,0.2690523
96,1.9261566,0.092194006,0.55092025,0.1315411925315857,5.1780286,0.29225683
97,1.8615429,0.11027776,0.6175393,0.09577163308858871,5.1064277,0.23326297
98,2.0749664,0.10488107,0.8235876,0.03847876563668251,4.267973,0.2738275
99,1.9615117,0.058802776,0.6130705,0.07396943867206573,4.0859437,0.34917045
100,1.9307461,0.046055898,0.5455994,0.13294914364814758,4.144897,0.4050502
101,1.9560771,0.054409508,0.63461393,0.08130162954330444,4.2665257,0.34533176
102,1.8344939,0.10201012,0.5306173,0.12911783158779144,4.723478,0.3130553
103,2.0038388,0.027918216,0.67224467,0.04402707517147064,4.33727,0.27024707
104,1.60377,0.044563703,0.75481635,0.22562706470489502,5.9224653,0.27516705
105,1.8617063,0.08180259,0.4794104,0.11303471773862839,4.900631,0.27664185
106,1.8654552,0.061038498,0.5331787,0.10768280923366547,5.100143,0.2302438
107,1.9788328,0.07036462,0.7026883,0.08368661254644394,4.0594697,0.35672024
108,1.6947833,0.08240117,0.55834764,0.22536717355251312,4.73544,0.36020032
109,1.9072459,0.009495007,0.5541794,0.07601554691791534,4.580554,0.2686537
110,1.8410767,0.063995875,0.50711435,0.14754129946231842,5.266125,0.2716441
111,1.9660765,0.041358095,0.6211289,0.09643932431936264,4.9066834,0.26178423
112,2.1019914,0.06954275,0.9032636,0.07664903998374939,4.2473397,0.32305774
113,1.748871,0.07891936,0.55487704,0.1464083045721054,5.484315,0.18201925
114,2.1993995,0.051230114,0.8097763,0.07067187130451202,3.657512,0.39312837
115,1.9608173,0.012443279,0.5645964,0.09615323692560196,4.4068937,0.31153998
116,2.016928,0.060905796,0.7771672,0.053226713091135025,4.602478,0.2808216
117,1.8544244,0.04475578,0.49430922,0.0766240805387497,5.58874,0.21262379
118,2.0170035,0.08995908,0.7126615,0.05947078764438629,4.153545,0.3161387
119,1.9687926,0.06427318,0.6257186,0.14048345386981964,4.508041,0.36913127
120,1.7394985,0.08032059,0.5498462,0.1825956106185913,5.568089,0.21804102
121,1.7714297,0.11991468,0.5478724,0.1647576242685318,5.1660104,0.24457389
122,1.7300854,0.078877375,0.5838527,0.18002384901046753,5.1460204,0.23041798
123,2.0616455,0.0662216,0.81212276,0.0733121708035469,4.0132313,0.33190358
124,2.0891795,0.05525965,0.87131363,0.07073058187961578,4.130737,0.3034195
125,1.8260845,0.14095151,0.5307618,0.06331047415733337,5.1838546,0.19507214
126,1.6833056,0.11358599,0.5874639,0.22552447021007538,4.7968283,0.27997732
