,posterior_phi,posterior_sigma,posterior_beta3,posterior_rho,posterior_g1,posterior_g2,posterior_g3,posterior_g4
0,0.5051155686378479,0.9774928,5.524722,0.65740204,2.4795377,1.0737118,0.8082877,0.86752355
1,0.34732648730278015,1.1123055,4.1453404,0.4639387,2.8559005,0.98201287,0.93062794,0.9476241
2,0.42483237385749817,1.0180769,4.223747,0.25920895,2.7557404,0.9651821,1.1047031,0.8402837
3,0.40114477276802063,1.089717,5.4809923,0.3468174,2.485799,0.981596,0.8958141,1.0119154
4,0.41226330399513245,1.0686364,4.2366896,0.597724,2.6731899,1.1536132,0.80159855,0.8798026
5,0.25807181000709534,1.1250784,4.4222093,0.52839124,2.4597702,0.94794655,1.0442449,1.003386
6,0.3923459053039551,1.0470313,7.142663,0.75991666,2.5674465,0.79244924,0.7560259,0.9534308
7,0.37341827154159546,1.0691812,5.643687,0.19365239,2.8153405,1.0351397,0.89708793,0.8865518
8,0.5686482787132263,0.92246115,4.3559184,0.4999378,2.1909244,1.087188,1.0493428,1.0890821
9,0.5072518587112427,1.0226598,3.544373,0.53022605,3.1066742,0.98883444,0.753549,0.7898201
10,0.42259594798088074,1.0529284,4.710509,0.39199454,2.6449475,0.93249834,1.0269753,1.1371121
11,0.3830876052379608,1.0822295,4.2828283,0.41370824,2.7579176,1.2009746,0.9101546,0.8371127
12,0.4334261417388916,1.0594978,3.054209,0.5611111,2.9638228,0.9765078,0.80069387,1.0355119
13,0.3238465189933777,1.0951207,5.9375677,0.3092047,2.6581256,1.0314909,0.93103635,1.0376087
14,0.43856051564216614,1.0395741,6.3587,0.39491874,2.5198681,0.8549818,0.9726327,0.9791092
15,0.4367278218269348,1.0775574,2.6865375,0.7034873,2.926192,1.1473273,1.0065334,0.88916534
16,0.31516125798225403,1.1013604,3.0685155,0.55675465,2.9446037,0.9860491,0.87073493,0.9993038
17,0.28232091665267944,1.0838227,6.2268853,0.245351,2.5078177,0.9094953,0.8934318,1.01634
18,0.4125480353832245,1.0657347,4.472681,0.45564246,2.6954243,1.0786604,0.6997427,1.0103325
19,0.45376771688461304,1.0401815,3.4403632,0.91600424,2.7724137,1.079289,0.8635115,1.1204354
20,0.37284544110298157,1.0726788,4.2131104,0.31043977,2.604106,1.0377125,0.8941319,1.0955782
21,0.5532891750335693,0.97082704,5.8359323,0.3373392,2.4655082,0.92102736,0.9455647,1.0118744
22,0.2280440628528595,1.131555,4.764976,0.21146354,2.9153574,0.88744205,0.8600709,1.0959501
23,0.5130200386047363,0.9777466,5.2089343,0.62833565,2.366633,1.108773,0.995053,0.97667396
24,0.4981648325920105,0.9983029,3.7855046,0.38160107,2.7669241,0.760239,0.92427504,1.0171402
25,0.3289017677307129,1.1258808,5.03696,0.61353576,2.641936,1.0211449,0.8269432,1.0387363
26,0.48852092027664185,0.91770965,9.539098,0.6770828,2.308703,0.9419179,0.8998745,1.0214572
27,0.4596386253833771,1.0619348,3.5159779,0.68402535,2.8430178,1.092399,0.83643454,0.86247987
28,0.33928871154785156,1.1309813,2.8857346,0.5873748,3.0880353,0.9369948,0.848345,1.0175998
29,0.3744540810585022,1.064853,4.0570474,0.51776713,2.4487243,0.95751774,1.0455341,0.99398714
30,0.4719732403755188,1.0313264,6.4060473,0.24809854,2.4959946,1.0835258,0.9242975,0.99002373
31,0.493187814950943,0.8206585,10.252329,0.8701133,2.112323,0.91216886,1.0195141,1.0473121
32,0.4462354779243469,1.0352259,4.825987,0.32397565,2.5004199,0.8938798,1.0412148,1.1245241
33,0.24244481325149536,1.1320903,5.6294956,0.31015024,2.5858822,0.90463996,0.8397908,1.0982206
34,0.5003857016563416,0.998004,5.0938377,0.3126618,2.5275269,1.1430358,1.0902082,0.9112431
35,0.37694522738456726,1.0976942,3.6903408,0.4669861,2.8751507,1.1309959,0.8102667,0.8866699
36,0.3597811460494995,1.096347,6.356642,0.23151802,2.644292,0.97054046,0.9927495,0.9844245
37,0.46501755714416504,0.9563227,5.600558,0.7351034,2.20265,1.0038277,0.9931796,1.163065
38,0.24692435562610626,1.1431524,4.0589814,0.46473196,2.7070956,0.9840048,0.9599777,0.969604
39,0.4055425822734833,1.0430993,4.6297965,0.3265843,2.6249352,0.9983981,0.891866,0.95385736
40,0.3310795724391937,1.0821126,6.395844,0.44785976,2.3912709,0.9930866,1.0141574,0.9733373
41,0.33905163407325745,1.1088367,4.833516,0.3373012,2.9528263,0.999603,0.71254075,1.0037104
42,0.4582771360874176,1.0564935,2.850203,0.46306345,2.8563464,1.0653037,0.9659215,1.2552316
43,0.421417772769928,1.0265428,3.528081,0.62753075,2.6424336,1.0739757,0.88715816,0.9463256
44,0.35004523396492004,1.0882816,5.2040462,0.84876996,2.4635882,1.0166992,0.90724856,1.0035031
45,0.3933006525039673,1.0896908,3.513659,0.50617963,3.0100198,0.92003256,0.784162,1.1050313
46,0.3327889144420624,1.0838307,4.520559,0.7000898,2.4688325,1.0552766,0.85778075,0.953836
47,0.5700737833976746,0.931667,3.9206846,0.38714767,2.7040262,0.8163555,1.067238,1.0309991
48,0.2291356772184372,1.1449221,4.370023,0.34426215,2.7687657,1.1455525,0.88427246,0.98800033
49,0.3719266355037689,1.0644076,6.0998077,0.6411186,2.4671867,0.9610286,0.84252626,1.0332928
50,0.3803097605705261,1.0505376,5.4236383,0.68673784,2.3638012,0.946765,0.86052537,1.1717556
51,0.40080443024635315,1.08722,4.173159,0.53681874,2.706205,1.0227504,0.9493835,1.148727
52,0.2883809208869934,1.123713,3.8025496,0.61392623,2.8690178,0.8856908,0.8696643,1.1196723
53,0.40238481760025024,1.0129955,4.5343976,0.66954136,2.2980196,1.1263531,0.9274833,1.0118628
54,0.6042675375938416,0.9188161,4.577391,0.56820285,2.6398077,0.91304827,0.8765168,0.80838364
55,0.4433743953704834,1.0365386,4.446223,0.5209503,2.7082038,0.87628746,0.87751234,1.0432755
56,0.44419848918914795,1.0312756,6.6970177,0.29899648,2.5820947,1.0261087,0.7922601,0.98046637
57,0.6214324831962585,0.8856093,5.069711,0.12646474,2.5413911,0.9685724,0.9344282,1.2584193
58,0.1423802226781845,1.1915325,3.7101576,0.59017473,2.7280774,1.0613307,0.90234256,1.1390135
59,0.37190908193588257,1.0750507,5.217062,0.8284084,2.7013464,1.0187893,0.82690346,0.9697981
60,0.40433019399642944,1.0686548,5.106178,0.2092253,2.464775,0.97427595,0.9273007,1.2376018
61,0.5268567800521851,0.9832938,5.2480226,0.55420506,2.5283835,0.9075967,0.8663229,0.95235723
62,0.3661719858646393,1.0603917,5.1608434,0.46589786,2.4617457,0.97001237,0.8771693,0.97102404
63,0.3385956585407257,1.0854657,5.8210053,0.4227413,2.5125794,0.9858516,0.92419785,1.1206652
64,0.37165069580078125,1.0714066,7.597834,0.46386603,2.4896882,0.92298156,0.9131889,0.8836898
65,0.49055033922195435,1.0497903,4.5022655,0.34771633,2.8460205,1.0615323,0.9995329,0.9520832
66,0.682857871055603,0.84399354,4.7841797,0.621663,2.6288037,1.1491802,0.7814548,0.65971315
67,0.34939107298851013,1.128869,3.2939851,0.61376035,2.9331877,0.933325,0.8793773,0.97144824
68,0.29216501116752625,1.1119715,5.311568,0.30797765,2.7627501,1.0790187,0.87778705,1.0479449
69,0.4864657521247864,1.0239516,4.6261096,0.4049643,2.787159,0.8456491,1.042485,0.99936485
70,0.40107446908950806,0.97658736,6.6513643,0.501135,2.159688,1.0820508,1.042636,1.0613657
71,0.5174766182899475,1.0075423,4.786314,0.3480764,2.4697392,1.0239449,1.006893,1.0208836
72,0.572004497051239,0.9531617,6.0102673,0.2417056,2.8545911,1.00921,0.7566367,0.7584963
73,0.3387064039707184,1.106074,6.0087256,0.5989564,2.5171835,0.9482944,0.7388541,1.0924559
74,0.45785677433013916,1.0471095,4.307234,0.39806998,2.7189612,1.1305327,0.9339707,1.0634245
75,0.3589114844799042,1.0938668,5.8225665,0.5151795,2.6723058,1.024519,0.80787206,1.0536995
76,0.3779121935367584,1.0725338,4.2447324,0.5305708,2.7110932,0.908525,0.95698947,0.99936485
77,0.329664021730423,1.090603,5.1013894,0.38197792,2.4227896,1.0161699,0.8951007,1.1373338
78,0.45379820466041565,0.98909545,9.380566,0.4500329,2.295089,0.88463956,1.0025674,1.1545938
79,0.42889854311943054,1.0337409,5.6639853,0.31324178,2.7287433,1.0372068,0.7271633,1.1392162
80,0.43846896290779114,1.0597075,5.3867993,0.34372208,2.7838323,0.9896245,0.88999677,1.0557812
81,0.49542632699012756,0.9988552,5.172472,0.28005445,2.5451639,1.0392903,1.1118379,0.90226483
82,0.2977376878261566,1.0836943,3.7751606,0.40560964,2.8329802,0.9107865,0.7138033,0.96159786
83,0.46667465567588806,1.0459269,4.145728,0.5899984,2.7917426,1.0445931,0.8895425,0.8197238
84,0.5664371252059937,0.858854,8.521446,0.9621424,2.353899,1.0210717,0.8582896,0.87801486
85,0.3726056218147278,1.0898656,3.8467255,0.7115778,2.7935474,1.0332743,0.9935079,0.8656801
86,0.4262460768222809,1.0332999,5.009705,0.35434377,2.5233567,1.0245478,0.86288494,0.89137876
87,0.6115770936012268,0.7167984,8.074051,0.92437536,2.124357,0.92074174,0.9375928,1.0614365
88,0.40860694646835327,0.9816655,9.815996,0.49936324,2.3427856,0.96516424,1.0318304,0.8658892
89,0.3226092755794525,1.1093395,4.246451,0.247067,2.6340127,1.0374242,1.0362667,1.1008933
90,0.42454448342323303,1.0665902,4.311172,0.7978041,2.5470731,1.0892438,0.94068575,0.94487655
91,0.3670589327812195,1.1111578,3.343261,0.6414865,2.900904,0.9122882,0.8810548,1.0554389
92,0.35286906361579895,1.1004926,4.715381,0.3591292,2.6844203,1.1614484,0.9825562,1.006124
93,0.3720110356807709,1.1164516,2.5884707,0.9438792,3.069253,0.9656303,1.0140692,1.1787544
94,0.37558743357658386,1.0932934,3.588931,0.5957484,2.5480208,0.9289073,0.9696414,1.1073369
95,0.30748337507247925,1.1274475,3.446245,0.5734988,2.932335,1.0122634,0.90332603,0.89009035
96,0.32687410712242126,1.1146476,5.301755,0.32965505,2.8168442,0.9725837,0.81786484,1.0320545
97,0.38690343499183655,1.0847665,5.1033564,0.32974482,2.6106348,1.1279087,0.87023616,0.92944336
98,0.4367130696773529,0.8686449,9.026679,0.8921963,2.3971407,0.88707584,0.79452634,0.7988934
99,0.5708304643630981,0.9541969,5.648977,0.41573226,2.5133326,1.2249467,0.88495106,0.8206853
100,0.33394643664360046,1.0664378,6.4234166,0.22210076,2.5981603,1.0132983,0.91613615,0.88970697
101,0.4757899045944214,1.036631,5.6259212,0.23111731,2.748979,0.8033265,0.7623015,1.191563
102,0.3998115062713623,1.0568848,6.142634,0.32647994,2.5482478,1.0343783,0.9524742,1.088398
103,0.20216836035251617,1.1147977,5.753891,0.4807163,2.5331671,0.9322306,0.8328677,1.0460243
104,0.5003716349601746,0.98986256,4.915945,0.5332716,2.3567612,1.0057458,0.9530236,1.1020913
105,0.45713114738464355,1.0233269,3.9394314,0.43526423,2.8824646,0.86349505,0.957675,0.9729238
106,0.2936304211616516,1.1430576,3.080489,0.9221401,2.9419801,0.9643635,0.8666734,1.1329751
107,0.6131377220153809,0.7858339,7.568843,0.8376549,2.3352668,1.0906923,0.8359339,0.81255466
108,0.5220071077346802,0.93141747,4.3988757,0.9723987,2.4072692,1.0472771,0.7514774,0.95948124
109,0.42837193608283997,1.049462,3.703885,0.6119657,2.61001,0.98452175,0.77361387,0.9950765
110,0.37639474868774414,1.0932941,3.360045,0.5958737,2.9661198,1.1086111,0.8016145,0.9683316
111,0.34608083963394165,1.0897706,4.639101,0.45335397,2.7770543,0.9310027,0.9283093,1.0298158
112,0.33599773049354553,1.0846807,5.209553,0.44917464,2.525503,1.0909648,0.9295842,1.02673
113,0.5458391904830933,1.0267695,2.6760166,0.62097836,3.1335196,1.2430676,0.79746425,0.7404071
114,0.466976135969162,1.0096655,5.573784,0.40044737,2.6463609,1.0664966,0.9894601,0.9488747
115,0.43961000442504883,1.0279783,6.6269207,0.31042328,2.6853452,1.024644,0.91463095,0.83310276
116,0.4657660126686096,0.97880495,5.2421017,0.26473433,2.1689823,0.89636606,1.2745111,1.1604604
117,0.6054282784461975,0.9273158,4.6103773,0.30433318,2.3913014,1.0369395,1.0919403,1.3066404
118,0.4266923666000366,1.0645733,5.005766,0.2759988,2.8686864,0.97717315,0.7658987,1.0420538
119,0.33433282375335693,1.0772574,5.9355564,0.350119,2.5379505,0.878972,0.8961986,1.0138681
120,0.33583390712738037,1.1070434,3.2552977,0.45785993,2.9559765,1.0007967,0.88803554,1.0038502
121,0.3018169701099396,1.0925491,4.866162,0.320645,2.6067793,0.9978222,0.7509081,1.062619
122,0.358627587556839,1.0775003,5.142206,0.7145965,2.3973012,0.99038774,0.7944828,1.162663
123,0.5050896406173706,1.0129842,4.663637,0.365446,2.636694,0.9712292,0.88550836,1.1172519
124,0.6267656087875366,0.88062596,4.4712753,0.16239801,2.7218044,0.9809398,0.7755076,0.9796945
125,0.38006478548049927,1.0677819,6.1021185,0.19407476,2.7506545,0.82331926,1.0251985,0.98188704
126,0.49689212441444397,0.98555,6.554493,0.83684856,2.4505785,1.0427645,0.79477996,0.9090898
127,0.4682401418685913,1.0569203,3.4106436,0.64158505,3.042352,0.95933306,0.9314797,0.893175
