,posterior_beta2,posterior_beta1,posterior_beta3,posterior_rho,posterior_g1,posterior_g2,posterior_g3,posterior_g4
0,0.71470267,0.78008235,5.9649377,0.27780882,2.7928417,0.968835,1.1434416,0.91422683
1,0.8021882,0.7816363,5.750317,0.30765814,2.70161,1.0778116,0.8795678,1.0358855
2,0.7324332,0.7560124,7.137076,0.1380468,2.6347382,1.0682502,0.86459184,1.059228
3,0.7846073,0.7894914,5.583353,0.28199366,2.8088791,1.0415032,1.001955,1.0513892
4,0.662928,0.78200513,4.241083,0.56079596,2.8823345,0.951663,1.0231196,1.168428
5,0.80060184,0.7891514,5.1645274,0.38730916,2.984659,0.9674618,0.92438006,0.9662163
6,0.7683621,0.7877859,3.35849,0.6710755,3.121562,1.1320695,1.0154514,1.0043222
7,0.69892746,0.7838099,6.5420427,0.240689,2.581417,0.9741353,0.96517384,1.0321126
8,0.7000055,0.77613896,6.799545,0.21679474,2.8472946,0.95706105,0.9179125,0.84785676
9,0.89065564,0.81374836,5.8431797,0.14950223,2.392934,0.9658022,0.8555669,0.92720145
10,0.66977805,0.7932162,4.4178,0.49608314,3.0464416,1.0626117,1.016284,1.0204091
11,0.64537233,0.80914396,5.66508,0.36812642,2.704313,1.0775862,0.9563421,1.0408727
12,0.6388474,0.79905224,3.7439353,0.6046843,3.064116,1.0187907,1.0680366,0.8669329
13,0.6234566,0.7873896,5.358038,0.37372124,2.8138852,1.0900452,0.9180007,0.9437944
14,0.7195488,0.797413,5.992219,0.30623573,2.4593806,0.981007,1.0823271,0.9795082
15,0.6869243,0.78614134,7.3098297,0.24589284,2.7458534,1.0116768,0.99369663,0.92667884
16,0.6574742,0.7896768,5.348412,0.39594117,2.7689705,1.0477699,1.0762416,0.99410236
17,0.65593594,0.7952353,4.297929,0.43352664,3.1625245,0.85366017,1.007269,0.8138178
18,0.7354551,0.79830575,4.6186347,0.4045764,2.787624,1.1491852,1.035781,1.1734536
19,0.72103363,0.7806328,6.4463005,0.23939158,2.6984084,1.0323462,0.91851753,1.0186551
20,0.6985913,0.77601135,5.323338,0.36347166,2.9018064,1.0894178,0.98770714,0.8572711
21,0.616082,0.7899271,6.42995,0.27367514,2.6483686,1.0986538,0.9158396,0.82547855
22,0.67145824,0.7912279,6.361421,0.2336265,2.9895241,0.87553215,0.9661354,0.89586145
23,0.9466815,0.8118666,6.1076326,0.13766612,2.0454679,1.1095653,1.0427057,1.1093903
24,0.72062564,0.7725635,6.337255,0.24156292,2.6894083,0.9865735,0.87129647,0.98191494
25,0.7062616,0.80047464,4.3521004,0.4933457,3.0340235,0.959352,0.94814414,1.0408928
26,0.73243666,0.80073184,4.3351164,0.5847922,3.068658,1.1616963,0.9516569,0.9557561
