,posterior_phi,posterior_sigma,posterior_beta3,posterior_rho,posterior_g1,posterior_g2,posterior_g3,posterior_g4
0,0.31329077,1.1171985,6.0582952,0.37859437,2.4287372,0.86478865,0.941168,1.2112907
1,0.38027927,1.1109219,6.2307286,0.4676682,2.6636775,0.9512154,0.85120445,1.0607212
2,0.330478,1.1201515,6.063241,0.37846565,2.4979954,0.9631593,0.86107016,1.2299592
3,0.40731195,1.0895867,4.5482855,0.53925943,2.7993731,1.0321714,0.8065405,1.0202041
4,0.37845582,1.1253875,5.2297873,0.5471316,2.5864475,1.022988,0.9314467,1.1168618
5,0.36044317,1.1252888,4.92295,0.56552404,2.7179694,0.85138655,1.0324565,1.0396643
6,0.3165862,1.1244396,5.3855553,0.52758336,2.55555,1.0217434,0.92204905,1.2835643
7,0.28415024,1.1300825,5.2779922,0.44657293,2.5051572,1.0042459,0.9331574,1.107638
8,0.2888337,1.1116467,6.1826158,0.27592617,2.3095102,0.96282053,1.0252517,1.1600621
9,0.42662057,0.99271286,5.530655,0.22145055,2.301041,0.9867146,0.9231892,1.0953225
10,0.4412499,1.0174973,7.112818,0.25402105,2.240343,1.0708475,0.8708084,1.2281338
11,0.3867168,1.1056563,4.9517136,0.571849,2.6435375,1.0832268,0.888136,1.1053375
12,0.3210295,1.1215205,5.267311,0.6309568,2.5454295,1.155073,0.91574377,1.0155207
13,0.61229914,0.80021983,6.211417,0.3626024,2.18766,0.93706167,0.92783886,1.1312433
14,0.276507,1.1246153,5.898763,0.44709602,2.4503715,0.96211725,0.83731663,1.1237324
15,0.4745774,1.0463257,4.8650703,0.55718714,2.6678445,1.084921,0.7984317,1.0910257
16,0.42239258,1.0963098,3.7075372,0.6051985,2.726297,1.1258415,0.94864815,1.0361041
17,0.7311381,0.6429764,4.966094,0.57645017,2.1907623,0.8678384,0.7883673,1.1616962
18,0.3357031,1.1204404,6.2480836,0.35882363,2.500873,0.8746408,0.9762173,1.1942538
19,0.43368283,1.076051,4.844178,0.53759503,2.4878426,0.9556051,1.024352,1.3451103
20,0.4099829,1.0977131,3.9502554,0.78806716,2.7186675,1.0732102,0.9435905,1.0856128
21,0.4139111,1.0753769,5.6563582,0.6012741,2.5424285,1.0520198,0.8752557,1.3359585
22,0.19869798,1.1703511,6.5412245,0.46353364,2.513431,0.9681966,0.912283,1.1755964
23,0.43016675,1.0367628,7.5573983,0.22049671,2.4655893,1.0155976,0.8008078,1.013122
24,0.40039197,1.0826839,5.3429184,0.3942979,2.5872955,0.88481885,0.96726876,1.1482621
25,0.31978562,1.1395531,5.156786,0.55580115,2.666909,1.035604,0.8654503,1.1131327
26,0.62607765,0.8276287,5.3877087,0.50637877,2.330895,1.02731,0.68503743,1.1012642
27,0.27419767,1.1494101,5.08993,0.5777051,2.6123857,0.93297243,0.8925871,1.1498344
28,0.38573337,1.1064578,3.7064521,0.66557896,2.857957,0.7856364,0.80289805,1.1970955
29,0.331468,1.1044902,7.819658,0.45348343,2.4914563,0.967003,0.8588969,1.2301438
30,0.37194163,1.1116124,3.6534522,0.5791698,2.8434322,0.816992,0.8891833,1.1432047
31,0.35398954,1.1285969,4.0651774,0.7663426,2.8514955,1.0580721,0.82049036,1.0083848
32,0.29400104,1.1344821,4.726494,0.42346615,2.6128993,1.0927579,0.89898175,1.0088407
33,0.31570303,1.1125275,6.457798,0.33454546,2.5280051,0.9705215,0.8715289,1.0531172
34,0.44991305,1.0633115,4.482042,0.39029497,2.756862,0.83369327,0.9274554,1.063598
