,posterior_beta2,posterior_beta1,posterior_beta3,posterior_rho,posterior_g1,posterior_g2,posterior_g3,posterior_g4
63,0.39566505,0.8215969,4.27807,0.83124834,2.4440637,1.1468809,1.0888654,1.1664975
64,0.75884616,0.76463383,2.8439224,0.9112208,3.4065776,1.049167,1.007706,0.94374174
65,0.7854262,0.77529347,3.6200876,0.7645269,3.2065082,0.9852102,1.0393329,1.0848993
66,0.40691912,0.8027589,4.168365,0.9151267,2.678126,1.1598173,1.0979714,0.93158823
67,0.8750265,0.7558231,2.767024,0.90012974,3.2257855,0.9815984,1.0264384,1.2252614
68,0.39571202,0.7934508,5.1502347,0.6649051,2.6161535,1.0220468,1.1062684,0.96055734
69,0.39655107,0.80962616,3.8870633,0.89767164,2.9524007,1.0149969,0.7555801,0.9152375
70,0.6719817,0.7638876,4.1680174,0.4929685,3.104591,1.018753,0.78093165,1.0674763
71,0.43778032,0.8123418,4.1128,0.9868421,2.734452,0.9631381,1.0189824,1.026503
72,0.64285976,0.7978714,4.7829294,0.7113585,2.6752381,0.8929588,1.0934186,1.1102827
73,0.7063029,0.792965,3.967356,0.6073795,2.8657544,1.0267811,1.0841397,1.1671262
74,0.7774963,0.75700384,3.3538785,0.6954688,3.2815595,0.92374885,0.8764751,1.2002776
75,0.4637701,0.78660655,5.531548,0.6713322,2.8205316,0.9935353,0.9250195,0.835264
76,0.5640449,0.78048825,4.588309,0.4902654,2.7753062,1.1171075,1.0546157,0.9971586
77,0.27401626,0.81130666,3.6144793,0.98477536,2.6804266,0.9366966,0.8884958,0.9689651
78,0.46679994,0.8081518,4.687518,0.89159137,2.6905706,0.95545495,1.110905,1.0842695
79,0.5346306,0.8118006,6.586038,0.47726125,2.6163344,1.0874115,1.2069168,1.0969205
80,0.19189282,0.8045327,4.8833222,0.8938729,2.560584,1.0208793,0.99692696,1.0182393
81,0.66674834,0.8137839,5.2516766,0.60370725,2.8087459,0.90552306,1.1962539,0.9379134
82,0.4808628,0.7796821,3.735984,0.64768547,2.5606542,1.101722,1.1472033,1.0334811
83,0.43923688,0.7792986,3.386372,0.8643471,2.999115,1.0574777,1.1024722,1.1155627
84,0.5666762,0.78801554,4.417283,0.652824,2.9628084,1.0124385,1.00981,0.92015845
85,0.5960913,0.75632006,3.1869059,0.86982304,3.1134915,1.1062667,1.119151,1.044255
86,0.48017007,0.78655905,5.307784,0.72127336,2.7874415,0.9355465,1.0789788,1.0031565
