,Absolute Bias,Standard Error,95% CI Length
posterior_beta2,0.009926903247833296,0.000880257785320282,0.34909786134958243
posterior_beta1,0.002059090137481734,0.0003025997243821621,0.1154258340597153
posterior_beta3,0.2751161075448989,0.012470117976501367,4.78293052315712
posterior_rho,0.04532909393310547,0.0019835668802261354,0.7283502779901028
posterior_g1,0.07416947990252654,0.0022071878612041473,0.8643151819705959
posterior_g2,0.06659489870071411,0.0007616975903511048,0.2991122052073477
posterior_g3,0.03736865520477295,0.0007962119579315185,0.3108911648392676
posterior_g4,0.02557528018951416,0.0007853180915117264,0.30640849918127055
