,posterior_g1,posterior_g2,posterior_g3,posterior_beta2,posterior_beta1,posterior_beta3,posterior_rho
0,2.2946463,0.105625324,-0.2055836,0.05,0.20667076110839844,2.3712778091430664,1.0111078
1,2.2824018,0.12005514,-0.063587114,0.05,0.17808957397937775,2.125868320465088,1.102729
2,2.3913074,0.09978151,-0.21134105,0.061866696923971176,0.25554171204566956,2.148059368133545,1.1898323
3,2.3619027,0.18283807,-0.12227154,0.18717944622039795,0.18224115669727325,1.9869732856750488,1.2745326
4,2.2884445,0.036446687,-0.106142305,0.05,0.19577206671237946,2.2449474334716797,0.9470773
5,2.2311747,0.10909206,-0.018710483,0.05,0.2024388164281845,2.1520323753356934,0.98170924
6,2.1888897,0.12820311,-0.12210129,0.12405769526958466,0.2092200219631195,2.543412208557129,0.7775326
7,2.2529626,0.0856906,-0.13172565,0.05,0.17589356005191803,2.215482711791992,0.99945146
8,2.4298692,0.18430631,-0.18069834,0.05463762953877449,0.21819216012954712,1.9154964685440063,1.3739403
9,2.3795907,-0.004593628,-0.23049968,0.05,0.1896924078464508,2.073885679244995,1.0759186
10,2.27241,0.06818425,-0.18256657,0.05,0.1928206980228424,2.2070019245147705,1.005586
11,2.3509855,-0.0005186393,-0.18135259,0.05,0.2100156843662262,2.2218170166015625,1.0174308
12,2.3238409,0.17281774,-0.13103516,0.05,0.19913482666015625,2.0432863235473633,1.2095006
13,2.326587,0.016114656,-0.15888755,0.06804631650447845,0.1826329380273819,2.1572790145874023,0.9189123
14,2.310735,0.085890405,-0.12789597,0.20337282121181488,0.19139227271080017,2.3693130016326904,0.89307934
15,2.3275244,0.105224,-0.16940781,0.05,0.22870983183383942,1.9814832210540771,1.2498208
16,2.3172817,0.14162207,-0.12253101,0.09890769422054291,0.1745968461036682,2.0583510398864746,1.1254265
17,2.1968763,0.08102538,-0.15860432,0.05262397229671478,0.20595614612102509,2.4088640213012695,0.9804457
18,2.23211,0.052828535,-0.15191603,0.05,0.16267110407352448,2.1333701610565186,0.89340067
19,2.1909904,0.09581386,-0.12047448,0.05,0.2073427438735962,2.4093172550201416,1.0150335
20,2.226697,0.13662209,-0.17961985,0.05,0.22675178945064545,2.6063320636749268,1.0145994
21,2.3208508,0.06967794,-0.14810981,0.05,0.2135307788848877,2.1821441650390625,1.0902497
22,2.3521242,0.07385467,-0.2758668,0.05,0.1807655692100525,2.459357261657715,0.9366987
23,2.3294635,0.10412429,-0.04986643,0.06102656573057175,0.22928012907505035,2.0167970657348633,1.243657
24,2.184357,0.18677649,-0.11242559,0.08794194459915161,0.21079899370670319,2.548887252807617,0.93841946
25,2.2542758,0.099852964,-0.19474237,0.05,0.19018976390361786,2.212509870529175,0.9353708
26,2.2677171,0.11645845,-0.106525704,0.05,0.21532073616981506,2.0880119800567627,1.1190816
27,2.2045727,0.1074215,-0.08979996,0.05,0.17365604639053345,2.10787296295166,1.0220827
28,2.25732,0.07978088,-0.12986842,0.05,0.16850589215755463,2.122847318649292,1.016189
29,2.3647976,0.08388141,-0.16120382,0.05,0.20305030047893524,2.109086751937866,1.0828447
30,2.3796504,0.07145998,-0.15831892,0.06466548889875412,0.21503707766532898,2.194932460784912,1.1235946
31,2.2098093,0.1506428,-0.13247566,0.05,0.24626277387142181,2.3153481483459473,0.93507135
32,2.2858915,0.10164849,-0.14167276,0.06036529690027237,0.1645350605249405,2.1771790981292725,1.0081831
33,2.22871,-0.0011641993,-0.15129174,0.05,0.2021430879831314,2.2694807052612305,0.97195363
34,2.312911,0.0051010423,-0.1700793,0.05,0.1742701381444931,2.221397876739502,0.9455821
35,2.375216,0.1283617,-0.1446058,0.24862757325172424,0.16807721555233002,2.1048834323883057,1.0478052
36,2.3135476,0.009210275,-0.21127436,0.05,0.2095474749803543,2.1048953533172607,1.0407485
37,2.3136668,0.11436389,-0.09406723,0.05,0.19942337274551392,2.011932849884033,1.1441399
38,2.363181,0.14479332,-0.11751704,0.2559993863105774,0.17577487230300903,2.118645191192627,1.1140715
39,2.3291926,0.15441716,-0.14318644,0.09610389173030853,0.2122664451599121,2.035290479660034,1.2389534
40,2.2030635,0.09957342,-0.13126716,0.05,0.23579390347003937,2.248629331588745,1.0315638
41,2.245998,0.13290374,-0.11984812,0.05,0.1980178952217102,2.11747145652771,0.9343794
42,2.3713226,0.120203495,-0.17702165,0.08300081640481949,0.2136324942111969,2.1999247074127197,1.1711446
43,2.3465538,0.114078425,-0.11337023,0.05,0.22598937153816223,2.0121610164642334,1.1791111
44,2.2493496,0.12537801,-0.10669877,0.05,0.21827097237110138,2.1167967319488525,1.0593493
45,2.1916,0.09438947,-0.078004465,0.07307448983192444,0.17345206439495087,2.441598653793335,0.830136
46,2.3725493,0.09989222,-0.13339727,0.06921951472759247,0.18310315907001495,1.9889529943466187,1.2073739
47,2.2533233,0.18373874,-0.11169903,0.05,0.2159314751625061,2.033026695251465,1.1623479
48,2.3074114,0.042139772,-0.13867109,0.05,0.17279429733753204,1.8875411748886108,1.1304574
49,2.1579866,0.05177787,-0.17359276,0.05,0.2732307016849518,2.491089344024658,1.0504154
50,2.2133896,0.13369621,-0.14476812,0.05,0.20020228624343872,2.269894599914551,0.9715526
51,2.3041148,0.07929413,-0.2338892,0.05,0.11039452999830246,2.0911967754364014,1.0359677
52,2.3561623,0.13139826,-0.13393709,0.109800323843956,0.24255789816379547,1.996177315711975,1.3898644
53,2.2954144,0.096237704,-0.14065282,0.11456580460071564,0.17636294662952423,2.1196088790893555,1.0489801
54,2.2324028,0.13673128,-0.18162124,0.05,0.2349357008934021,2.235875368118286,1.0808163
55,2.261639,0.11792235,-0.11946838,0.05,0.20145262777805328,2.2845864295959473,1.0816184
56,2.3480003,0.06010429,-0.1842572,0.05,0.16973678767681122,2.0490777492523193,1.0948418
57,2.3320246,0.09370881,-0.24326867,0.05,0.19746120274066925,2.1750030517578125,1.0593921
58,2.257683,0.06689524,-0.12973608,0.05,0.18854942917823792,1.39618718624115,1.1336845
59,2.2737026,0.15864518,-0.1622874,0.0615556426346302,0.17699022591114044,2.148510694503784,1.0740851
60,2.2883844,0.074698366,-0.16082126,0.05,0.23536519706249237,2.2875916957855225,1.080893
61,2.3512828,0.079740465,-0.16464339,0.06832998245954514,0.21259218454360962,2.1429736614227295,1.0840245
62,2.2135446,0.21174805,-0.11152576,0.05,0.216125950217247,1.973857045173645,1.1634763
63,2.2473063,0.15017697,-0.045730636,0.05,0.19671805202960968,2.149209499359131,1.0343369
64,2.3058374,0.102424376,-0.108624645,0.05050618574023247,0.19573436677455902,2.1551530361175537,1.1346209
65,2.3286073,0.066633016,-0.09341759,0.10625036805868149,0.2207288295030594,2.139286994934082,1.109119
66,2.1760573,0.088269316,-0.057337157,0.05,0.2260061651468277,2.2596466541290283,1.049315
67,2.245467,0.19090967,-0.08664246,0.05,0.22756518423557281,2.023111581802368,1.2639862
68,2.2839785,0.019975714,-0.17006661,0.05,0.2020750343799591,2.2304980754852295,0.9593248
69,2.1861045,0.072987534,-0.09034404,0.05,0.19966477155685425,2.304171562194824,1.0517814
70,2.2281034,0.11988579,-0.10846197,0.13675594329833984,0.23813565075397491,2.3610899448394775,0.97654337
71,2.3421104,0.078364596,-0.12056878,0.05,0.24539293348789215,2.2138569355010986,1.1156416
