,posterior_phi,posterior_sigma,posterior_g1
157,0.15317415,0.69786024,2.1790643
158,0.1800206,0.6794687,2.1972919
159,-0.7220094,0.47951213,2.2326772
160,-0.6959092,0.51088816,2.2237134
161,-0.099691726,0.7232787,2.1294286
162,-0.13787954,0.70267683,2.1827698
163,-0.01340304,0.7480531,2.1859202
164,0.70524275,0.5193213,2.1145215
165,0.3824614,0.6484223,2.190344
166,-0.34097102,0.6684987,2.2037566
167,0.019593634,0.70382136,2.1894135
168,-0.7551313,0.4705523,2.1850727
169,0.23714395,0.6903552,2.2139158
170,0.038251325,0.7098282,2.242451
171,-0.4464542,0.62930506,2.18445
172,-0.14427239,0.7090879,2.243425
173,0.6883541,0.510563,2.247893
174,0.63007635,0.55081517,2.224264
175,0.17490259,0.7278485,2.1879265
176,0.056854382,0.77234846,2.284454
177,0.3371631,0.64233154,2.2544556
178,-0.7312684,0.5019345,2.2197475
179,-0.17299612,0.70541817,2.1667774
180,-0.0076114894,0.7348467,2.2066128
181,-0.6698535,0.5221945,2.2149124
182,0.7427122,0.4907443,2.1938367
183,-0.32172006,0.66096884,2.208756
184,-0.40418482,0.63637525,2.2455595
185,-0.67124164,0.5422014,2.1647005
186,0.61895436,0.57073706,2.242933
187,0.20476985,0.692854,2.1388223
188,0.61181617,0.55326086,2.1904693
189,0.37935793,0.62853825,2.1327524
190,-0.2126117,0.68294257,2.1775482
191,0.6370791,0.5443162,2.2115052
192,-0.6330821,0.53886527,2.131894
193,-0.85,0.42563084,2.1546848
194,0.24915226,0.66923416,2.2037313
195,0.07118362,0.6840312,2.1517386
196,-0.7174187,0.51008487,2.1546576
197,0.2827436,0.6629438,2.2114203
198,0.5986872,0.56560385,2.304115
199,0.47057652,0.6291539,2.2240784
200,-0.57277745,0.5786104,2.1363142
201,-0.71619934,0.49310488,2.1746552
202,-0.17193894,0.6815391,2.1824107
203,0.6612024,0.5352711,2.1777217
204,0.6199956,0.54178035,2.1507924
205,-0.11520167,0.74764997,2.2448509
206,0.08359698,0.72769195,2.1864073
207,0.59704745,0.5529114,2.2244537
208,0.02501449,0.74994,2.2530642
209,-0.52535635,0.6066665,2.1702585
210,0.11921836,0.70075643,2.2904902
211,0.13147421,0.727984,2.2432444
212,0.26624942,0.6820226,2.1712048
213,-0.035735793,0.70289373,2.1805441
214,-0.0039060072,0.7205092,2.2019804
215,-0.7142692,0.48008102,2.194682
216,-0.10815967,0.6762319,2.3246515
217,0.110587895,0.69094974,2.1724117
218,0.4247011,0.61793673,2.1375425
219,0.50831795,0.60387367,2.2440155
220,-0.79054105,0.4567256,2.1862187
221,0.20926437,0.70367354,2.2348423
222,-0.05244295,0.72784185,2.2175963
223,-0.021448297,0.7010151,2.094619
224,0.10747496,0.68637186,2.2239015
225,0.59923494,0.58235824,2.2012239
226,0.6594499,0.5020418,2.180476
227,0.027568735,0.7346478,2.146482
228,-0.5918334,0.55506843,2.200203
229,0.42555514,0.6366218,2.3375983
230,-0.71655273,0.49627274,2.2541983
231,0.35846773,0.65716183,2.218428
232,0.17239487,0.68030864,2.1795897
233,0.114366695,0.73363286,2.17977
234,0.43876314,0.6460058,2.212792
235,0.28535613,0.69663864,2.2226381
236,0.31830615,0.6648491,2.1913533
237,0.01626799,0.67205614,2.1460707
238,-0.7613929,0.46925843,2.1840029
239,-0.5352605,0.5757748,2.215646
240,0.2346197,0.67094177,2.2481596
241,-0.3033959,0.70949996,2.24502
242,0.06804526,0.6920851,2.204449
243,-0.67602617,0.49692053,2.2324677
244,-0.39476642,0.6447887,2.2603238
245,0.032364108,0.7099059,2.1783595
246,0.2044619,0.734584,2.1689432
247,0.52364373,0.58903134,2.1844342
248,0.33439073,0.66439855,2.2437227
249,0.75387233,0.46573287,2.110698
250,-0.19135478,0.6871208,2.1480286
251,0.07318168,0.73164177,2.195255
252,0.0029712107,0.75503266,2.212194
253,-0.023350136,0.7354997,2.1892164
254,-0.54922473,0.5857359,2.2529128
255,-0.7839555,0.44658396,2.1855032
256,-0.12289556,0.6900796,2.2576618
257,-0.106107846,0.7403815,2.2662625
258,0.025992172,0.7092831,2.1682324
259,-0.3175938,0.671233,2.2204897
260,0.020975346,0.69551116,2.1897058
261,0.3029369,0.6631039,2.229525
262,-0.16001798,0.70042384,2.2171035
263,-0.383219,0.6199232,2.16558
264,-0.60086375,0.54617566,2.1300178
265,0.5177339,0.61631644,2.1817482
266,-0.37206316,0.64508766,2.1538193
267,0.25546068,0.70628285,2.1525893
268,-0.5140229,0.59530264,2.1382747
269,0.28323188,0.74566793,2.3208556
270,0.56725484,0.5439056,2.207427
271,-0.3605318,0.6412605,2.1244583
272,-0.19224192,0.67860955,2.224632
273,-0.31181955,0.6582294,2.1509812
274,0.34299076,0.67944306,2.2413588
275,-0.08138511,0.71389747,2.2047272
276,0.39240053,0.6512208,2.185986
277,0.55777097,0.5929304,2.2207592
278,0.4076551,0.6427202,2.1889505
279,0.30481946,0.67359155,2.155174
280,-0.8396454,0.38835862,2.2051382
281,0.22827838,0.66744864,2.2321544
282,0.16972753,0.6855889,2.2165098
283,0.19589129,0.7088027,2.174262
284,0.5904252,0.5558127,2.1652396
285,-0.30744272,0.670467,2.2428453
