,posterior_g1,posterior_phi,posterior_sigma,posterior_beta3,posterior_rho
0,2.1872327,0.85,0.07181873917579651,4.3029904,0.70308554
1,2.2021296,0.85,0.07170039415359497,4.2439394,0.76297903
2,2.2865574,0.85,0.1049124225974083,3.823328,0.8554263
3,2.2105823,0.85,0.07424844056367874,4.252579,0.7277518
4,2.1286654,0.85,0.1392802894115448,4.708437,0.5485441
5,2.1996834,0.85,0.07138942927122116,4.398126,0.627913
6,2.2535284,0.85,0.12032473832368851,3.9067605,0.8384916
7,2.2301426,0.85,0.07967232167720795,3.8318937,0.7879956
8,2.3451989,0.85,0.06417165696620941,3.3763013,1.1091354
9,2.2239995,0.85,0.17026548087596893,4.3646364,0.6806532
10,2.374305,0.85,0.05734068527817726,3.5816445,1.0066454
11,2.2263908,0.85,0.09399314969778061,4.0198927,0.7788188
12,2.2050376,0.85,0.08240942656993866,4.407833,0.72161686
13,2.2851474,0.85,0.05777415633201599,3.7915862,0.9086643
14,2.2537425,0.85,0.11886868625879288,3.8950396,0.8198859
15,2.1438115,0.85,0.06246667355298996,4.6277366,0.6182324
16,2.4209955,0.85,0.06086447089910507,3.3692334,1.120708
17,2.1839452,0.85,0.09081757068634033,4.4468527,0.7361899
18,2.2935033,0.85,0.09150924533605576,3.5397224,0.9625927
19,2.2218444,0.85,0.11239354312419891,4.1105585,0.7735353
20,2.4106076,0.85,0.11687328666448593,3.3238468,1.1665641
21,2.1083074,0.85,0.14374274015426636,5.003061,0.5086001
22,2.2344353,0.85,0.12157656997442245,4.2430267,0.7351455
23,2.261158,0.85,0.08028046786785126,3.6183975,0.78856516
24,2.257396,0.85,0.1123003289103508,3.824952,0.81045306
25,2.3583586,0.85,0.10666286945343018,3.3833678,0.9904118
26,2.2284043,0.85,0.14451730251312256,4.210462,0.70096624
27,2.3714693,0.85,0.038114551454782486,3.634762,1.0598173
28,2.2197165,0.85,0.07681933045387268,4.107173,0.7507286
29,2.3123846,0.85,0.05459878221154213,3.564391,0.93210673
30,2.2123072,0.85,0.10306280851364136,4.0480604,0.75802225
31,2.2623138,0.85,0.11524420976638794,4.144249,0.8187008
32,2.1928456,0.85,0.1324305385351181,4.066718,0.72244406
33,2.1613145,0.8316488265991211,0.20422154664993286,4.5352716,0.6325187
34,1.9375381,0.8272460699081421,0.2647395133972168,4.0685234,0.48677677
35,2.4143178,0.85,0.1305100917816162,3.3955426,1.1145333
36,2.3105133,0.8407900333404541,0.14466720819473267,3.715467,1.0540656
37,2.3781657,0.85,0.07506255805492401,3.2543602,1.2366241
38,2.3896375,0.85,0.10659569501876831,3.2164187,1.0873446
39,2.2659404,0.85,0.10514356940984726,3.8823214,0.83814836
40,2.4739954,0.85,0.15175947546958923,3.2486172,1.1449996
41,2.175398,0.85,0.16540765762329102,4.227059,0.6607003
42,2.2373612,0.85,0.0966600850224495,4.1315084,0.7162931
43,2.1458654,0.85,0.13786938786506653,4.958014,0.5665539
44,2.244661,0.85,0.09756648540496826,4.100872,0.7614427
45,2.285735,0.85,0.09191912412643433,3.6851735,0.939269
46,2.2916076,0.85,0.07670928537845612,3.8585005,0.86877626
47,2.3192923,0.85,0.16403359174728394,3.9474056,0.8567852
48,2.2341762,0.85,0.12091568112373352,3.8902533,0.6980787
49,2.1588905,0.85,0.08839588612318039,4.968387,0.58750004
50,2.2899737,0.85,0.09786839783191681,3.5596094,0.93011045
51,2.4301944,0.85,0.09349598735570908,3.3496299,1.0516863
52,2.0966916,0.85,0.16476497054100037,5.085829,0.56145555
53,2.1392546,0.85,0.11575473845005035,4.513487,0.6376174
54,2.1119628,0.85,0.09561946988105774,4.81409,0.5569019
55,2.2912369,0.85,0.10305541753768921,3.8891065,0.9567985
56,2.0665042,0.85,0.13191181421279907,5.246999,0.542647
57,2.2657654,0.85,0.07497755438089371,3.6507587,0.86796176
58,2.3067484,0.85,0.16201838850975037,3.8401155,0.8471698
59,2.15725,0.85,0.11251562833786011,4.6426244,0.6352705
60,1.986498,0.8327577710151672,0.19868825376033783,4.251967,0.5564696
61,2.0756135,0.85,0.10227635502815247,4.584923,0.6372268
62,2.1844864,0.85,0.08399859815835953,4.183953,0.64896894
63,2.296334,0.85,0.06924057751893997,3.512914,1.0194252
64,2.154199,0.85,0.13206951320171356,4.5687537,0.64014536
65,2.048685,0.85,0.12614215910434723,5.1225257,0.59322953
66,2.2116191,0.85,0.12261968106031418,3.8495417,0.74294055
67,2.1775668,0.85,0.12676040828227997,4.6463323,0.6647988
68,2.4615479,0.85,0.03695270046591759,3.1950145,1.2302256
69,2.1153708,0.85,0.09356555342674255,4.8517113,0.6027984
70,2.349278,0.85,0.10444298386573792,3.4627235,1.0126188
71,2.5796106,0.85,0.10875384509563446,3.1562269,1.1923746
72,2.1338685,0.85,0.13687071204185486,4.6398277,0.601977
73,2.2698152,0.85,0.10577413439750671,3.8593175,0.8158099
74,2.2241752,0.85,0.0889938473701477,4.1219225,0.7187989
75,2.0114427,0.8280790448188782,0.21906302869319916,4.921051,0.5505594
76,2.257034,0.85,0.12128896266222,4.0875893,0.76311445
77,2.1803427,0.85,0.11764056235551834,4.367546,0.6689932
78,2.3563905,0.85,0.08232995867729187,3.3027706,1.1288792
79,2.2933927,0.85,0.0865836888551712,3.5612926,1.013027
80,2.3235488,0.85,0.05,3.7078283,0.9206804
81,2.50696,0.85,0.08565586805343628,3.2892992,1.2317032
82,2.2290797,0.85,0.07504017651081085,3.8163042,0.86269003
83,2.1918447,0.85,0.08152950555086136,4.5469894,0.69791156
84,1.7010742,0.7927104830741882,0.532756507396698,4.3001127,0.5340382
85,2.0839148,0.85,0.14340028166770935,5.0016975,0.5708409
86,2.232371,0.85,0.12211187928915024,4.145846,0.76182836
87,2.11014,0.85,0.09403957426548004,5.0375657,0.55047554
88,2.279953,0.85,0.1654461771249771,3.5855854,0.85373735
89,2.5049717,0.85,0.0829157680273056,2.9080195,1.3945397
90,2.2246041,0.85,0.10511454939842224,4.090998,0.6870548
91,2.296194,0.85,0.14847885072231293,3.6688695,0.9512897
92,2.1855304,0.85,0.11695072054862976,4.5728216,0.70953876
93,2.2257938,0.85,0.11941778659820557,4.3946967,0.65684134
94,2.0550687,0.85,0.1837995946407318,4.5880527,0.65910447
95,2.2021995,0.85,0.10698887705802917,4.36771,0.67147136
96,2.1686933,0.85,0.15540947020053864,4.355604,0.6046217
97,2.0652313,0.85,0.1075199767947197,5.3047523,0.5816871
98,2.3778837,0.85,0.11211425811052322,3.3426132,1.0436013
99,2.3021622,0.85,0.10010477155447006,3.5961387,0.97001266
100,2.0548437,0.85,0.08337555825710297,4.91458,0.54025364
101,2.073576,0.8308825492858887,0.2148658186197281,4.923956,0.5554851
102,2.2582035,0.85,0.10631883144378662,4.153988,0.8605887
103,2.3236587,0.85,0.102902352809906,3.6647735,0.92376715
104,2.2307987,0.85,0.12399531155824661,4.1642027,0.80368716
105,2.1856158,0.85,0.12635207176208496,4.4486084,0.55264026
106,2.2832973,0.85,0.09798219799995422,3.7682962,0.8410826
107,2.2014065,0.8368602991104126,0.16539329290390015,4.500002,0.6652496
