,posterior_g1,posterior_beta2,posterior_beta1,posterior_beta3,posterior_rho
0,2.0665467,0.05,0.24785150587558746,2.7567925453186035,0.85883576
1,2.1253378,0.05,0.24616208672523499,2.402184009552002,1.0738163
2,2.167775,0.06261741369962692,0.21690034866333008,2.4495127201080322,0.8988182
3,2.1355436,0.05,0.2760096490383148,2.5489511489868164,1.0239636
4,2.07656,0.05,0.2457534223794937,2.721808433532715,0.8907571
5,2.1485999,0.05,0.19151344895362854,2.193584680557251,1.052981
6,2.035933,0.05,0.28999385237693787,2.826866865158081,0.89051485
7,2.1413388,0.05,0.2260400950908661,2.3086020946502686,1.0213152
8,2.115857,0.05,0.2136046141386032,2.5364675521850586,0.898046
9,2.2519977,0.05,0.18572115898132324,2.1076595783233643,0.9265286
10,2.1011105,0.05,0.23386652767658234,2.4646942615509033,1.0156902
11,2.119762,0.0807715579867363,0.24515461921691895,2.5747122764587402,0.99932826
12,2.0763075,0.05,0.2642110288143158,2.5941152572631836,1.0080285
13,2.1677277,0.06902948766946793,0.26100409030914307,2.612410306930542,0.88553447
14,2.152559,0.05,0.20833982527256012,2.2725818157196045,1.0125387
15,1.999113,0.05,0.3007977306842804,2.6995625495910645,0.9567793
16,2.1892867,0.05,0.1875578761100769,2.157329559326172,0.98598194
17,2.0786283,0.06279607862234116,0.24242474138736725,2.7079029083251953,0.9759815
18,2.0500424,0.05018025264143944,0.24279771745204926,2.700450897216797,0.7924814
19,2.1084018,0.05,0.24399001896381378,2.6813721656799316,0.8615304
20,2.1457007,0.05,0.2010188102722168,2.4121572971343994,0.9587449
21,2.181252,0.07088839262723923,0.190906822681427,2.497122049331665,0.7965686
22,2.1900356,0.05,0.1644354909658432,2.1870977878570557,0.94623774
23,2.1407945,0.05,0.24687011539936066,2.493806838989258,1.0622886
24,2.4488142,0.08738181740045547,0.2121414989233017,1.9723941087722778,1.2147361
25,2.1945527,0.05,0.22944258153438568,2.265690326690674,0.9907143
26,2.207384,0.05,0.16262505948543549,2.134793758392334,0.98811704
27,2.259014,0.0649564266204834,0.2000875174999237,2.355412721633911,0.9698326
28,2.0646677,0.06725038588047028,0.28225934505462646,2.8630552291870117,0.9699164
29,2.0206666,0.05,0.30191266536712646,2.933396816253662,0.89302856
30,2.0741854,0.0676838830113411,0.2587988078594208,2.7100815773010254,0.9539428
31,2.1722484,0.05,0.19559121131896973,2.144376516342163,1.0948601
32,2.2164283,0.05,0.21168792247772217,2.1224172115325928,0.9369127
33,2.2133367,0.05,0.23280902206897736,2.198579788208008,1.0066569
34,2.1013787,0.05,0.24017032980918884,2.351619243621826,1.1013942
35,2.1154668,0.05,0.24470683932304382,2.5572245121002197,1.0439794
