,posterior_phi,posterior_sigma,posterior_g1
0,0.55671924,0.75309396,2.3228693
1,0.5501705,0.6573166,2.2274718
2,0.6533556,0.7605591,2.0883007
3,0.6355945,0.7402925,2.2149093
4,0.67247266,0.77702284,2.0645404
5,0.6958642,0.7857977,2.1380196
6,0.64946365,0.7568352,2.0827606
7,0.72947735,0.7277322,2.4323852
8,0.5404312,0.6949513,2.2431967
9,0.5801341,0.7202807,2.151986
10,0.68071383,0.718206,2.3596904
11,0.64953506,0.8163928,2.2930095
12,0.5574926,0.73948675,2.163147
13,0.6003646,0.64509666,2.1463914
14,0.62802225,0.6728908,2.23594
15,0.6871808,0.7462494,2.2622523
16,0.539152,0.8065822,2.0249357
17,0.6262711,0.6905272,1.9660286
18,0.7039032,0.69259226,2.1864307
19,0.6453882,0.7226454,2.0623243
20,0.67309606,0.70726335,2.1767375
21,0.61772245,0.85522145,2.1965218
22,0.71788085,0.7104104,2.0990663
23,0.70691127,0.7011115,2.272507
24,0.58867085,0.72821254,2.19647
25,0.59141904,0.67955726,2.0645547
26,0.657973,0.73734283,2.0142
27,0.688896,0.7178832,2.2343156
28,0.6028689,0.7558119,2.1451304
29,0.60797673,0.7384438,2.141539
30,0.641532,0.71290755,2.2496815
31,0.6921676,0.72195053,2.2238667
32,0.5897739,0.7551925,2.1962092
33,0.6151654,0.6741481,2.0994484
34,0.68782496,0.77078414,2.408973
35,0.5704741,0.7663654,2.2328458
36,0.59450865,0.6955676,2.120075
37,0.58285993,0.6902681,2.171025
38,0.74254,0.77081627,2.3481274
39,0.6024685,0.71094835,2.193572
40,0.6258125,0.7450535,2.2655454
41,0.60801506,0.68789613,2.2787025
42,0.61007524,0.71745384,2.109825
43,0.588993,0.72655296,2.1215138
44,0.68019366,0.6642892,2.1536014
45,0.5843738,0.7243836,2.2630634
46,0.6380102,0.7372136,2.2720003
47,0.6339293,0.6889897,2.2339363
48,0.68068993,0.6953389,2.2595937
49,0.6648006,0.67269415,2.1402814
50,0.6832572,0.6542698,2.2850864
51,0.7176068,0.7486075,2.4307106
52,0.69824237,0.67450637,2.2646651
53,0.6426409,0.6181888,2.1903095
54,0.6309189,0.7624588,2.0562458
55,0.73208505,0.78506655,2.4020202
56,0.582336,0.7582626,2.2592812
57,0.6940157,0.63387275,2.1821883
58,0.6018792,0.7828998,2.2257533
59,0.63576686,0.841271,2.1730216
60,0.5898916,0.84504676,2.2639973
61,0.57346725,0.7341324,2.1691463
62,0.6418904,0.7099386,2.1403906
63,0.67704076,0.75430936,2.144193
64,0.56139183,0.7092823,2.2939615
65,0.60423493,0.792154,2.12531
66,0.66851985,0.77299976,2.05396
67,0.63346046,0.6806411,2.2578354
68,0.58973634,0.71351403,2.1933486
69,0.6176644,0.800648,2.2927012
70,0.620287,0.7719764,2.1726477
71,0.62581724,0.7508417,1.9579197
72,0.56808984,0.7466334,2.1269388
73,0.7237252,0.75633377,2.1749518
74,0.637068,0.80072254,2.3011913
75,0.60919905,0.6958598,2.038365
76,0.74088025,0.6616689,2.1889434
77,0.56628996,0.8029951,2.2207546
78,0.65368146,0.71453387,2.0315454
79,0.6720219,0.7726624,2.1139388
80,0.64231515,0.80883425,2.2281795
81,0.6642188,0.6481631,2.1813297
82,0.6244749,0.7109792,2.2909834
83,0.66877085,0.7423755,2.3341649
84,0.5842285,0.7033313,2.088395
85,0.52249575,0.7542386,2.0501518
86,0.61451817,0.77215254,2.055462
87,0.6426536,0.7450901,2.1213298
88,0.6660965,0.846757,2.1479857
89,0.5443193,0.7237277,2.2237246
90,0.6211885,0.7400711,2.1746235
91,0.6252786,0.77636427,2.121987
92,0.6509992,0.75615484,2.2478876
93,0.6239452,0.72639984,2.1988118
94,0.652082,0.7951182,2.2078228
95,0.59072214,0.7052792,2.208161
96,0.6237305,0.78375244,2.3473525
97,0.64293665,0.63329834,2.248896
98,0.69131404,0.71798426,2.1415064
99,0.62303203,0.7234107,2.253405
100,0.6278869,0.8426084,2.0479608
101,0.66519284,0.6803394,2.1870155
102,0.6785169,0.799658,2.0872836
103,0.62007344,0.7030731,2.296547
104,0.5065814,0.7860197,1.9825071
105,0.53357816,0.7849039,2.111967
106,0.6398637,0.71562594,2.2939358
107,0.7479954,0.7450432,2.3625534
108,0.71849024,0.7414063,2.1203396
109,0.6097357,0.83244663,2.111746
110,0.5796542,0.7099832,2.1097856
111,0.66205686,0.75816125,2.2417314
112,0.6136587,0.7437247,2.0885198
113,0.6281014,0.71146333,2.1398544
114,0.65208125,0.73995936,2.0722265
115,0.61095107,0.73877555,2.1330419
116,0.7911467,0.6689174,2.2870371
117,0.69248563,0.72612286,2.2183812
118,0.5984626,0.73072916,2.084932
119,0.6752493,0.73271644,2.2472806
120,0.4903933,0.7403514,2.1237345
121,0.67391205,0.69921374,2.1943443
122,0.58631366,0.6819819,2.2432256
123,0.682401,0.8002922,2.157292
124,0.6050281,0.7464753,2.251794
125,0.56331295,0.75841427,2.129096
126,0.6055935,0.68088186,2.042093
127,0.5735179,0.75910425,2.1009915
128,0.67132014,0.8570825,2.1438441
129,0.5985075,0.7428044,2.1273613
130,0.5503605,0.77241683,2.2348952
131,0.58042294,0.7151171,2.26371
132,0.71432304,0.68321574,2.3707707
133,0.63591903,0.9329504,2.4244447
134,0.48011297,0.8452444,2.0213604
135,0.62811434,0.7318536,2.224178
136,0.67691135,0.69142944,2.081118
137,0.7157565,0.7226033,2.0727136
138,0.67672104,0.7561438,2.075825
139,0.704294,0.72890633,2.3990922
140,0.5189484,0.841188,2.2213562
141,0.6299673,0.7190773,2.2605388
142,0.7529168,0.54273885,2.2454486
143,0.6980722,0.744842,2.1899426
144,0.630778,0.7072983,2.0784297
145,0.61638933,0.79957044,2.0690904
