,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_g5,posterior_g6,posterior_phi,posterior_sigma,posterior_beta3,posterior_rho
0,3.4407191,-0.85537803,-1.4955045,0.33652824,-0.86041033,1.1617222,0.5424764752388,0.19428561627864838,1.8631227,1.9184377
1,1.5844561,0.813592,-2.8079455,0.42237297,0.854203,2.5258195,0.2437162548303604,0.2912386357784271,2.3485866,2.6870372
2,0.60368073,1.9216418,-4.044083,0.28007382,1.8785396,3.4869118,0.7845628261566162,0.22694909572601318,3.4381042,2.1260312
3,-0.45134917,2.7396395,-0.9867952,0.45398226,2.7634327,0.71984786,0.7262588739395142,0.2592684328556061,3.405352,2.6922033
4,0.8102855,1.5794698,-0.20864458,0.32130635,1.5667996,-0.13029234,0.7461122870445251,0.21612504124641418,2.8494663,2.3353593
5,0.33325273,1.8537183,3.4112902,0.35781932,2.0345259,-3.5155628,0.5531401038169861,0.2546267807483673,2.4127223,2.7365425
6,1.4325052,0.8792598,2.1208148,0.43488905,0.89988816,-2.4355958,0.8038477301597595,0.16579949855804443,2.541929,1.7749213
7,1.2022401,1.3056729,-1.2045362,0.3492328,1.2892823,0.91833407,0.7284491658210754,0.17445912957191467,2.1094098,1.7990856
8,0.30537653,1.845609,3.8465042,0.40075326,2.0093598,-3.9275982,0.7305560111999512,0.1354614794254303,2.1638253,1.358527
9,1.2972828,1.0010282,-2.0594478,0.39844096,1.0855912,1.8113092,0.63316410779953,0.28343743085861206,3.0950453,2.491479
10,3.4708812,-1.1420101,2.3035464,0.45399177,-1.1585822,-2.594578,0.6820983290672302,0.26704320311546326,2.418924,2.6330914
11,1.7545598,0.7302329,-1.8332895,0.3549325,0.6727747,1.4706075,0.5740676522254944,0.25537022948265076,2.4836183,2.2701292
12,0.656779,1.6450437,1.5144367,0.40574303,1.7644271,-1.9137284,0.7893168926239014,0.20319922268390656,2.8932953,2.8048205
13,0.2963107,1.8326162,2.5206275,0.41613102,1.9220704,-2.9320166,0.8004464507102966,0.2601970434188843,7.330093,1.8017282
14,1.0002602,1.2021166,1.4417437,0.45995766,1.2416166,-1.6607574,0.7509388327598572,0.26354798674583435,3.4003263,2.588083
15,2.238284,0.08604573,1.5331166,0.29091126,0.1331785,-1.7958915,0.7055781483650208,0.1901634782552719,2.496823,2.1086657
16,0.2846247,2.0531983,-1.378893,0.2957077,2.130545,1.0140561,0.7851442694664001,0.20416371524333954,3.1415446,2.3145506
17,1.3157918,1.0934565,-0.84219617,0.34275258,1.1485169,0.43913743,0.5011597275733948,0.2632615566253662,2.5004177,2.021132
18,-0.058850024,2.4325526,1.5346726,0.39138573,2.3970659,-1.8652483,0.5034379363059998,0.2979370653629303,2.3966928,2.3073335
19,0.8729393,1.5087297,0.53727776,0.3751731,1.567398,-0.91981006,0.8168838620185852,0.16797494888305664,2.3680909,1.646197
20,1.4630855,0.9879125,0.24682947,0.5811398,1.0858264,-0.72575355,0.5977156758308411,0.20409126579761505,2.0279045,2.824303
21,2.552944,-0.20584662,-1.4261559,0.30926245,-0.19450623,1.1891491,0.815816342830658,0.1761597990989685,2.540045,1.6888846
22,2.1352563,0.24881582,0.5330355,0.37084493,0.29541665,-0.9270685,0.6192846894264221,0.23707415163516998,2.421015,2.2155
