,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_g5,posterior_g6,posterior_g7,posterior_beta2,posterior_beta1,posterior_beta3,posterior_rho
0,1.4996277,0.62451255,2.7278767,0.63948774,0.79015166,-2.7746193,-0.21103574,0.4166660010814667,0.13441798090934753,2.153932809829712,0.8977205
1,2.646115,-0.2955249,0.40784645,0.64979386,-0.3965551,-0.61882615,-0.46349782,0.26637589931488037,0.19278213381767273,2.0493431091308594,1.3316864
2,2.107698,-0.08400137,1.5012518,0.4778426,0.1079966,-1.8324463,0.0593261,0.26985859870910645,0.1861950010061264,2.734038829803467,0.84224164
3,2.4690478,-0.20722646,-1.1860241,0.47138014,-0.14833991,0.9566254,0.01522889,0.15376491844654083,0.16269035637378693,2.173832654953003,1.0909274
4,0.77160203,1.5613364,0.49898905,0.58237684,1.5184456,-0.7625535,-0.14663015,0.31854739785194397,0.20658475160598755,2.0204360485076904,1.4739469
5,2.0249388,0.16137215,-0.045659147,0.5875704,0.29957688,-0.29595575,-0.23636182,0.0738750696182251,0.15943706035614014,2.1063358783721924,1.0421855
6,-0.21927515,2.659816,-2.7503564,0.6544842,2.6343977,2.4606025,-0.20260401,0.28570178151130676,0.16421154141426086,1.9811631441116333,1.311988
7,0.43135452,1.9225091,0.09151596,0.5765085,1.8761448,-0.47565755,-0.074926436,0.3783775269985199,0.18124406039714813,2.175935983657837,1.1196195
8,0.9301748,1.3645637,0.9454932,0.6585027,1.5453162,-1.2333568,-0.35451654,0.3479418158531189,0.17062723636627197,2.1036434173583984,1.2418146
9,0.60704714,1.7664841,-2.394676,0.5004853,1.8591034,2.1529012,-0.06303919,0.3496924042701721,0.20836670696735382,2.1081643104553223,1.4363716
10,1.7711484,0.55456954,1.5790604,0.41741046,0.65495616,-1.729079,0.015088742,0.3101425766944885,0.18389911949634552,1.9666305780410767,1.3295248
11,3.002268,-0.7290714,0.7731883,0.7029113,-0.5863226,-0.95429814,-0.109023765,0.444164901971817,0.20315395295619965,2.029311418533325,1.5375434
12,2.985516,-0.74118596,1.2592229,0.50187165,-0.76667553,-1.4169912,-0.107409865,0.4418558180332184,0.1709439903497696,2.167755603790283,1.1174029
13,-0.24931633,2.5849977,1.0690856,0.5647895,2.602777,-1.2484654,-0.10596629,0.32182222604751587,0.16339877247810364,2.0067615509033203,1.3178824
14,2.5197802,-0.35089293,0.13160224,0.7297923,-0.30878618,-0.42471576,-0.28461054,0.17204275727272034,0.20765326917171478,2.254458427429199,1.1284215
15,1.1419708,1.0550636,0.1613115,0.47919142,1.0982001,-0.43747312,-0.007625607,0.2298596203327179,0.12809057533740997,2.333686351776123,0.9930215
16,1.1236303,1.099555,-0.6111529,0.4317561,1.155762,0.34213233,-0.029908482,0.2178037315607071,0.18053628504276276,2.45564603805542,1.1100624
17,0.8132748,1.3395752,1.392457,0.5052767,1.448433,-1.5023004,-0.05892586,0.36887508630752563,0.19716590642929077,2.1212966442108154,1.1788614
18,2.8722682,-0.7412582,-3.4752765,0.73383814,-0.6121382,3.399646,-0.19642393,0.05,0.19859065115451813,2.147385835647583,1.1740366
19,1.6837462,0.5016819,0.55897075,0.5345036,0.770565,-0.69055384,0.02769389,0.2625699043273926,0.20380668342113495,2.2597250938415527,1.1497781
20,3.1316433,-0.8412068,-1.6131376,0.50174123,-0.8987487,1.3695489,-0.10928783,0.4473706781864166,0.18029873073101044,2.4398839473724365,0.98819476
21,1.9644697,0.088421844,1.5816982,0.48541555,0.21539043,-1.7174299,-0.22169323,0.05,0.2347082495689392,2.374255657196045,1.1586205
22,4.423288,-2.0018382,-0.9681184,0.57855743,-2.208908,0.70849305,-0.3895124,0.26591578125953674,0.1922382265329361,2.271411657333374,1.119309
23,1.3980567,0.7675537,-1.3173468,0.49733892,0.82957214,1.0259614,-0.15920159,0.26429569721221924,0.21593093872070312,2.7374515533447266,0.9740507
24,0.8095642,1.3791606,-0.40873012,0.6259275,1.385013,0.2327144,-0.2622483,0.07956645637750626,0.18460199236869812,2.1805756092071533,1.1168928
25,2.1815915,0.070419684,-0.39078957,0.53575665,0.090882786,0.1385615,-0.11703838,0.4405255615711212,0.05,2.2551662921905518,0.595604
26,3.411146,-1.2837002,-0.7202417,0.49340606,-1.1785042,0.52242017,0.058750536,0.18667402863502502,0.2225920706987381,2.443906784057617,1.0171363
27,0.4646533,1.7094072,-0.069896966,0.6006701,1.8444146,-0.17106566,-0.26768765,0.10979627817869186,0.19105476140975952,2.319769859313965,1.1823733
28,-0.7103256,2.9214363,0.63126975,0.65692127,3.1429362,-0.8498152,-0.12522247,0.1942361444234848,0.16888168454170227,2.085076332092285,1.409533
29,1.6667092,0.6115033,-0.13262604,0.5414031,0.5551858,-0.15436822,-0.18040814,0.2176654040813446,0.1949491798877716,2.3280298709869385,1.246804
30,2.127566,0.2733921,1.0410585,0.49329028,0.3698055,-1.1520362,-0.083573446,0.2788119316101074,0.19856996834278107,2.0773000717163086,1.2429783
31,0.88331294,1.473046,-2.5561852,0.5048468,1.4805813,2.1322238,-0.18455938,0.19237318634986877,0.19964121282100677,2.2390382289886475,1.189013
32,2.56204,-0.42842847,-0.12418018,0.59647095,-0.32015222,-0.1200972,-0.28247315,0.08333234488964081,0.19357921183109283,2.2906930446624756,1.0951781
33,-0.037194617,2.2882297,-0.11914864,0.7526531,2.3715444,-0.14110914,-0.3359798,0.2899361848831177,0.15715283155441284,2.1806743144989014,1.1492392
34,2.8598983,-0.6333079,-1.4771502,0.28758547,-0.50791264,1.4314283,0.04577448,0.0714358240365982,0.19280722737312317,1.9887306690216064,1.3298534
35,1.3515645,0.8639149,-0.29431295,0.36810616,0.83545715,-0.045166094,-0.037025355,0.1492202877998352,0.21210570633411407,2.6420769691467285,1.0184139
36,2.8377633,-0.9096729,-1.0567931,0.47535267,-0.7985716,0.90283024,0.07765711,0.07163508981466293,0.29661738872528076,3.210599422454834,0.9743171
37,3.2266686,-0.8263769,-0.84420097,0.57183516,-0.86640906,0.6594648,0.07740307,0.17404942214488983,0.17924024164676666,2.015608072280884,1.3630222
38,2.932224,-0.7977106,-0.8156449,0.50018835,-0.61923283,0.4370124,-0.1534699,0.05,0.18858502805233002,2.1358230113983154,1.058999
39,2.62226,-0.24349801,-0.8504537,0.48290902,-0.23428541,0.47569048,0.033242308,0.23889774084091187,0.1796712577342987,2.1280999183654785,1.3353838
40,0.77618986,1.5848824,-0.046844903,0.6145853,1.602129,-0.18254107,-0.12006387,0.5918126702308655,0.1758502572774887,2.229912042617798,0.95046943
41,1.1777241,1.0350522,0.5278651,0.4841508,1.0715017,-0.77336854,0.0061130426,0.14913605153560638,0.20207057893276215,2.0794172286987305,1.2703688
42,2.4660976,-0.13873272,0.34160396,0.5649634,-0.028633872,-0.61726344,-0.1802223,0.06546901166439056,0.17714746296405792,2.0278024673461914,1.5154426
43,2.7273762,-0.41864792,-0.31709874,0.55596685,-0.35900503,0.09408312,0.028014196,0.2982463836669922,0.1985207051038742,1.9837969541549683,1.3759524
44,0.39621246,1.80944,1.0713292,0.56689996,1.8794332,-1.3532116,-0.13337122,0.05,0.20473253726959229,2.189932346343994,1.2484438
45,3.5277233,-1.0314426,0.96797645,0.55389774,-1.0708032,-1.176722,-0.35427928,0.5867874026298523,0.18467789888381958,2.078897476196289,1.2801152
46,2.5820067,-0.32382348,-0.36883956,0.5478232,-0.28904167,-0.01469183,-0.24414293,0.05,0.20596152544021606,2.0873353481292725,1.1682944
47,-2.1217852,4.433894,0.8597164,0.5194285,4.5754976,-1.0351436,-0.0059590926,0.1383742094039917,0.2210136502981186,2.038858652114868,1.2762469
48,2.2825923,0.12336091,-3.9164941,0.32074136,0.2082113,3.2032506,0.13612401,0.05,0.20417852699756622,2.6587562561035156,0.9412817
49,2.8894026,-0.52920806,2.3835738,0.5204767,-0.38590214,-2.707666,0.027441405,0.37595221400260925,0.2037375420331955,2.155797243118286,1.1720732
50,1.1887665,1.0430747,-0.64258355,0.542859,1.0747267,0.31351954,-0.12272473,0.05,0.20471149682998657,2.053739309310913,1.4027927
51,0.55026203,1.7474035,-1.0442504,0.49215484,1.8143024,0.7195784,-0.010235145,0.13170762360095978,0.17688030004501343,2.1897006034851074,1.1123619
52,1.5319899,0.5878972,-0.489276,0.5425297,0.51198775,0.20363188,-0.26796344,0.18966054916381836,0.24189704656600952,2.8237109184265137,1.0113343
53,0.8231906,1.4906805,1.419484,0.60280275,1.5976866,-1.780642,-0.21593827,0.09559811651706696,0.13455162942409515,1.9525710344314575,1.324295
54,2.2998977,0.004253953,-1.401298,0.32732984,0.04164902,1.2044375,0.2017225,0.4544195830821991,0.16496698558330536,2.233764171600342,1.1154866
55,0.9213278,1.3935655,1.075582,0.5483735,1.4736687,-1.3774287,-0.19290149,0.2838459610939026,0.17523790895938873,2.044170618057251,1.4068743
56,0.7201488,1.4870013,0.51930714,0.6727983,1.5230004,-0.8625352,-0.13117895,0.32876652479171753,0.17726856470108032,2.3929412364959717,1.0048169
57,0.33011472,1.9434655,2.1864524,0.5836067,2.0144808,-2.2472188,-0.16824247,0.09741953760385513,0.20204906165599823,1.9850049018859863,1.5311089
58,2.7642653,-0.6004153,-2.7216415,0.5385403,-0.54164124,2.4742522,-0.15461612,0.08448486775159836,0.20810312032699585,2.3719370365142822,1.1640185
59,0.5504196,1.6498569,0.02470425,0.72477496,1.7383536,-0.41176483,-0.18096246,0.33362388610839844,0.13039560616016388,2.437962293624878,0.7933189
60,2.1417654,0.07009629,-0.19694012,0.44298497,0.11646599,-0.017268855,0.016085414,0.24604105949401855,0.16058751940727234,2.324385404586792,0.970444
61,3.6724832,-1.4356165,-0.7887943,0.62459254,-1.3754996,0.5782746,-0.1695298,0.23168358206748962,0.2208603471517563,2.166318893432617,1.2186092
62,0.94125664,1.3196528,-0.8314604,0.5072609,1.3527486,0.56531084,-0.036577832,0.34875720739364624,0.19645415246486664,2.366392135620117,1.2786419
63,1.9042186,0.30666018,-0.60622644,0.4414712,0.45433006,0.30989984,-0.17414686,0.0720544159412384,0.1833016723394394,2.223951578140259,1.0299872
64,3.6704547,-1.496018,0.75294137,0.54002285,-1.445578,-0.96352375,0.051838808,0.05,0.20326055586338043,2.1201324462890625,1.2644846
