,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_g5,posterior_beta2,posterior_beta1,posterior_beta3,posterior_rho
0,3.6826727,-1.4836217,-0.2118832,0.48261324,-1.4308228,0.07311804592609406,0.1803288459777832,2.3955328464508057,1.114738
1,-0.1978737,2.5225518,-0.18237686,0.5463301,2.6420822,0.22271576523780823,0.20173685252666473,1.9982616901397705,1.5382378
2,0.6040739,1.7621192,-0.3295129,0.55771625,1.8095107,0.6549723148345947,0.20638951659202576,2.4183146953582764,0.86940235
3,-0.29413834,2.5618367,-0.24672246,0.5649224,2.6291475,0.42428988218307495,0.1986074000597,2.074693441390991,1.3896148
4,2.0167549,0.3392182,-0.30370152,0.33317527,0.39343664,0.33893105387687683,0.16617949306964874,2.0802106857299805,1.2023675
5,1.9416692,0.35820696,-0.282549,0.48670056,0.44529614,0.578124463558197,0.12742187082767487,2.4665138721466064,0.74778885
6,2.5267751,-0.23717637,-0.30136856,0.5388562,-0.25181308,0.23924383521080017,0.1562647968530655,2.0734214782714844,1.2990508
7,1.2377701,1.0695375,-0.3101987,0.5034328,1.1828566,0.3091275691986084,0.16559699177742004,2.2030513286590576,1.0961753
8,2.27822,0.07867931,-0.41327688,0.49928498,0.07823417,0.23242175579071045,0.12045654654502869,1.1466463804244995,1.3327857
9,0.26570043,2.1481903,-0.36047664,0.42827553,2.2424288,0.17887116968631744,0.18686136603355408,2.0556893348693848,1.5536563
10,1.3590401,0.9574909,-0.40789473,0.43684423,0.9217133,0.22116921842098236,0.17387846112251282,2.236253023147583,1.1556616
11,2.7241957,-0.3520503,-0.27386817,0.46563712,-0.28346425,0.34868571162223816,0.18784919381141663,2.1105735301971436,1.2691578
12,0.9143664,1.4410356,-0.29456577,0.4169648,1.53164,0.23977380990982056,0.19315718114376068,2.0906941890716553,1.2343984
13,0.86840713,1.5399337,-0.25781992,0.4502985,1.5238853,0.2808610796928406,0.18089079856872559,1.9931590557098389,1.2991297
14,-0.030773276,2.393872,-0.3634773,0.5173112,2.4659529,0.3034350275993347,0.17338827252388,2.052076578140259,1.2627867
15,2.4795778,-0.0034848398,-0.33848372,0.43063563,0.03942355,0.6420667767524719,0.14511744678020477,2.092613935470581,0.9193631
16,0.19316223,2.0807986,-0.34580138,0.3974531,2.1724436,0.18365474045276642,0.1679035872220993,2.0907325744628906,1.2121693
17,0.033426832,2.311779,-0.23009951,0.5067961,2.418596,0.3001929223537445,0.1518665850162506,2.0175468921661377,1.2157414
18,1.4155754,0.9425714,-0.3226534,0.5012512,0.9026194,0.32033148407936096,0.16984108090400696,2.2761807441711426,1.0487007
19,4.4452696,-2.0016026,-0.12942053,0.43399465,-1.955992,0.7032261490821838,0.11975439637899399,2.1174824237823486,0.94377106
20,0.7594934,1.5971768,-0.3005984,0.54907376,1.7049487,0.5448517203330994,0.13580399751663208,2.1246132850646973,1.0273509
21,2.600643,-0.2874019,-0.31473026,0.4332479,-0.2525028,0.06458061188459396,0.1820322424173355,1.9677464962005615,1.4719764
22,2.3595023,-0.0286521,-0.29789618,0.41426268,0.06339575,0.16327765583992004,0.18323735892772675,2.0646755695343018,1.14004
23,0.32394692,2.0353048,-0.3061114,0.44749233,2.1287205,0.19364319741725922,0.21769942343235016,2.1531174182891846,1.2569747
24,3.8503294,-1.2872596,-0.28910428,0.4574414,-1.2644688,0.2621428370475769,0.223687082529068,1.9904264211654663,1.5351577
25,1.1649107,1.2432607,-0.22934279,0.40353143,1.2811534,0.34065210819244385,0.1921396553516388,2.0054001808166504,1.4120328
26,0.6648321,1.6312467,-0.27361208,0.59526837,1.6892594,0.683631956577301,0.17772072553634644,2.234052896499634,0.97797257
27,2.762558,-0.545703,-0.2790823,0.52555066,-0.49397588,0.15263333916664124,0.19893306493759155,2.183729648590088,1.0694717
28,2.7889602,-0.6432205,-0.23369083,0.3947632,-0.5171669,0.05,0.18446515500545502,2.0758228302001953,1.1562487
29,1.3980454,0.9150593,-0.26585242,0.41466242,0.9112744,0.3029285669326782,0.16282802820205688,2.0188820362091064,1.2277702
30,1.743751,0.51856846,-0.37536135,0.44064265,0.5655582,0.2712240219116211,0.15159043669700623,2.3319051265716553,0.9458383
