,posterior_phi,posterior_sigma,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_g5,posterior_g6
0,-0.01701006,0.7377722,0.69471174,1.3442839,0.13279848,0.34379315,1.3785778,-0.31058407
1,-0.7545361,0.66930366,0.44480327,1.7559042,-1.490996,0.4248969,1.6924533,1.1751926
2,-0.41706127,0.8064646,2.3833573,-0.07616445,-0.9293015,0.36046422,-0.0796321,0.64978546
3,-0.15881039,0.7085477,1.4888871,0.56278473,-2.0080075,0.31759152,0.58012575,1.6622186
4,-0.8134551,0.4762304,0.40302336,1.8534962,1.2329594,0.25676388,1.8122954,-1.5101031
5,0.13543041,0.53684896,2.1202013,0.16300282,-1.5987337,0.38326812,0.19102499,1.3029627
6,0.16238312,0.76761633,-0.12001266,2.008041,0.3699215,0.3497457,1.9678118,-0.5888862
7,-0.40418515,0.71736354,1.3335179,0.9327277,-0.40112016,0.38477337,0.96822536,0.05419749
8,-0.63900703,0.6497742,2.5563595,-0.42359865,-0.38779464,0.37270665,-0.41668782,0.064597376
9,-0.3279059,0.67982054,-0.63269955,2.6628015,-2.5742986,0.34920666,2.5748532,2.295921
10,-0.6479418,0.7546955,1.8911086,0.3381525,-0.5961402,0.3478317,0.28355443,0.28513256
11,-0.0070131742,0.45579466,2.6546712,-0.6471309,-2.519685,0.3563258,-0.6721077,2.256634
12,-0.28666925,0.8234235,1.6104835,0.69641733,-3.3051126,0.36021107,0.68054247,3.017295
13,0.3558614,0.91393834,2.4864616,-0.5062897,-2.449239,0.36543664,-0.4534353,2.0934367
14,-0.4207364,0.90693426,0.81227356,1.4038178,1.9723748,0.3872109,1.4419622,-2.194935
15,-0.05772733,0.75863445,1.1082898,0.8280783,-1.0663558,0.40886366,0.774303,0.8192369
16,0.006910115,0.83859533,1.1825761,0.97123456,-0.7440833,0.3079011,0.95023537,0.48011103
17,0.17534855,0.7200426,2.1753132,0.061781157,1.3406531,0.36672336,0.00068279466,-1.5672562
18,0.3815057,0.7852933,0.6482577,1.4994204,0.028769812,0.40081337,1.4512342,-0.24402155
19,0.02490504,0.8663048,1.2052249,0.8652752,-1.0388489,0.39562577,0.87849414,0.6219282
20,-0.6525615,0.62426096,1.4568541,0.65095496,3.6069522,0.2926725,0.6019913,-3.7527444
21,-0.34606886,0.66661793,-1.6840422,3.7511091,-0.21796247,0.4855895,3.7037787,-0.16272144
22,-0.07444902,0.7609619,1.8955923,0.29616562,-0.5145899,0.39254084,0.2721665,0.30242646
23,0.0203965,0.9172047,1.1065669,1.0774053,0.3754076,0.36245018,1.0697335,-0.6767909
24,0.054589234,0.8274456,-0.82447326,2.678864,-0.7419606,0.3897162,2.532835,0.55264425
25,0.07981338,0.8090408,-0.78913856,2.596474,1.9790694,0.36872223,2.5556207,-2.1385362
26,-0.32734722,0.6562798,0.7525647,1.070686,2.3529718,0.28348693,1.1240842,-2.556202
27,0.41560304,0.5810745,2.2861567,-0.17739639,-0.18527927,0.4751283,-0.1599242,-0.04982866
