,posterior_phi,posterior_sigma,posterior_g1,posterior_g2
0,0.43800512,0.77153647,2.006344,0.14316213
1,0.64882874,0.6887934,2.042955,0.1700466
2,0.6711932,0.65799254,1.9651645,0.14897005
3,0.6487495,0.70890623,2.1063657,0.1232944
4,0.5329352,0.69593614,2.0252757,0.15887748
5,0.7765634,0.6250322,2.3065803,0.17132178
6,0.5936271,0.74831635,2.1337233,0.124602504
7,0.54626703,0.66165483,2.0473802,0.15627864
8,0.6992144,0.8047488,2.1955416,0.13068333
9,0.7173305,0.7356671,2.0158854,0.100574926
10,0.50593144,0.71081376,2.2236156,0.1598399
11,0.66587377,0.63918364,2.1035979,0.12660822
12,0.646648,0.7317686,2.1470902,0.1227682
13,0.6398428,0.6915809,2.152302,0.16469795
14,0.5100774,0.8020587,1.9383554,0.119284585
15,0.55981165,0.77637917,2.2386367,0.10849903
16,0.5754272,0.6800894,2.2453098,0.14374496
17,0.44548815,0.77462703,2.0672572,0.12747732
18,0.690562,0.7451618,2.0771935,0.1535165
19,0.6028377,0.6761705,2.1577222,0.16490501
20,0.56176996,0.6408951,2.0903428,0.12590322
21,0.58302385,0.65061814,2.1689184,0.12569582
22,0.4210908,0.7138847,2.1494007,0.116042405
23,0.57588375,0.7037644,2.3899484,0.119102284
24,0.46493357,0.74684405,2.1075811,0.10707017
25,0.5418349,0.70530903,2.1636426,0.14256945
26,0.574283,0.5835236,2.14299,0.15232557
27,0.54867893,0.78786284,2.0587282,0.1749047
28,0.58157635,0.71309346,2.1735127,0.11348931
29,0.6579417,0.64469075,2.1740422,0.16202974
30,0.40842915,0.65249306,2.0066261,0.08574623
31,0.6143929,0.7159347,2.2392664,0.117042
32,0.62529796,0.75323045,2.2270703,0.1264108
33,0.67112863,0.6751422,2.0574362,0.11712063
34,0.66524184,0.7735672,2.3039434,0.1500324
35,0.5954294,0.6978817,2.3498063,0.11636411
36,0.5519937,0.7426633,2.0359068,0.16329683
37,0.5329467,0.73233294,1.9880723,0.18521242
38,0.52233064,0.7262482,2.1737943,0.21851662
39,0.7155895,0.62616825,2.267432,0.1248793
40,0.5807742,0.73011076,2.0953283,0.11366775
41,0.5828883,0.74049556,2.123716,0.12228806
42,0.70993483,0.66383696,2.2639027,0.11223929
43,0.69596285,0.61413115,2.0761142,0.1874511
44,0.6412937,0.6781889,2.0322437,0.14685342
45,0.56380755,0.7095054,2.1009045,0.1705455
46,0.55244726,0.76637286,2.114381,0.11393773
47,0.5733178,0.7203382,2.0859945,0.1432317
48,0.6081261,0.7244322,2.2584586,0.15304218
49,0.7023558,0.6194824,2.1452858,0.15600248
50,0.586256,0.64204055,2.0477152,0.15566228
51,0.69193417,0.76890343,2.1998637,0.09824329
52,0.57499385,0.74018884,2.1922114,0.06618948
53,0.5464491,0.7410038,2.058051,0.12663423
54,0.5631772,0.7184946,2.0710053,0.14081503
55,0.5746319,0.6856503,2.177111,0.13150989
56,0.48489356,0.71342796,2.1432552,0.1494985
57,0.62044907,0.7198843,2.00709,0.113805026
58,0.63979524,0.80888337,1.9415888,0.17481051
59,0.73940444,0.6678204,2.0882144,0.120742045
60,0.4570635,0.7992689,1.9961967,0.13220437
61,0.5474505,0.7580236,2.1451886,0.16572648
62,0.50082135,0.6857352,2.0767806,0.12318396
63,0.63781846,0.80269235,2.0161471,0.11265863
64,0.5589834,0.6987759,2.1061542,0.10788353
65,0.70646405,0.7115747,2.1822484,0.13576642
66,0.58466625,0.7323603,2.0780568,0.0665947
67,0.5020402,0.7022111,2.4554255,0.1046507
68,0.62892973,0.58988285,2.1518745,0.15468204
69,0.6277818,0.7889294,2.0751665,0.16566879
70,0.5577937,0.7051542,2.0875676,0.13973296
71,0.46280637,0.7313978,2.1767123,0.12180167
72,0.56541723,0.697865,2.2823863,0.12048977
73,0.62757206,0.6961468,2.3269765,0.1563547
74,0.7093096,0.70622414,2.0955756,0.16473967
75,0.4923963,0.68800044,2.026787,0.10141875
