,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_beta2,posterior_beta1,posterior_beta3,posterior_rho
0,2.087712,0.010188377,-0.26785398,0.48850256,0.14961279928684235,0.25388696789741516,2.854590654373169,1.0538064
1,2.4195833,-0.0026051567,-0.30505094,0.33692664,0.3475877046585083,0.16021259129047394,1.9771138429641724,1.272274
2,2.297499,-0.008792178,-0.29539979,0.41393173,0.24629388749599457,0.16270779073238373,2.181072235107422,1.0965384
3,2.3470747,-0.080374844,-0.15956976,0.5098762,0.17440341413021088,0.19816608726978302,2.086407423019409,1.307685
4,2.2324278,-0.042178072,-0.20958352,0.43156046,0.19516944885253906,0.19983026385307312,2.4202654361724854,1.0820215
5,2.420397,-0.010169774,-0.27819756,0.48911965,0.33961784839630127,0.18776290118694305,2.1022865772247314,1.1747423
6,2.3689463,-0.022597259,-0.23618858,0.46389943,0.5393098592758179,0.14405979216098785,2.0379295349121094,1.0785699
7,2.2501886,0.038692664,-0.22932912,0.38132587,0.05,0.21386492252349854,2.0720231533050537,1.3958461
8,2.2692935,0.01336987,-0.10420028,0.45095018,0.4714595675468445,0.1783408522605896,2.433917999267578,0.99931437
9,2.2508545,-0.039553624,-0.28229085,0.4843281,0.23717714846134186,0.13411571085453033,2.337001323699951,0.9667497
10,2.3442917,-0.05371573,-0.2824268,0.5027735,0.20632533729076385,0.22410854697227478,2.0804977416992188,1.520806
11,2.3272939,-0.029887246,-0.29623088,0.4684195,0.27629199624061584,0.2036314755678177,2.3660097122192383,1.1871657
12,2.4101412,0.001114324,-0.27291477,0.40190157,0.4753853380680084,0.1893029510974884,2.1383860111236572,1.2445024
13,2.2596574,0.023577917,-0.15503396,0.4081958,0.6494231820106506,0.10929914563894272,2.176039218902588,0.91953015
14,2.406649,-0.13273063,-0.2772006,0.5706338,0.422136127948761,0.1540270894765854,2.225886344909668,1.0421567
15,2.2526348,0.0180612,-0.195837,0.5740487,0.22191688418388367,0.15095901489257812,2.292628049850464,0.9334457
16,2.2205746,-0.008706543,-0.16178639,0.39840356,0.20937325060367584,0.18780063092708588,2.0822763442993164,1.2230673
17,2.3243985,-0.08629908,-0.18873574,0.4984095,0.411739319562912,0.1752166450023651,2.179853677749634,1.2488202
18,2.2919729,-0.06882355,-0.31065425,0.48006368,0.09298970550298691,0.22799737751483917,2.2582602500915527,1.2709031
19,2.1783435,-0.061705012,-0.12707666,0.4979607,0.05,0.218153715133667,2.199742317199707,1.2142801
20,2.2062201,0.021095095,-0.14883721,0.4094377,0.28429076075553894,0.16956093907356262,2.0704336166381836,1.2517962
21,2.2668152,-0.04011832,-0.38510096,0.6047648,0.32817089557647705,0.2220333367586136,2.4559006690979004,0.95459014
22,2.3911216,-0.08161211,-0.21780783,0.45097476,0.5092470645904541,0.19938693940639496,2.4125308990478516,0.9711707
23,2.2623723,-0.052477177,-0.19226456,0.53224385,0.2612236440181732,0.21632517874240875,2.353196382522583,1.2097735
24,2.2627652,0.022285558,-0.09329746,0.40052316,0.28754720091819763,0.16586846113204956,2.1163182258605957,1.1407458
25,2.3002315,0.055331625,-0.08478231,0.4495663,0.38384902477264404,0.15250109136104584,2.115567684173584,1.1352427
26,2.3123322,0.03517914,-0.28192005,0.49697778,0.2036764770746231,0.16483494639396667,1.9883993864059448,1.3366443
27,2.2913723,-0.001730992,-0.13124543,0.500358,0.5486495494842529,0.1688362956047058,2.1617555618286133,1.1223979
28,2.2825608,-0.025482083,-0.24482624,0.31406477,0.17821350693702698,0.18580889701843262,2.126783847808838,1.2671283
29,2.3083522,0.004482159,-0.24187295,0.43915316,0.28318455815315247,0.20311559736728668,2.020071268081665,1.3754591
30,2.0084505,0.020972231,-0.13926412,0.60475737,0.10816449671983719,0.2339838743209839,2.8276073932647705,0.9259812
31,2.1541553,0.0017919432,-0.22293796,0.48827583,0.05,0.20430372655391693,2.2315309047698975,1.2924738
32,2.452813,-0.08782987,-0.23088466,0.49403507,0.31185874342918396,0.15974029898643494,2.0351834297180176,1.370225
33,2.309476,0.020196017,-0.13763097,0.39699933,0.15126508474349976,0.1661868542432785,2.0296976566314697,1.349017
34,2.3386002,-0.07873988,-0.23378731,0.6048314,0.4796569347381592,0.1834532916545868,2.3031513690948486,1.0462142
35,2.4133348,-0.06920417,-0.1376868,0.43097755,0.4396839737892151,0.13158756494522095,2.0641040802001953,0.94236267
36,2.2094827,0.041330975,-0.16123368,0.5028143,0.361847847700119,0.1757710576057434,2.1850838661193848,1.0644584
37,2.3167982,-0.103711605,-0.21806355,0.5976061,0.4919998049736023,0.13890409469604492,2.5665507316589355,0.82555586
38,2.4340782,-0.10447223,-0.24340898,0.46283185,0.5154394507408142,0.1854749619960785,2.026991605758667,1.4029247
39,2.3248198,0.01891023,-0.24251811,0.42030758,0.28223729133605957,0.19213458895683289,2.105482339859009,1.1603684
40,2.3383265,-0.037862673,-0.24181797,0.490035,0.7038441300392151,0.1551995873451233,2.328252077102661,0.9004321
41,2.3663774,-0.04438547,-0.28881788,0.5587201,0.3513021171092987,0.1857568770647049,2.133876085281372,1.1625335
42,2.3532336,-0.110049404,-0.18027757,0.48604196,0.11732731014490128,0.18630863726139069,2.011821746826172,1.3016341
43,2.306692,-0.07543378,-0.21944115,0.4810762,0.300015389919281,0.1789449006319046,2.145657777786255,1.3266367
44,2.1577497,-0.029774133,-0.1512967,0.517945,0.14600519835948944,0.22018742561340332,2.3630101680755615,1.1476023
45,2.3400986,-0.08966049,-0.2769498,0.4190162,0.08976113796234131,0.20459315180778503,2.118680000305176,1.2743336
46,2.5215774,-0.10497888,-0.26941773,0.43605554,0.061939992010593414,0.16634243726730347,1.2216659784317017,1.3846987
47,2.2486281,-0.011914332,-0.21622315,0.64370185,0.11607921868562698,0.1815531700849533,2.0726163387298584,1.1802028
48,2.3760114,0.06595988,-0.21722431,0.5234478,0.5720774531364441,0.18224310874938965,2.0846071243286133,1.1411675
