,posterior_phi,posterior_sigma,posterior_g1,posterior_g2
121,-0.21764989,0.6311782,1.9676006,0.15285365
122,0.43888903,0.57849216,2.0606415,0.08442732
123,0.04278294,0.6382198,2.0378563,0.19175345
124,-0.76676667,0.41554666,1.9341865,0.17556356
125,0.39983013,0.58590484,1.9613323,0.18225607
126,-0.765435,0.40036717,2.0230162,0.14873487
127,0.0024914618,0.714394,1.9562563,0.14018676
128,-0.18214463,0.59583014,2.1365561,0.14430518
129,-0.64168304,0.4736352,2.043265,0.16330156
130,-0.13368165,0.658083,2.0988739,0.1582241
131,-0.82547736,0.40832412,2.0681403,0.11140104
132,0.8022254,0.36472753,2.0081825,0.2202926
133,-0.7627514,0.43189,2.1019466,0.113934554
134,0.05367118,0.6896191,2.0384529,0.16075698
135,-0.2039235,0.5732875,2.0569715,0.18830559
136,-0.3380626,0.5631247,1.9489341,0.11066001
137,-0.54177076,0.5442482,2.0061479,0.1403703
138,0.2552286,0.6252432,2.0535576,0.20128414
139,0.44894704,0.5619046,2.09798,0.19835809
140,0.59815323,0.5431996,1.9867755,0.2043765
141,0.7006909,0.49184954,2.0356634,0.062715024
142,0.0073036156,0.679624,2.0138474,0.083966106
143,-0.7592287,0.44607556,2.0868368,0.1954678
144,0.7637352,0.42889732,2.1397603,0.16861174
145,-0.37821615,0.6139978,2.0508554,0.06659077
146,0.14882773,0.64780676,2.0873559,0.16275299
147,-0.37948218,0.5847369,2.1025865,0.17239393
148,0.06491261,0.6379332,1.9693204,0.16639315
149,0.15780696,0.5742536,2.1287038,0.108706765
150,0.328901,0.5974566,2.0432496,0.18503873
151,0.08334593,0.62381876,1.986315,0.21993284
152,-0.0965201,0.6681191,2.0127401,0.20914373
153,0.1519105,0.6573728,2.0339892,0.128431
154,0.24156003,0.63540536,2.1417909,0.14966361
155,-0.73372364,0.39757136,2.0229502,0.103512056
156,-0.31714284,0.63081276,2.1233568,0.1799437
157,-0.7091152,0.49379277,2.0297778,0.10907548
158,0.76018155,0.4430303,1.9508121,0.21186662
159,0.57300586,0.54113394,2.0608878,0.14013001
160,-0.21352217,0.6458035,2.042503,0.15241887
161,-0.7456971,0.42013478,2.043377,0.10985827
162,0.14827396,0.6438255,2.0230367,0.112177804
163,0.33945003,0.55806375,2.0582469,0.18220843
164,0.22063039,0.5996646,2.0890446,0.17247687
165,0.20304854,0.6042538,2.0573137,0.17251013
166,0.04657685,0.63753885,2.0388317,0.20162477
167,-0.15087122,0.67990625,2.0508108,0.10442302
168,0.55830485,0.51679575,2.084456,0.17172919
169,0.052303743,0.58005106,2.1066551,0.14378223
170,0.5504347,0.52345556,2.0698001,0.22422868
171,0.6891124,0.4751196,1.9849545,0.10435103
172,-0.42502317,0.602473,2.0189097,0.19259547
173,0.15220645,0.6807544,2.0894713,0.17628649
174,0.72195387,0.49311134,2.0400848,0.21124798
175,0.42589676,0.5771034,2.0579495,0.12351407
176,0.20768382,0.6601828,2.119857,0.111849464
177,0.5280579,0.5488638,1.9942935,0.14383912
178,0.031904306,0.63981026,1.9620672,0.20611572
179,0.5704012,0.51832134,2.03618,0.12976888
180,-0.1607565,0.61361194,1.9803423,0.14736857
181,-0.7078705,0.47598907,2.1014907,0.12857768
182,0.55956936,0.5299416,1.8518533,0.15240364
183,0.6940215,0.44049007,2.0010688,0.10162327
184,-0.28229728,0.6026859,2.0899625,0.17091116
185,-0.7696729,0.48070768,2.146917,0.11804042
186,0.4274515,0.5799436,2.0843267,0.20696431
187,-0.44702223,0.57910234,1.9247261,0.23751782
188,0.46924743,0.5617294,2.0737855,0.10950028
189,0.5255691,0.5244354,2.145138,0.1637703
190,0.48536006,0.5448059,2.0748448,0.161689
191,-0.75889486,0.4495317,2.0633316,0.19366448
192,-0.010649685,0.6675187,2.0280852,0.13879801
193,-0.64886904,0.4705139,2.031625,0.08662704
194,-0.69842273,0.48345703,2.0722177,0.12899864
195,-0.46919167,0.5628743,2.0719538,0.15325518
196,-0.061328538,0.65072465,2.0398834,0.17489013
