,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_g5,posterior_g6,posterior_beta2,posterior_beta1,posterior_beta3,posterior_rho
40,3.6192408,-1.3543794,-0.27786285,0.4521362,-1.2743222,0.044516712,0.36882296204566956,0.18239834904670715,2.127803087234497,1.1374159
41,3.4809656,-1.1463133,0.8937705,0.3913959,-1.1303988,-1.0820088,0.09062674641609192,0.15789416432380676,2.0030670166015625,1.3175224
42,0.8377683,1.508923,2.213331,0.42090267,1.5568882,-2.295951,0.5974094867706299,0.1551692634820938,2.086422920227051,1.0721666
43,1.625036,0.6301597,-0.23014015,0.26245776,0.63197726,0.0795691,0.17287644743919373,0.17113898694515228,2.0670933723449707,1.1063911
44,-0.16689211,2.3748057,3.590736,0.54169214,2.4364338,-3.924731,0.284842312335968,0.18155041337013245,2.155620813369751,1.067431
45,-0.012766614,2.2505412,1.3029274,0.30797973,2.3071685,-1.6089543,0.05,0.18766140937805176,2.220763921737671,1.1791128
46,1.1097761,1.1022683,1.495903,0.54481745,1.078684,-1.9145963,0.14010311663150787,0.23910586535930634,2.4187886714935303,1.3270087
47,3.032112,-0.84826654,0.114990905,0.43885586,-0.81729436,-0.38535044,0.18633124232292175,0.21422739326953888,2.4449305534362793,1.1709421
48,0.64155304,1.5913738,1.6240795,0.40872523,1.6919308,-1.7520431,0.27882471680641174,0.16318973898887634,2.0327885150909424,1.1990856
49,2.1981535,0.008659338,-3.7257164,0.38734585,-0.009537795,3.5697582,0.06229044124484062,0.20531155169010162,2.2320921421051025,1.2298245
50,1.7213118,0.3906104,2.9728725,0.4070776,0.4427522,-3.2155461,0.11285309493541718,0.20303405821323395,2.4259462356567383,1.0965892
51,1.4042557,0.883257,-0.4107957,0.3590242,0.93241787,0.162428,0.2911968529224396,0.176212877035141,2.1702048778533936,1.2183305
52,0.54823005,1.675844,-0.55649257,0.35786873,1.7042983,0.31145063,0.2507401406764984,0.1483384668827057,2.4743378162384033,1.1381522
53,3.349958,-0.9130203,-1.4789228,0.30897868,-0.837262,1.3283544,0.29352712631225586,0.17923970520496368,2.03709077835083,1.3750454
54,1.0166559,1.3189143,0.11440335,0.42656502,1.4003645,-0.46143997,0.07230828702449799,0.2080942690372467,2.0734951496124268,1.43514
55,1.2135847,0.9898258,0.74871707,0.5050178,0.9367002,-1.070031,0.09307566285133362,0.2013416737318039,2.493074893951416,1.1422014
56,3.133125,-0.83804387,0.5107784,0.31465507,-0.7507499,-0.85156214,0.09284570813179016,0.15592192113399506,2.167520046234131,1.054233
57,1.5479637,0.7619621,-0.4407302,0.5125662,0.8601084,0.15834415,0.37106287479400635,0.1780557930469513,2.2709603309631348,1.101961
58,0.8828288,1.3274083,-0.9733939,0.26898047,1.3452843,0.8012045,0.25424087047576904,0.15266568958759308,2.3113903999328613,0.85847896
59,0.18868838,2.1050549,1.7509234,0.45325243,1.9961976,-1.9090701,0.26118993759155273,0.1948012262582779,2.357346534729004,1.0912671
60,1.6526186,0.56026816,-1.4252846,0.36405417,0.42078266,1.2376795,0.07950148731470108,0.1984468549489975,2.347651720046997,1.1878467
61,2.5420253,-0.29307923,-0.6478194,0.45329425,-0.35744408,0.41722423,0.30908316373825073,0.1535186618566513,2.3812999725341797,0.98287034
62,1.2425792,1.0550162,0.119705655,0.39377555,0.9654571,-0.23291047,0.2679709494113922,0.14425984025001526,1.9784153699874878,1.1337417
63,1.1327975,1.1158463,0.7289458,0.47242907,1.1259998,-0.9390683,0.3225821256637573,0.17837242782115936,2.171046257019043,1.2221913
64,1.1107047,1.193343,-2.2567434,0.38033077,1.1208001,2.013069,0.1916208118200302,0.20405691862106323,2.4080100059509277,1.2556479
65,1.7900952,0.5319662,-0.78829163,0.35678872,0.392644,0.7060719,0.22516655921936035,0.2273763120174408,2.0363478660583496,1.3544871
66,1.6842339,0.5326262,1.2072226,0.4351761,0.599419,-1.4343885,0.397848904132843,0.15437312424182892,2.2692325115203857,1.0490543
67,4.0500813,-1.6488502,-0.30418923,0.5125918,-1.4699409,-0.06385455,0.30900442600250244,0.19298240542411804,2.0220279693603516,1.3765926
68,5.2482877,-2.9545424,-0.18970905,0.51389587,-2.8769507,0.1320924,0.5174375176429749,0.18605907261371613,2.1490206718444824,1.2072406
69,-0.087411374,2.2803843,3.7834146,0.41264227,2.3411536,-3.6154616,0.15949305891990662,0.19717441499233246,2.0566704273223877,1.2610186
70,2.0791523,0.034996044,0.7226959,0.27641553,0.08561172,-1.0292013,0.07506630569696426,0.2347038984298706,2.4896652698516846,1.1480931
71,1.9074514,0.2850203,0.24354398,0.37148175,0.30734,-0.4469326,0.17288248240947723,0.2203475385904312,2.5426554679870605,1.0835594
72,0.3645845,1.8895184,0.06865571,0.41997886,1.8722414,-0.25362068,0.38086867332458496,0.19634628295898438,2.2943525314331055,1.1571416
73,-0.7738772,2.992919,-2.0358562,0.39136827,3.021415,1.7101706,0.06262420117855072,0.1909528374671936,2.3220901489257812,1.0439005
74,1.968166,0.17398222,0.7115685,0.32851097,0.28860408,-0.9946378,0.0755445584654808,0.2026607245206833,2.6291301250457764,0.97681403
75,1.2257545,0.9864071,2.4855998,0.3288015,0.9755221,-2.6982818,0.16461484134197235,0.1955806016921997,2.2798733711242676,1.1829875
76,3.559807,-1.3475847,-0.21303636,0.53396714,-1.2797371,-0.07173865,0.3555595874786377,0.19265428185462952,2.261233329772949,1.0858283
77,-0.53705317,2.7603066,0.90768886,0.41376477,2.7439768,-1.0708464,0.09874749928712845,0.21187497675418854,2.1325740814208984,1.1970501
78,2.767325,-0.6091421,2.1612868,0.5501025,-0.47392428,-2.4056618,0.1733391284942627,0.14683297276496887,2.149942636489868,1.1187948
79,2.1664622,0.051049814,1.2053342,0.3832365,-0.007838266,-1.3487953,0.2185584157705307,0.2160128653049469,2.1061432361602783,1.4005044
80,3.6430864,-1.386094,0.77054924,0.31676927,-1.6158395,-0.9884386,0.16254234313964844,0.22115840017795563,2.822155714035034,0.84971416
81,0.2144308,2.048268,0.8862659,0.43230382,2.031016,-1.1232845,0.22361215949058533,0.20519879460334778,2.237682819366455,1.3030018
82,-1.934263,3.9532557,-0.48720634,0.34460235,3.9832659,0.41120696,0.08957260847091675,0.2622270882129669,2.5862960815429688,1.177646
83,-0.32648095,2.4796214,-1.5938525,0.3418496,2.4828696,1.3904582,0.05,0.22737377882003784,2.3207032680511475,1.2681056
84,-0.6004414,2.8005345,-1.5115798,0.30212882,2.7796516,1.3513138,0.05,0.2073858678340912,2.337571620941162,1.1574222
85,2.5896819,-0.43730292,1.4270217,0.36194608,-0.45984465,-1.5864409,0.12621687352657318,0.23831205070018768,2.2886972427368164,1.3011204
86,1.1299338,1.0912083,-0.291073,0.3951694,1.0845494,-0.0043684854,0.34280478954315186,0.1887800246477127,2.568589925765991,0.91860694
87,0.26378468,1.9300236,1.05601,0.43448496,1.9657953,-1.2364535,0.3967590630054474,0.1771453320980072,2.3168675899505615,1.1115654
88,0.75806373,1.5036836,-0.96394396,0.47730735,1.4712824,0.7302908,0.39034926891326904,0.20864564180374146,2.4402718544006348,1.0723165
89,0.09413165,2.0526984,1.8905836,0.44359952,2.0433974,-2.1354299,0.10274012386798859,0.23995058238506317,2.508748769760132,1.1798029
90,0.64882916,1.5022553,-0.5341918,0.44605523,1.6826036,0.2643637,0.11503687500953674,0.20216627418994904,2.2488338947296143,1.1938426
91,1.6792423,0.5733906,0.014643594,0.37653065,0.62645054,-0.1765963,0.2172728031873703,0.22711189091205597,2.144935369491577,1.2876754
92,0.24156834,1.8521057,-3.927255,0.3485606,1.8755925,3.7284775,0.07490376383066177,0.2470027506351471,2.6100473403930664,1.2134048
93,0.85210884,1.3535396,-0.71909034,0.3782661,1.3515465,0.46162513,0.05,0.23408737778663635,2.31447434425354,1.178611
94,3.47761,-1.259056,-3.0863013,0.38278836,-1.3373746,2.7024488,0.1008979007601738,0.23391637206077576,2.9198925495147705,1.0064108
95,1.2208188,1.1140893,-0.030663641,0.22561145,1.0378455,-0.18814616,0.23443375527858734,0.16337627172470093,2.1964569091796875,1.0659122
96,3.3042681,-1.0534604,-1.1852779,0.31142506,-1.1863784,0.99883133,0.32131874561309814,0.18961966037750244,2.626862049102783,0.9863672
97,2.075107,0.13302422,-2.2418032,0.31441447,0.21458791,1.969779,0.29268670082092285,0.19787682592868805,2.5007247924804688,1.0611997
98,2.1502242,0.12765163,-1.2709048,0.41788656,0.07917294,1.0294275,0.19925996661186218,0.21083563566207886,2.115072727203369,1.2786459
99,2.262475,-0.11136127,0.9575691,0.36746845,-0.18725334,-1.1943524,0.2021235227584839,0.1991254836320877,2.738903045654297,0.9079268
100,2.2945259,-0.07639515,1.5010904,0.31105614,-0.06614076,-1.8033843,0.05,0.24346552789211273,2.2007079124450684,1.201335
101,1.6934602,0.56200266,1.0715405,0.49070212,0.46021658,-1.3336992,0.0771266296505928,0.20662976801395416,2.3008034229278564,1.2918388
102,0.49097157,1.7736744,-0.3559541,0.3984591,1.8635938,0.13509387,0.4780970811843872,0.20462566614151,2.2157704830169678,1.1870539
103,2.952104,-0.63406956,-1.7697893,0.39055544,-0.55462724,1.6827033,0.3434268534183502,0.1523205041885376,2.082379102706909,0.95681334
104,2.8685586,-0.7240038,0.17908406,0.31291884,-0.7610422,-0.23642856,0.17959506809711456,0.19591058790683746,2.482241630554199,0.8841847
105,0.7773471,1.4871,2.005339,0.4752797,1.6486337,-2.0886347,0.26227542757987976,0.19794520735740662,2.047903299331665,1.3865794
106,2.4387531,-0.26950806,0.24719198,0.4038684,-0.09467819,-0.31564456,0.07378899306058884,0.2339678406715393,2.0783650875091553,1.4447984
107,1.4431317,0.8212165,-1.1731943,0.39284238,0.8432555,0.9171138,0.22163350880146027,0.16749241948127747,2.0293123722076416,1.3093066
108,2.9234517,-0.84702593,0.92806953,0.39917216,-0.8521737,-1.0852183,0.13670441508293152,0.23101001977920532,2.249720811843872,1.2078792
109,4.1856585,-1.9681058,-0.3693258,0.50719726,-1.9547374,0.10585584,0.1950003206729889,0.18276560306549072,2.279790163040161,1.0348074
110,0.56339,1.7787774,0.33108184,0.4948587,1.6517467,-0.53598523,0.5746830701828003,0.1284319907426834,2.3902816772460938,0.729538
111,3.5712051,-1.1982142,0.21615073,0.39322853,-1.1594874,-0.4104344,0.2040083408355713,0.19796964526176453,2.0512146949768066,1.2746098
112,2.057806,0.11102637,1.3062775,0.35598388,-0.03011785,-1.3966079,0.1057715192437172,0.20758137106895447,2.4654970169067383,0.9608591
113,2.8136368,-0.65124464,1.5573692,0.49507397,-0.67468417,-1.6403459,0.2537272572517395,0.17654310166835785,2.1203792095184326,1.0957903
114,4.5095825,-2.2717125,0.515062,0.3808268,-2.2659533,-0.92024386,0.05,0.18754540383815765,2.25899600982666,1.1366671
115,1.7641653,0.43596286,-1.1475457,0.37655106,0.43343642,0.93254197,0.24630124866962433,0.19089381396770477,2.4717962741851807,0.9710813
116,3.3987556,-1.0777639,-2.0092907,0.5038401,-1.0561384,1.7764636,0.20388242602348328,0.20970207452774048,2.0455801486968994,1.580919
117,1.0987595,1.1311686,-0.96933895,0.40369442,1.2010583,0.81210405,0.05,0.17786525189876556,2.0944206714630127,1.2790519
118,1.1718279,0.9654498,-0.984075,0.44304386,0.90801144,0.8025849,0.08832208067178726,0.21427872776985168,2.5957045555114746,1.1468322
119,3.6760068,-1.4008225,-0.17522326,0.43625453,-1.3612674,-0.14336483,0.24467185139656067,0.12507882714271545,2.1869421005249023,1.0374522
120,4.529242,-2.25873,-2.8812022,0.3822929,-2.4260628,2.8170097,0.23898297548294067,0.19769009947776794,2.406245231628418,1.0553534
121,0.57625896,1.7514379,-0.093041584,0.40105534,1.8337266,-0.082259856,0.1823977828025818,0.1708800494670868,2.033155679702759,1.2630765
122,-0.6303278,2.8541167,-1.0197433,0.4120365,2.8316023,0.7008714,0.3777802884578705,0.14135827124118805,2.6661322116851807,0.7164257
123,-0.42138186,2.6554985,-1.1130005,0.5322717,2.6470845,0.8450456,0.060106389224529266,0.2104233056306839,2.0510902404785156,1.3512027
124,1.7051673,0.42570361,0.25818047,0.32884428,0.42992488,-0.4525184,0.08696486055850983,0.21822954714298248,2.372638702392578,1.0474992
125,1.0246978,1.2644516,-1.1995664,0.45585087,1.2457513,0.8580671,0.10503540188074112,0.21778662502765656,2.2226736545562744,1.33874
126,2.4542577,-0.1816673,0.37439674,0.3039259,-0.17264488,-0.5404469,0.24939434230327606,0.1579219400882721,2.1089084148406982,1.1751821
127,2.38479,-0.13518587,0.2308175,0.51079285,-0.10562065,-0.35318998,0.32593023777008057,0.20237550139427185,2.1747663021087646,1.3031367
128,1.7654648,0.43621975,-0.51182026,0.4218507,0.4212664,0.36051324,0.23437818884849548,0.2113790214061737,2.273983955383301,1.2688795
129,1.4734416,0.722684,-0.6050845,0.37907425,0.68522394,0.35656926,0.05,0.26598405838012695,2.436458110809326,1.7719094
130,5.633518,-3.4567957,-1.5487894,0.28791335,-3.547747,1.1497067,0.06558889895677567,0.22813287377357483,3.411787509918213,0.7554828
131,1.7552457,0.46567485,1.5461309,0.40738204,0.40785196,-1.6166725,0.18191324174404144,0.22984087467193604,2.18099045753479,1.1354381
132,0.8161718,1.4120752,0.60236,0.46041518,1.537727,-0.8098298,0.10175453126430511,0.21762342751026154,2.173354148864746,1.126942
133,2.388386,-0.104715854,-2.164922,0.3324817,-0.20097817,2.0276852,0.2817210853099823,0.22385402023792267,2.5182089805603027,1.0352268
