,posterior_g1,posterior_phi,posterior_sigma,posterior_beta3,posterior_rho
0,2.3493857,0.8103669285774231,0.5548691,5.9670897,0.03432369604706764
1,2.118527,0.8292091488838196,0.38084015,7.2226286,0.017069803550839424
2,2.092026,0.8164464235305786,0.4547868,6.0036693,0.07053294032812119
3,2.0580897,0.7957290410995483,0.4480997,10.80564,0.05
4,2.1629553,0.8328655362129211,0.4327894,6.2159824,0.05783942714333534
5,2.3333008,0.848193883895874,0.3753257,3.2367783,0.2626491189002991
6,2.095171,0.80433589220047,0.4513899,8.767556,0.05
7,2.0883617,0.8305400609970093,0.39302063,9.2331705,0.05
8,2.14026,0.8198574185371399,0.43993044,8.706252,0.05
9,2.0556412,0.8393065333366394,0.42845407,8.176079,0.05
10,2.0001945,0.8401042819023132,0.452953,5.363968,0.10430092364549637
11,1.94394,0.8003010153770447,0.52144015,6.7253175,0.054007552564144135
12,2.0494182,0.7680277824401855,0.49293143,9.580117,0.00368170696310699
13,2.2487264,0.7769550085067749,0.5365475,9.018109,0.05
14,2.2237651,0.8335376977920532,0.4317336,5.0614963,0.09109120815992355
15,2.0237017,0.7327185869216919,0.48622495,7.9724255,0.0154642378911376
16,2.0585647,0.7689745426177979,0.49742442,12.187881,0.05
17,2.1230884,0.7986739873886108,0.42679814,6.3899484,0.05943572521209717
18,2.0790913,0.8197187781333923,0.4632232,7.2112603,0.04049111157655716
19,2.116015,0.8450412154197693,0.38531142,6.777934,0.060980722308158875
20,2.1444519,0.8197261691093445,0.41199672,10.0434675,0.05
21,2.2627468,0.7624329328536987,0.5040852,4.477139,0.13848939538002014
22,2.1214497,0.8371042609214783,0.32251197,5.4804153,0.08985316753387451
23,2.0340683,0.7115761041641235,0.52431357,9.347463,0.05
24,2.2276556,0.757666826248169,0.5063062,6.030292,0.08379249274730682
25,2.1017478,0.7909449338912964,0.49146783,7.3695803,0.029394036158919334
26,2.0958123,0.7806993126869202,0.4102685,5.0191474,0.10755770653486252
27,2.2004666,0.8313091397285461,0.4758927,4.7442684,0.14244091510772705
28,1.8364947,0.8187922239303589,0.52186006,6.14755,0.08022915571928024
29,1.9293598,0.8233435750007629,0.49791366,6.0601153,0.07479427754878998
30,2.0667267,0.7619608044624329,0.46727028,9.393211,0.05
31,2.0055728,0.821013867855072,0.48072568,9.72665,0.05
32,2.0964484,0.7584426999092102,0.481291,8.674265,0.05
33,2.258459,0.7834106087684631,0.47147742,6.42526,0.07391023635864258
34,2.0165417,0.8063197731971741,0.46943128,5.0995336,0.12937882542610168
35,2.0904536,0.7910829186439514,0.45032018,8.812514,0.05
36,2.1736593,0.7825116515159607,0.44438148,8.306757,0.0008295337902382016
37,2.0228438,0.8164886832237244,0.48363644,8.78243,0.004160013515502214
38,2.2646222,0.804662823677063,0.51262444,4.096014,0.18060432374477386
39,1.9173831,0.7946894764900208,0.51298743,8.3738165,0.004157611168920994
40,1.9914132,0.8261922597885132,0.47651836,7.0046954,0.0578095018863678
41,2.2379384,0.8298448324203491,0.45101994,5.609932,0.052767857909202576
42,2.1577842,0.7576981782913208,0.4967691,8.407284,0.004075437318533659
43,2.0622408,0.8004356026649475,0.520833,7.881578,0.05
44,2.2213564,0.8352299928665161,0.43595535,5.1987834,0.12135092914104462
45,2.065513,0.787602424621582,0.5116372,8.542731,0.005014854017645121
46,2.007794,0.7734045386314392,0.46335998,6.2718973,0.09147852659225464
47,2.0042465,0.8073775172233582,0.5716532,8.997966,0.05
48,2.137381,0.8100297451019287,0.51136005,8.142087,0.015377728268504143
49,2.003876,0.8105658292770386,0.43510222,5.8199906,0.08874671906232834
50,2.032425,0.8112776875495911,0.3957834,4.975429,0.13305649161338806
51,2.1496396,0.7890206575393677,0.44323382,9.192754,0.05
52,2.0592809,0.8173592686653137,0.4584616,5.971042,0.09184384346008301
53,2.2160857,0.7996711134910583,0.4515967,4.0673127,0.16856501996517181
54,2.2487917,0.7976246476173401,0.5672752,5.030848,0.13525722920894623
55,2.0502315,0.8171504139900208,0.420562,6.055347,0.06253758072853088
56,2.0859706,0.829160213470459,0.40475714,5.3604436,0.10657929629087448
57,2.1318915,0.8024832606315613,0.43647966,5.2324734,0.11780492216348648
58,2.0498114,0.7583823800086975,0.5096707,6.2301335,0.0737939104437828
59,2.1052,0.8165518045425415,0.38329032,4.893381,0.1351746916770935
60,1.6450518,0.85,0.6197616,13.795905,0.002034454606473446
61,1.9194788,0.8109065890312195,0.4764313,6.723142,0.05015215650200844
62,2.0098207,0.8434236645698547,0.41588813,5.435171,0.12062176316976547
63,2.0238588,0.8147148489952087,0.38828126,5.218134,0.1258339136838913
64,2.0787587,0.7516269087791443,0.5105367,10.450409,0.05
65,2.4020162,0.8038093447685242,0.49905083,6.8702602,0.018755432218313217
66,2.2031019,0.8036426305770874,0.4834584,7.25951,0.012381188571453094
67,2.2495577,0.7267826795578003,0.59659046,8.202917,0.023439183831214905
68,2.1112218,0.81712806224823,0.4117955,6.3899136,0.08089087903499603
69,1.9363111,0.8178985118865967,0.51889926,7.145208,0.03417320176959038
70,2.0793614,0.8236123323440552,0.45785844,8.753386,0.05
71,2.2758644,0.8163620829582214,0.37987885,4.157915,0.17035841941833496
72,2.0273314,0.8090603351593018,0.48945078,8.70534,0.05
73,2.0601025,0.8274377584457397,0.3821187,9.336914,0.05
74,2.1679919,0.8478307723999023,0.34386778,6.5211015,0.040134236216545105
75,2.2516344,0.8286330103874207,0.4503661,6.054531,0.08227510750293732
76,2.124604,0.8248603343963623,0.41604254,5.623338,0.08829095959663391
77,2.4600208,0.8479777574539185,0.6025799,5.8070927,0.09813178330659866
78,2.0695932,0.7924639582633972,0.4328641,5.439529,0.10782887041568756
79,2.045044,0.8072847127914429,0.5060325,7.4721885,0.04118137061595917
