,posterior_g1,posterior_g2,posterior_beta2,posterior_beta1,posterior_beta3,posterior_rho
0,2.1599312,0.07629671,0.05,0.2056325227022171,2.33249831199646,1.044548
1,2.2292082,0.1386983,0.05,0.19567522406578064,2.0276124477386475,1.2024924
2,2.1902356,0.115963325,0.05176631733775139,0.1512805074453354,2.1124346256256104,0.9133658
3,2.274004,0.1539361,0.17804241180419922,0.19235895574092865,2.1950056552886963,1.0849742
4,2.3497872,0.12974188,0.28210678696632385,0.24400943517684937,2.040180206298828,1.303244
5,2.2152562,0.12288671,0.05,0.18868377804756165,2.0616071224212646,1.1756595
6,2.285291,0.11463266,0.05,0.15767371654510498,2.0606014728546143,1.1464177
7,2.0588152,0.1493953,0.05,0.16910088062286377,2.3928604125976562,0.87202626
8,2.242838,0.12753679,0.11825908720493317,0.22688011825084686,2.035342216491699,1.2077116
9,2.2077405,0.1057568,0.05,0.2029692828655243,2.091341018676758,1.0575309
10,2.145005,0.1019772,0.07864347100257874,0.18994610011577606,2.4143149852752686,0.9218989
11,2.151656,0.10941165,0.05,0.22214797139167786,2.4180428981781006,0.96036375
12,2.257627,0.17412302,0.06857649236917496,0.21252591907978058,2.1421170234680176,1.1422781
13,2.2535322,0.09073074,0.0522216334939003,0.18444505333900452,2.093778133392334,1.1238353
14,2.2074661,0.15142167,0.05,0.16867275536060333,1.9779574871063232,1.3297851
15,2.2425158,0.0436107,0.05,0.20771707594394684,2.171206474304199,1.1356739
16,2.2351165,0.1260239,0.05,0.25679388642311096,2.2472219467163086,1.1145257
17,2.2622054,0.08344695,0.05,0.22311250865459442,1.967023491859436,1.2143015
18,2.1190073,0.14127822,0.05,0.19531378149986267,2.415257215499878,0.8876308
19,2.317877,0.077521525,0.06357390433549881,0.23919126391410828,1.9851868152618408,1.3399543
20,2.2196202,0.08939896,0.05,0.2378348410129547,2.0294668674468994,1.2382243
21,2.2305887,0.12461868,0.06061991676688194,0.18955403566360474,2.204617500305176,0.9696311
22,2.2955499,0.12596692,0.15747906267642975,0.20514073967933655,2.095054864883423,1.1692891
23,2.2988791,0.12140466,0.13981424272060394,0.2074275016784668,2.0171031951904297,1.348336
24,2.2314332,0.105657786,0.06521771848201752,0.17682591080665588,2.181028127670288,1.0842112
25,2.167043,0.1371906,0.05,0.1867784857749939,2.231391191482544,0.965746
26,2.273805,0.078911625,0.05,0.20818749070167542,2.1203527450561523,1.1018964
27,2.2470255,0.17724976,0.05,0.21638453006744385,2.06356143951416,1.1915301
28,2.226985,0.13367537,0.05,0.2103370875120163,2.13555645942688,1.1860466
29,2.2759511,0.15372916,0.08988942950963974,0.24807555973529816,2.1558756828308105,1.1945813
30,2.2781093,0.1257065,0.0678340420126915,0.1720641404390335,2.0428810119628906,1.137713
31,2.1095152,0.09981268,0.05,0.22908315062522888,2.1514694690704346,1.0461211
32,2.2124505,0.15796149,0.05,0.2155763953924179,2.2158355712890625,1.1068921
33,2.2277775,0.19255424,0.05,0.18993552029132843,2.0312819480895996,1.0792141
34,2.2015963,0.14712162,0.05,0.18965762853622437,2.0568175315856934,1.1348516
35,2.3304138,0.08829654,0.08540967106819153,0.1678256243467331,2.002502918243408,1.1688735
36,2.2188222,0.082807615,0.05,0.20281203091144562,2.2072784900665283,0.970675
