,posterior_g1,posterior_g2,posterior_phi,posterior_sigma,posterior_beta3,posterior_rho
100,2.269663,0.08742425,0.85,0.008329475298523903,2.411887,2.509839
101,2.12322,0.15809572,0.8316323161125183,0.05,3.9725342,1.7767701
102,2.1493216,0.110836245,0.85,0.024179155007004738,4.554469,1.7678872
103,2.2518985,0.16077249,0.8155429363250732,0.04506014660000801,2.251239,2.5521898
104,2.1231084,0.10174229,0.85,0.006153947673738003,5.0846653,1.4470656
105,2.2281444,0.1346357,0.8479449152946472,0.03227216377854347,2.893503,2.6258142
106,2.1433513,0.10904142,0.85,0.05,5.1006465,1.5255731
107,2.1687725,0.14193447,0.5968025326728821,0.033193476498126984,3.504144,2.0349388
108,2.1976156,0.14004734,0.8193787932395935,0.04504033178091049,3.1947691,2.2467108
109,2.1427503,0.101093225,0.8285791873931885,0.05,4.7243295,1.6433988
110,2.1600046,0.14432515,0.85,0.05,3.7914324,1.8991424
111,2.237556,0.1236639,0.85,0.020223397761583328,2.715886,2.77365
112,2.1190224,0.107515514,0.8319556713104248,0.05,5.2223263,1.5736369
113,2.157345,0.19112036,0.85,0.05,4.2266364,2.5338726
114,2.284036,0.085075036,0.1780480146408081,0.061909712851047516,2.6655924,2.4885914
115,2.167866,0.10973659,0.7057753205299377,0.04513128474354744,4.2063494,2.2611322
116,2.1869893,0.113022186,0.45484092831611633,0.04933134466409683,4.085562,2.1002796
117,2.2636979,0.08819462,0.8356369137763977,0.05,2.5746684,2.788664
118,2.1208153,0.12794094,0.6094746589660645,0.03930988535284996,4.8041005,1.5313177
119,2.1565862,0.13482197,0.789867639541626,0.05,4.005053,1.96956
120,2.2016404,0.09455136,0.85,0.05,4.0913596,1.8128453
121,2.1348221,0.1126647,0.85,0.030439365655183792,4.450386,2.1336346
122,2.154147,0.14616399,0.8246181011199951,0.025138026103377342,4.157324,2.230828
123,2.1451995,0.23070665,0.8132032155990601,0.05,3.728679,2.431565
124,2.1726422,0.10559855,0.85,0.05,3.8856254,1.6926281
125,2.2412672,0.09801983,0.8215441107749939,0.030260391533374786,2.791656,2.5596046
126,2.1975482,0.10559486,0.7075612545013428,0.038097530603408813,3.1336293,1.8796139
127,2.1831036,0.13972344,0.85,0.05,3.6235776,2.1191761
128,2.2192554,0.07021387,0.7207667827606201,0.025019647553563118,3.5109372,2.3471634
129,2.2478857,0.1522601,0.5215608477592468,0.03287733346223831,2.3081934,2.2933862
130,2.234589,0.17304656,0.85,0.05,2.679507,2.6268911
131,2.1771615,0.13390537,0.8392900824546814,0.05,3.929066,2.1786077
132,2.2052493,0.11573078,0.85,0.010302279144525528,3.4521353,2.2015471
133,2.1661503,0.06937903,0.85,0.026691369712352753,4.5720096,2.1207922
134,2.0594385,0.1156675,0.85,0.018569685518741608,6.4009786,1.1919211
135,2.1126518,0.15606238,0.8220971822738647,0.03305058181285858,4.929853,1.5396861
136,2.1707861,0.09983658,0.85,0.021970240399241447,4.518519,1.912213
137,2.20579,0.18212643,0.85,0.05,2.673027,2.2041833
138,2.1628602,0.1377088,0.831899106502533,0.05,4.3310857,1.8841609
139,2.173362,0.13114946,0.85,0.02466958947479725,4.2053003,2.2521837
140,2.1894286,0.11132333,0.7579823732376099,0.05,3.9993088,2.097939
141,2.2858727,0.05299198,0.5838251113891602,0.0638727992773056,2.8064702,2.17501
