,posterior_phi,posterior_sigma,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_g5,posterior_g6,posterior_g7
0,-0.8073254,0.49912015,2.525841,-0.42171612,2.9505417,0.4800391,-0.47833157,-3.1051378,-0.025315236
1,-0.5980139,0.5695013,0.15645859,1.8226469,-1.072027,0.72242033,2.028801,0.74842066,-0.21291532
2,0.21480294,0.98470265,1.4011263,0.7381145,0.06399882,0.36823884,0.7512449,-0.42634603,-0.0039012344
3,0.4158469,0.88548577,2.2429504,0.13911232,-2.4780188,0.4029081,0.19552608,2.1091158,-0.072381094
4,0.18714286,0.92428005,1.176379,1.0853784,-0.30595064,0.37598184,1.0598586,-0.07422015,0.07952435
5,-0.8287552,0.32171884,-0.71361476,2.93342,0.06651262,0.39227507,2.8883762,-0.3914452,-0.028090464
6,0.22111464,0.7694713,0.42453644,1.6597228,-1.8603915,0.43347502,1.5765343,1.6060278,-0.008269636
7,0.45073792,0.9191569,1.6881268,0.57397324,-3.1234572,0.39229017,0.6731127,2.7805104,-0.004245638
8,-0.2843287,0.6102474,3.8613043,-1.6014335,-3.0043633,0.3718856,-1.5798337,2.675825,0.02141699
9,0.80651873,0.6474134,1.253243,0.874251,0.0030526835,0.38473928,0.6927869,-0.26266113,-0.0034454078
10,-0.5323167,0.6374797,2.8886395,-0.7874644,-0.5922701,0.4252826,-0.76697546,0.3184245,0.13437487
11,-0.69696254,0.45535293,1.3673146,0.8457857,0.44311875,0.5361668,0.92149967,-0.80939734,-0.02886018
12,-0.6534362,0.48359194,-0.36528942,2.428774,-1.313267,0.5378826,2.3698816,0.96554834,-0.09052302
13,0.20148121,0.9561142,1.6219999,0.5143065,1.1416954,0.47306222,0.5049704,-1.4374198,0.16460523
14,0.3327118,0.9582908,1.0148883,1.1184999,-0.3320343,0.43164214,1.1333231,0.02922991,0.1528077
15,-0.19886854,0.71635205,0.42487448,1.7903247,-3.5035167,0.48166007,1.7595623,3.2027316,0.048973843
16,-0.07176063,0.8591824,-0.13766597,2.3171892,-0.22623469,0.3936527,2.424186,0.013942759,0.032332547
17,0.20193273,1.0355467,1.4767544,0.7387129,-0.7758552,0.43300775,0.7967988,0.40791354,0.044617113
18,0.23351826,0.66282326,-0.25676936,2.401344,-0.7321665,0.3590642,2.4505973,0.40458235,0.07230331
19,-0.19644518,0.83900976,4.5251904,-2.3754303,-0.022426829,0.5104255,-2.2418358,-0.32915983,0.17595291
20,0.5370431,0.78598166,0.5750117,1.4765831,0.21046445,0.3670542,1.4270061,-0.4052687,0.03546801
21,-0.33693278,0.79109603,0.5621956,1.6482751,-1.4176587,0.39885855,1.7295228,1.198941,0.044612102
22,0.682451,0.8418465,0.09164254,2.0477633,3.73687,0.5697085,2.2380369,-3.8221838,-0.19066823
23,-0.14262202,0.9952275,1.6003987,0.45419177,-0.59996134,0.46924627,0.35352653,0.2415775,0.055137802
24,-0.33787525,0.81323504,-0.9519897,3.241537,-0.81118137,0.50604445,3.0764954,0.5773845,-0.051719554
25,0.18348964,0.61099327,2.760888,-0.46671677,1.3608059,0.43762913,-0.5857686,-1.6101587,0.09670108
26,0.77125686,0.65914977,3.32206,-1.2774259,-2.5450919,0.4895696,-1.3654605,2.155551,0.052862793
27,-0.3076003,0.7377163,-0.0140724,2.1608646,-1.1591481,0.4170025,2.2543316,0.8378884,0.058941834
28,-0.16048972,0.6272646,1.3179816,0.68670696,1.774343,0.44350812,0.6831634,-2.0472536,0.0154042
29,0.14421438,0.71948755,1.1122761,1.1020383,1.8470372,0.4573659,1.1139549,-1.9327976,-0.09284215
30,-0.5541181,0.697406,2.7634776,-0.48114815,1.0851927,0.51723206,-0.54904807,-1.4809107,-0.0038733226
31,0.39092696,0.7521464,1.9146411,0.26000416,1.3137947,0.53828114,0.34417987,-1.6142596,0.06046841
32,-0.18676618,0.7616938,1.4059365,0.7346202,-3.0753167,0.47042462,0.7247767,2.6903565,0.054459702
33,0.7383557,0.6340856,1.2483472,0.9419552,-0.38932624,0.30012354,1.0546063,0.17984882,0.10135357
34,0.37983647,0.88659,2.1261163,0.17188522,2.7234774,0.42180365,0.20221364,-2.800811,-0.0006908519
35,-0.515822,0.63733065,-0.7900553,2.9817407,-0.21662503,0.3616631,3.266558,-0.04170791,0.09667966
36,-0.41201264,0.6794326,-1.0637212,3.4242578,-0.5642121,0.56285304,3.4078054,0.16679367,0.017806247
37,0.55781376,0.90600026,2.460523,-0.28668082,3.079741,0.43010223,-0.17372672,-3.2397575,0.03400039
38,-0.34932616,0.6517756,1.3238801,0.7716737,1.7558322,0.4315256,0.8971573,-1.9963396,0.16997147
39,-0.85,0.39564615,1.4974864,0.80576366,1.6478692,0.37787053,0.89774066,-1.9787729,0.05216434
40,-0.18683681,0.57332397,2.2294867,0.096400194,0.061202746,0.48104298,0.13533819,-0.28204393,0.026747834
