,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_phi,posterior_sigma,posterior_beta3,posterior_rho
0,2.3294287,0.032809474,-0.21175544,0.39122826,0.806024432182312,0.4169382,2.8386313915252686,0.35032278
1,2.3930333,-0.0039066505,-0.15068178,0.43681705,0.7522451877593994,0.58000064,2.767421007156372,0.3390213
2,2.2228155,0.048462782,-0.15227251,0.31612733,0.7708423733711243,0.4223457,3.0300705432891846,0.30682203
3,2.4547668,0.056268282,-0.27147546,0.40061876,0.8392292857170105,0.40853184,2.7090935707092285,0.3480836
4,2.2846327,-0.006522711,-0.22650935,0.3155418,0.7757627964019775,0.5435073,2.891430377960205,0.28877214
5,2.23043,-0.00790175,-0.26424778,0.42673656,0.7289374470710754,0.56100416,3.2082366943359375,0.26723358
6,2.5625472,-0.04006784,-0.22661978,0.34027922,0.8150877356529236,0.5740096,2.53924822807312,0.3412674
7,2.1244936,0.043382052,-0.1428316,0.3645077,0.7301664352416992,0.4413164,3.452470064163208,0.2829313
8,2.4301314,-0.03269045,-0.3463965,0.5280088,0.7810252904891968,0.46235156,2.6929774284362793,0.36043483
9,2.4870617,0.015769886,-0.27456665,0.39663196,0.8312267661094666,0.4704088,2.4155983924865723,0.40686962
10,2.3270097,-0.026346728,-0.1174756,0.44047314,0.8467537760734558,0.3480563,2.578998565673828,0.4443206
11,2.39525,0.11285022,-0.23063259,0.42708597,0.8125343918800354,0.44258568,2.6665937900543213,0.38307568
12,2.332697,-0.06994527,-0.16715388,0.34117636,0.8014194369316101,0.4797057,2.7644903659820557,0.3938088
13,2.4050453,0.017529951,-0.25337383,0.4355968,0.8124749660491943,0.48785746,2.7619285583496094,0.3145968
14,2.4940069,-0.0389329,-0.3279491,0.46542445,0.8005909323692322,0.44771087,2.6978440284729004,0.39555526
15,2.4056294,0.045615982,-0.20530057,0.47566107,0.832208514213562,0.47665742,2.7373733520507812,0.37867922
16,2.2905276,0.025761925,-0.16013597,0.41026083,0.8058326840400696,0.37948877,2.9472854137420654,0.3174997
17,2.6158636,0.031136796,-0.3785794,0.39466625,0.8022531270980835,0.53999704,2.8354110717773438,0.29399046
18,2.4947307,-0.13330203,-0.3018511,0.47099182,0.8208617568016052,0.4258775,2.6704535484313965,0.40719494
19,2.809662,-0.028366921,-0.20627038,0.42464927,0.7891820669174194,0.70003575,2.6943678855895996,0.35590643
20,2.3305151,0.091079265,-0.122884914,0.43994164,0.8440315127372742,0.40822354,2.635896682739258,0.39736485
21,2.533206,0.031186981,-0.22944735,0.45111197,0.7836012244224548,0.62125665,2.5472686290740967,0.40758854
22,2.6026783,0.051608242,-0.32457268,0.48596385,0.777546226978302,0.58307725,2.285714864730835,0.39227533
23,2.3858974,0.0028686062,-0.20768338,0.49225947,0.8164979219436646,0.38865885,2.701319694519043,0.36000493
24,2.497724,0.042836487,-0.16523272,0.4378124,0.7545382380485535,0.63461626,2.5945701599121094,0.3322186
25,2.629884,0.043391425,-0.28491557,0.3769437,0.7695178389549255,0.6747061,2.75445294380188,0.32918888
26,2.4300911,0.063819006,-0.17542058,0.5330386,0.7548389434814453,0.5927843,3.0199108123779297,0.28328538
27,2.594728,0.02004603,-0.1725749,0.41380748,0.7991441488265991,0.6326393,2.2810800075531006,0.33672658
28,2.347282,-0.02111793,-0.1373191,0.4010289,0.85,0.35133168,2.6102049350738525,0.438423
29,2.4183354,0.079708464,-0.35651904,0.343216,0.7991113662719727,0.46624732,2.760141611099243,0.35401434
30,2.7418513,-0.0047959816,-0.32401612,0.39502016,0.7876340746879578,0.53324866,2.535907030105591,0.42324945
31,2.486643,-0.023298334,-0.18865533,0.47249505,0.752949059009552,0.5469004,2.5942201614379883,0.35261697
32,2.332367,-0.017563228,-0.2664432,0.4485234,0.8325212597846985,0.34558356,2.947936534881592,0.34856346
33,2.6070228,0.09214485,-0.2829481,0.3957556,0.8289827704429626,0.6002505,2.7714807987213135,0.33101743
34,2.5050693,-0.0013783168,-0.24296437,0.40724188,0.8051095008850098,0.51325476,2.442171335220337,0.35479406
35,2.4131312,0.012134185,-0.18815824,0.42645422,0.8348897099494934,0.35307276,2.4327950477600098,0.4163193
36,2.3884938,0.07381855,-0.24698922,0.3637118,0.8364220857620239,0.42697704,3.1985530853271484,0.2872936
37,2.7392635,-0.042649455,-0.2824517,0.39492917,0.798640787601471,0.69779843,2.851390838623047,0.29479167
38,2.286789,-0.073853284,-0.30361822,0.42454293,0.6818407773971558,0.5036787,3.3014864921569824,0.25965056
39,2.602645,0.008858677,-0.14190307,0.42026874,0.8458008766174316,0.53167504,2.4039676189422607,0.4423132
40,2.4210925,0.115354575,-0.27671468,0.42219707,0.8040907382965088,0.43689877,2.862771511077881,0.31770843
41,2.4583237,0.017841198,-0.22258228,0.4546224,0.8442513942718506,0.42362535,2.862260580062866,0.3649948
42,2.3259838,-0.02655659,-0.18142097,0.5050378,0.8316811323165894,0.46224433,2.7979085445404053,0.32265073
43,2.6194644,0.045074325,-0.30482394,0.523442,0.8151694536209106,0.5313363,2.6114723682403564,0.38372105
44,2.392061,0.12858325,-0.2117245,0.47022662,0.813287079334259,0.4659197,2.6525564193725586,0.3563654
45,2.3268468,-0.021448687,-0.18320803,0.4034707,0.7586662769317627,0.44422993,2.769432544708252,0.34454718
46,2.2764337,0.070134476,-0.52661425,0.372024,0.7482030391693115,0.44388923,3.910038948059082,0.20034756
47,2.402209,0.017035984,-0.31299648,0.4484635,0.822947084903717,0.3680551,2.5155389308929443,0.3966089
48,2.5217054,0.019969406,-0.3488954,0.36193255,0.8425430655479431,0.44601065,2.4516243934631348,0.39776468
49,2.5873392,0.044327125,-0.19528857,0.3890599,0.8227204084396362,0.6099931,2.3489747047424316,0.44089714
50,2.2673924,-0.028405232,-0.15189858,0.40406257,0.8166679739952087,0.33855087,2.7861127853393555,0.4112394
51,2.497569,0.0047841263,-0.20227666,0.46132785,0.8393880724906921,0.45009482,2.214160442352295,0.43675977
52,2.1778312,2.1506567e-05,-0.18585074,0.4452438,0.7869130373001099,0.36209404,3.030061721801758,0.30027983
53,2.624648,0.040221035,-0.28230572,0.44140843,0.7888486385345459,0.6549482,2.3899574279785156,0.3737008
54,2.388611,0.10192073,-0.229288,0.3537838,0.7888758778572083,0.49645695,2.8508410453796387,0.3274295
55,2.624581,0.05369403,-0.18638946,0.40829623,0.7881061434745789,0.64443713,2.5165886878967285,0.36426768
56,2.6533668,0.019492893,-0.35753632,0.3905477,0.8056684136390686,0.56424236,2.9118757247924805,0.31555977
57,2.537133,0.010879596,-0.21790765,0.4581289,0.8280132412910461,0.5007868,2.47824764251709,0.41929922
58,2.2512794,0.035968278,-0.23891644,0.35707766,0.7518250346183777,0.4367153,3.13722562789917,0.31038034
59,2.5705128,0.019301172,-0.44679776,0.3184421,0.8090124726295471,0.40002015,2.6176929473876953,0.33727655
60,2.5228016,-0.009434858,-0.39881685,0.44011912,0.8393962383270264,0.5363589,2.7428970336914062,0.34782478
61,2.5100217,-0.060251635,-0.28603673,0.41030964,0.7885463833808899,0.54982454,2.86442494392395,0.36052096
62,2.5140188,0.026528321,-0.25266266,0.45151588,0.8291919231414795,0.53235877,2.727259397506714,0.35097745
63,2.400264,0.011053519,-0.24023539,0.38145244,0.78811115026474,0.5353807,2.8876993656158447,0.3539112
64,2.6492434,0.07249261,-0.25304756,0.39466214,0.7745718955993652,0.6860108,2.460019826889038,0.35332885
65,2.468999,0.052090168,-0.2023359,0.36321926,0.8018096685409546,0.47625676,2.7556869983673096,0.35012627
66,2.1818316,0.06175362,-0.3015609,0.48434404,0.6980503797531128,0.45359632,3.6165053844451904,0.23485346
