,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_phi,posterior_sigma,posterior_beta3,posterior_rho
0,2.1970644,0.017359747,-0.15227607,0.44390145,0.2919856011867523,0.04234984517097473,3.630638,2.3300035
1,2.2626069,0.055789806,-0.19622645,0.41990536,0.7077703475952148,0.05,2.83062,2.6513832
2,2.2100973,0.0071647097,-0.25059465,0.43077174,0.5085721611976624,0.05,4.336639,1.9207184
3,2.4057858,-0.067951486,-0.21977757,0.46017176,0.85,0.037668414413928986,2.2384233,2.876312
4,2.2861035,0.034844052,-0.14305297,0.38407835,0.7231015563011169,0.05,2.5329385,2.4929652
5,2.3621178,0.0028687736,-0.19914258,0.35587254,-0.4294528365135193,0.03551454842090607,2.4091237,2.5332778
6,2.2470071,0.1522746,-0.38234428,0.3957637,0.3444356322288513,0.17132604122161865,6.165536,2.639336
7,2.2518766,0.0016962943,-0.12072307,0.38730103,0.85,0.003951332066208124,2.5405023,2.3798416
8,2.2480865,-0.12592523,-0.19212435,0.44440165,0.7091700434684753,0.011827361769974232,3.9911802,1.8560523
9,2.3762,-0.087265156,-0.223227,0.44341433,0.5018401145935059,0.01687665283679962,2.3060915,2.5231335
10,2.2736583,-0.004850747,-0.13649245,0.32634616,0.8475205898284912,0.016720278188586235,3.093439,2.2429452
11,2.3286576,0.022949528,-0.19690557,0.5219082,0.2735288143157959,0.05012227222323418,2.417155,2.5979545
12,2.258617,0.07137057,-0.11347035,0.46076912,0.6603695750236511,0.04001212120056152,2.5743916,2.6978974
13,2.206398,0.00065165665,-0.10974048,0.36820874,0.4647260904312134,0.02479434572160244,3.012023,2.3976152
14,2.3303971,0.06865173,-0.18151864,0.45373154,0.10134506225585938,0.044021207839250565,2.304832,2.2423723
15,2.2282917,0.09523094,-0.14359535,0.33781213,0.814772367477417,0.0014445001725107431,2.967274,2.2259412
16,2.1327653,0.057805557,-0.0866078,0.4075189,0.8107934594154358,0.05,4.325291,2.2411432
17,2.2977118,0.011393636,-0.23251154,0.46079546,0.85,0.05,2.2993398,2.7226212
18,2.2548382,0.0060951053,-0.16822617,0.39104354,0.20285916328430176,0.021133827045559883,3.8170455,2.1380968
19,2.2944689,-0.08721544,-0.19823118,0.395709,0.8288038969039917,0.05,3.3423607,1.9962023
20,2.0712855,-0.019660318,-0.1583493,0.5540612,0.2729833126068115,0.033234722912311554,7.7070932,2.193202
21,2.2199543,0.05466958,-0.1581244,0.26785773,0.85,0.01631462201476097,3.4915788,2.7738357
22,2.1853437,0.04330295,-0.14161408,0.40961862,0.8091261982917786,0.018119066953659058,3.675299,2.71851
23,2.3853881,-0.09303448,-0.0966397,0.4169367,0.13683927059173584,0.040070656687021255,2.062325,2.3998048
24,2.2538743,-0.040761676,-0.16151977,0.43641245,0.85,0.05,3.2290459,2.2523224
