,Absolute Bias,Standard Error,95% CI Length
posterior_phi,0.5051446096040308,0.004587859213352204,1.5600689798593521
posterior_sigma,0.04165911674499512,0.0015680462121963501,0.5631150722503662
posterior_beta3,3.5296621322631836,0.037368443012237545,12.351916253566742
posterior_rho,0.010389894247055054,0.002897655963897705,0.9526367651298642
posterior_g1,0.021148525770446458,0.0011461696028709412,0.44584071040153495
posterior_g2,0.12761825323104858,0.0007344885915517807,0.28890972435474405
posterior_g3,0.12062537670135498,0.0007275942713022232,0.2856581896543503
posterior_g4,0.056917667388916016,0.000871373862028122,0.3394314289093019
