,posterior_g1,posterior_g2,posterior_phi,posterior_sigma,posterior_beta3,posterior_rho
0,2.0394948,0.17239825,0.7149743,0.16100235283374786,2.39406156539917,1.2618103
1,1.859352,0.102036856,0.868697,0.08226171880960464,3.21101975440979,2.3464847
2,2.0082276,0.12707876,0.85963446,0.10582898557186127,2.3863587379455566,1.4146742
3,1.9083128,0.085982315,0.8371982,0.05512585490942001,2.6060357093811035,2.39625
4,1.8979374,0.12580974,0.81378555,0.1156947985291481,2.5294203758239746,2.587092
5,1.9141291,0.13762411,0.8604591,0.0931948572397232,2.4907140731811523,2.521499
6,1.9436144,0.10273925,0.8607383,0.09074746072292328,2.6781930923461914,1.823042
7,2.1103528,0.0912683,0.83942086,0.13483145833015442,2.3256468772888184,1.3599638
8,2.1249077,0.08691774,0.7301452,0.1582021713256836,2.175211191177368,1.4145778
9,1.8896517,0.10550516,0.81221235,0.07884225249290466,3.0315520763397217,1.9523219
10,1.8612269,0.1341156,0.8600255,0.10635104030370712,2.713643789291382,2.732169
11,1.9607342,0.10784177,0.86371666,0.059908676892519,2.3572678565979004,1.5975338
12,2.037038,0.12678479,0.63965166,0.15805023908615112,2.171464681625366,1.4020002
13,1.8782755,0.14582814,0.82058835,0.06398465484380722,2.8685851097106934,1.5973946
14,1.8299217,0.1571332,0.9003119,0.07420200854539871,2.614414930343628,2.9014506
15,2.026167,0.19432883,0.8545684,0.11477824300527573,2.3253421783447266,1.3881243
16,1.9619211,0.21524747,0.8447391,0.0959128886461258,2.650515556335449,1.1096072
17,1.9474479,0.13907842,0.8003953,0.1063004732131958,2.728447914123535,1.2629262
18,2.1494684,0.028768528,0.81838804,0.13422466814517975,2.3520398139953613,1.6839567
19,2.0969737,0.09302546,0.82673997,0.12011008709669113,2.4943556785583496,1.1459292
20,2.0156481,0.17610013,0.8406034,0.11144658923149109,2.258014678955078,1.3495535
21,2.0329287,0.108007334,0.8665947,0.07711605727672577,2.495342493057251,1.2641467
22,1.9212248,0.088380486,0.83680975,0.10440410673618317,2.854952096939087,2.1754692
23,1.9404557,0.19945554,0.8654185,0.07409457862377167,2.5657219886779785,1.3978679
24,2.0723464,0.18759553,0.6829932,0.153199702501297,2.3131802082061768,1.2110484
25,2.066902,0.1187522,0.8386084,0.10995092242956161,2.2772154808044434,1.4038136
26,2.0329943,0.122850746,0.8597936,0.08848947286605835,2.375561475753784,1.3796031
27,2.0543327,0.11461574,0.86394185,0.11059486865997314,2.3655316829681396,1.3421615
28,2.0595715,0.09092789,0.7818501,0.16139519214630127,2.4652891159057617,1.3924809
29,2.111636,0.07176361,0.80080324,0.15748240053653717,2.3380911350250244,1.6626215
30,2.0555646,0.16928819,0.78710836,0.15142467617988586,2.375037670135498,1.3618622
31,2.0476751,0.10611277,0.76237595,0.16991634666919708,2.3490207195281982,1.872791
32,2.243694,0.021357499,0.77201444,0.14716564118862152,2.2234067916870117,1.6570623
33,2.0308414,0.06513995,0.8797369,0.08510815352201462,2.418086528778076,1.5528395
34,1.9843265,0.123062275,0.90109265,0.0324706993997097,2.4167728424072266,1.2285032
35,1.9867456,0.07938171,0.8313846,0.10518113523721695,2.7491934299468994,1.3203714
36,2.240084,0.087170266,0.45294195,0.0972948670387268,2.046565294265747,1.4142084
37,2.085702,0.10888742,0.8811229,0.09657880663871765,2.195774793624878,1.6149918
38,1.9289659,0.1037301,0.8392937,0.08941185474395752,2.646819591522217,1.4571422
39,2.1309018,0.1359817,0.7145252,0.1632009595632553,2.2850615978240967,1.3452299
40,2.0674431,0.13204192,0.80060035,0.12311618775129318,2.273042678833008,1.5283796
41,1.9270407,0.1428998,0.8498981,0.10787143558263779,2.667004346847534,1.6633332
42,1.9182022,0.055204876,0.7902895,0.0951814129948616,2.7153754234313965,2.8094022
43,1.9472817,0.0909234,0.8748499,0.06626670062541962,2.7030577659606934,1.6787834
44,2.0601966,0.036951415,0.7686076,0.13669386506080627,2.5647599697113037,1.2426031
45,1.9081863,0.058799,0.8571333,0.06324879825115204,2.8862547874450684,2.2741396
46,1.8276666,0.12893452,0.9019555,0.06297019869089127,3.2174201011657715,2.8967898
47,1.9620336,0.18118452,0.846456,0.1276174634695053,2.52899169921875,1.8064637
48,2.199011,0.15067725,0.7867724,0.15147800743579865,2.109251022338867,1.502341
49,2.0450816,0.16098917,0.75796497,0.16645340621471405,2.099212884902954,1.3953454
50,1.9718167,0.08422611,0.8487379,0.08829028904438019,2.990156650543213,1.4037701
51,2.0634823,0.06178892,0.8485614,0.10459145158529282,2.3721697330474854,1.3329384
52,1.9342012,0.1858138,0.8573112,0.09778650850057602,2.6154062747955322,1.5312966
53,1.9455543,0.11975844,0.8088592,0.09430409967899323,2.6637909412384033,1.5604526
54,2.0556653,0.14662638,0.789156,0.14285092055797577,2.552030324935913,1.40768
55,1.9307716,0.14166267,0.8395015,0.10043132305145264,2.368823766708374,1.9836118
56,2.028636,0.04594585,0.8761542,0.07615279406309128,2.6365413665771484,1.3273866
57,2.0124896,0.09250838,0.81300694,0.1238478422164917,2.5671093463897705,1.5584066
58,2.2101843,0.11115295,0.60868585,0.19372789561748505,2.1671478748321533,1.8335053
59,2.0211499,0.08951707,0.83897674,0.09892161190509796,2.3668088912963867,1.2936535
60,2.1272156,0.11054754,0.8381132,0.12811581790447235,2.2320802211761475,1.7660189
61,1.9998671,0.18968096,0.7747225,0.1482877880334854,2.4436140060424805,1.3009969
62,2.0723383,0.16838703,0.85046417,0.12649810314178467,2.351501941680908,1.4001819
63,2.1237338,0.1292996,0.83865887,0.09949075430631638,2.1771368980407715,1.4403391
64,2.014006,0.12908427,0.8553699,0.09842099249362946,2.187288761138916,1.445726
65,1.8968647,0.115853995,0.90120167,0.02856518141925335,3.018719434738159,1.8844924
66,2.0539896,0.062215388,0.8917267,0.05589660257101059,2.330724000930786,1.1871715
67,2.122918,0.031576864,0.8565062,0.10795523226261139,2.4683151245117188,1.287255
68,2.059541,0.08636558,0.84678346,0.10184435546398163,2.359793186187744,1.2395604
69,1.8918253,0.15512854,0.822929,0.11130435764789581,3.097651243209839,1.4802268
70,1.9071456,0.097085856,0.86892617,0.08790946751832962,2.9537899494171143,2.2211378
71,2.1024837,0.1005663,0.8094958,0.12229309976100922,2.3493854999542236,1.2986051
72,2.0704174,0.19545722,0.84574234,0.10607854276895523,2.5124588012695312,0.99940366
73,1.9625175,0.12530969,0.88015074,0.03399854525923729,2.686297655105591,1.2951576
74,1.9583076,0.12759031,0.7889646,0.10922998934984207,2.6401658058166504,1.7006457
75,2.170199,0.040895995,0.88408166,0.045248933136463165,2.257138729095459,1.3245836
76,2.133896,0.0988426,0.83105,0.1204131469130516,2.2956721782684326,1.4119911
77,2.0432637,0.16105187,0.8294224,0.12343127280473709,2.3749637603759766,1.2143289
78,2.054307,0.1519714,0.8832482,0.04945608228445053,2.4090332984924316,1.1503512
79,2.1839628,0.10063814,0.7885247,0.1554434448480606,2.18637752532959,1.6953826
80,2.1522067,0.07421693,0.6958284,0.16809314489364624,2.320094585418701,1.4689887
81,2.0817087,0.065605015,0.7964594,0.13413693010807037,2.5098605155944824,1.2298396
82,1.9518802,0.1313866,0.8203901,0.08546537160873413,2.663256883621216,1.7072037
83,2.011432,0.108072825,0.8437042,0.13444940745830536,2.503275156021118,1.4169966
84,2.012936,0.1632667,0.80174917,0.13805091381072998,2.4834067821502686,1.2527386
85,2.0231283,0.09487729,0.84680206,0.12571890652179718,2.443967342376709,1.4002401
86,1.8824042,0.13959564,0.77349025,0.12132105976343155,2.7096524238586426,2.63322
87,2.162073,0.026886038,0.7365413,0.16050751507282257,2.2732620239257812,1.5632823
88,2.2090228,0.10635433,0.78971976,0.11848225444555283,2.351196527481079,1.3956898
89,1.9133687,0.12254023,0.82574934,0.07957881689071655,2.5586588382720947,1.7034446
90,2.1533878,0.016599568,0.8316496,0.11841660737991333,2.1391172409057617,1.515157
91,1.9382544,0.14037135,0.80374897,0.11533607542514801,2.4589123725891113,1.9210528
92,1.9457614,0.09954646,0.83599114,0.09844649583101273,2.5744681358337402,1.7337756
93,2.035849,0.061067346,0.6991018,0.1478630006313324,2.420720338821411,1.4228575
94,1.9021745,0.112752736,0.8763267,0.08105368912220001,2.473400592803955,2.0555208
95,2.075046,0.13941388,0.86125046,0.07524045556783676,2.3443875312805176,1.2033112
96,2.0597892,0.12209631,0.8458027,0.12254412472248077,2.3643128871917725,1.2709954
97,2.0283716,0.12966467,0.8327176,0.11770381033420563,2.4763031005859375,1.1905863
98,1.7610282,0.11710483,0.91168857,0.04867352917790413,4.089632034301758,2.8988516
99,2.1092925,0.06832273,0.8148853,0.12359653413295746,2.3665523529052734,1.2547879
100,1.9979283,0.046365835,0.8191472,0.10537629574537277,2.714315414428711,1.4818853
101,2.1755195,0.0157494,0.8545956,0.11999726295471191,2.300367593765259,1.30833
102,1.7492213,0.1618881,0.9297549,0.029611296951770782,4.164696216583252,2.862273
103,1.9200156,0.11701721,0.8098702,0.07557877153158188,2.5684688091278076,1.7017764
104,2.0679264,0.09765947,0.8209656,0.12351543456315994,2.4515202045440674,1.3201667
105,2.1161008,0.10746235,0.8680793,0.07327693700790405,2.123229742050171,1.4770721
106,2.1043918,0.09917165,0.8763288,0.11064638942480087,2.2840137481689453,1.4114231
107,1.9578744,0.14255539,0.854394,0.06855495274066925,2.8957667350769043,1.149802
108,1.9317144,0.06805661,0.8276907,0.08346216380596161,2.747307300567627,2.1325788
109,2.0159607,0.16037105,0.84039235,0.1348460614681244,2.4378502368927,1.4485232
110,1.7775892,0.17411818,0.8857189,0.09782379865646362,3.5134923458099365,2.893452
111,1.7694607,0.2172423,0.92021525,0.03992429003119469,3.448178768157959,2.6261358
112,1.8662583,0.097782865,0.8160134,0.09234902262687683,2.972696542739868,2.392114
113,2.2027326,0.090721026,0.8313349,0.11598213762044907,2.0765724182128906,1.5749211
114,1.9846535,0.13403477,0.8464999,0.1114853248000145,2.7051098346710205,1.2937043
115,1.8235406,0.1266939,0.9119375,0.02168344147503376,3.212508201599121,2.5070624
116,1.9523398,0.22440019,0.86392695,0.10316551476716995,2.414999485015869,1.1953067
117,1.9882632,0.08393661,0.76556045,0.11458633840084076,2.6951441764831543,1.443635
118,1.9994991,0.114461765,0.8140969,0.13317671418190002,2.660891056060791,1.4723185
119,1.9267977,0.15433685,0.8361161,0.08196921646595001,2.710844039916992,1.2777375
120,2.0231924,0.16528632,0.8633861,0.10758282989263535,2.2519147396087646,1.3212919
121,2.2004018,0.14242023,0.7296998,0.16412471234798431,2.2147209644317627,1.5246487
122,1.9058578,0.1482039,0.807605,0.09306332468986511,2.5947537422180176,1.7900265
123,2.0748827,0.12912066,0.86973363,0.10067056119441986,2.4143049716949463,1.284289
124,2.2093394,0.045147352,0.8014978,0.11302195489406586,2.3242602348327637,1.1741863
125,2.015924,0.143836,0.84671694,0.10019501298666,2.5778510570526123,1.2170889
126,2.0927725,0.010300725,0.88296646,0.11087602376937866,2.274226665496826,1.5722106
127,1.9109284,0.13558918,0.8386463,0.06903082877397537,2.713153839111328,1.6968225
128,1.9201125,0.13061787,0.7488317,0.14735667407512665,2.652181386947632,2.2730396
129,1.8607318,0.21114145,0.8909121,0.011344026774168015,2.6924538612365723,1.6643124
130,2.125991,0.05325509,0.7871736,0.11978540569543839,2.404634714126587,1.1612562
131,1.9799931,0.091427244,0.8404052,0.11968004703521729,2.3819456100463867,1.8090214
132,2.1369758,0.054315396,0.7681403,0.16031339764595032,2.409708023071289,1.8966302
133,1.9749233,0.109818436,0.834791,0.11016682535409927,2.4669387340545654,1.8058223
134,2.1656287,0.12438099,0.8010512,0.13300226628780365,2.122846841812134,1.4657886
135,1.9994452,0.08311666,0.79288673,0.1143120527267456,2.4497861862182617,1.5109589
136,1.9135077,0.14771931,0.8262023,0.09838772565126419,2.6938304901123047,1.6232946
137,2.0182521,0.08750869,0.83027536,0.10738720744848251,2.5708389282226562,1.4242868
138,2.073184,0.09355518,0.87004346,0.08228864520788193,2.248445749282837,1.3776087
139,2.1112893,0.10358043,0.8472334,0.10019854456186295,2.1495606899261475,1.442045
140,1.9901953,0.20615545,0.88412344,0.04434758424758911,2.5647926330566406,1.0367188
141,2.001205,0.19999006,0.8904224,0.07043097168207169,2.62152361869812,1.110505
142,2.0005298,0.1296521,0.8883484,0.06519072502851486,2.44858980178833,1.354997
143,1.946593,0.12158258,0.83206403,0.07936874032020569,2.9242348670959473,1.12095
144,1.8368124,0.11836498,0.9095211,0.028192808851599693,2.734924077987671,2.8737798
145,1.8977605,0.16193566,0.82848686,0.11074677109718323,2.970468044281006,1.9017824
146,1.8695996,0.19531666,0.8912324,0.06954538822174072,2.5674550533294678,1.850728
147,2.0577264,0.10274534,0.8528521,0.10596466809511185,2.2522871494293213,1.4306959
148,1.9876925,0.17219046,0.7910687,0.10839088261127472,2.4214677810668945,1.174233
149,2.156098,0.11162831,0.8071965,0.11687829345464706,2.1389687061309814,1.4256291
150,1.8194673,0.12931365,0.88614815,0.06315254420042038,2.893406629562378,2.4926043
151,1.9830207,0.09417803,0.7486238,0.14571908116340637,2.4576704502105713,1.8388945
152,2.0448506,0.1450714,0.6745238,0.1930464208126068,2.325299024581909,1.4691582
153,2.2100096,0.09621561,0.81961125,0.10186180472373962,2.1157262325286865,1.3513476
154,1.8981637,0.14382759,0.86388326,0.08160454034805298,2.38677716255188,2.2545793
155,2.1420004,0.11521857,0.71518487,0.19887813925743103,2.187845468521118,1.9301788
156,2.1537564,0.113251366,0.72852963,0.15944428741931915,2.2386960983276367,1.6743338
157,2.016037,0.17513932,0.79471797,0.1564665287733078,2.4129626750946045,1.3068419
158,2.075363,0.040624946,0.6220485,0.19226136803627014,2.589902639389038,1.5702449
159,2.1085646,0.13439578,0.77560854,0.14546480774879456,2.26948881149292,1.4878803
160,1.9617009,0.19742419,0.8604046,0.09502549469470978,2.1914737224578857,1.5042886
161,1.9832311,0.04306368,0.77187335,0.13035601377487183,2.672685384750366,1.9231488
162,1.8912725,0.19530733,0.8434989,0.10416650772094727,2.678865909576416,2.1599908
163,1.9891948,0.1317357,0.86029893,0.05766572803258896,2.58748722076416,1.2056637
164,2.0393379,0.114135504,0.8732328,0.10136424005031586,2.2844951152801514,1.482173
165,1.9431472,0.18121465,0.89615595,0.045164138078689575,2.642547607421875,1.2523824
166,1.9376814,0.1731212,0.8494959,0.11188142746686935,2.8198816776275635,1.3953731
167,2.1401534,0.114902355,0.8351204,0.11848526448011398,2.376887798309326,1.4729705
168,2.1143184,0.10606142,0.81391555,0.14697706699371338,2.219630002975464,1.3989023
169,2.1457067,0.034374043,0.85192823,0.09520019590854645,2.0446391105651855,1.6307716
170,1.883708,0.13327163,0.81959516,0.08215079456567764,3.0218653678894043,2.0254772
171,2.0378575,0.16165063,0.8004072,0.11647400259971619,2.414001941680908,1.2411736
172,1.9673659,0.18810655,0.85106367,0.08728092163801193,2.0295321941375732,1.3958528
173,2.041181,0.054665364,0.8296104,0.09075772017240524,2.2304763793945312,1.5690186
174,2.160234,0.005132023,0.8049793,0.12251506000757217,2.1660609245300293,1.6640157
