,posterior_phi,posterior_sigma,posterior_g1
0,0.705286,0.79424864,2.1235576
1,0.80424106,0.927019,2.4543116
2,0.7425863,0.96633315,2.322999
3,0.6119651,1.0224208,2.0640464
4,0.7782378,0.9436821,2.2066746
5,0.7810014,0.8783677,1.9512405
6,0.6249737,0.9581637,2.1750443
7,0.7071324,1.0042005,1.9962152
8,0.6405573,0.9549844,2.0514135
9,0.7097558,0.947117,1.8804628
10,0.8014366,0.99945784,2.208159
11,0.7216835,1.0072845,2.4229765
12,0.7323106,0.7787292,1.8574638
13,0.6757238,0.84018964,2.0103333
14,0.7084138,1.0197546,2.211274
15,0.7222215,0.97871697,2.0990982
16,0.6522266,0.90454763,2.2299383
17,0.76796204,0.8485592,2.1931121
18,0.7387666,0.8991804,2.1729364
19,0.6981094,0.9292244,2.4008615
20,0.7779638,0.9353446,2.289666
21,0.7141374,0.91431344,2.2312417
22,0.5529808,0.8811866,1.9281019
23,0.6666213,0.8478078,1.9962854
24,0.6741922,0.95186317,2.1459157
25,0.7456119,0.9502015,2.27646
26,0.7166527,0.92870146,2.2269802
27,0.6412199,0.870103,2.2331245
28,0.7413338,0.9823294,2.3530664
29,0.7237474,0.8915267,2.1715949
30,0.7393349,0.8303301,2.069878
31,0.60430306,1.0434324,2.2344213
32,0.70538086,1.0022734,2.1095743
33,0.63933396,1.041299,2.2926369
34,0.6679218,0.9109195,2.193892
35,0.58188546,0.89308614,2.2844653
36,0.65039974,0.9165183,2.1782444
37,0.62903124,1.0386561,2.0326464
38,0.6777661,0.98117876,2.067138
39,0.64278746,0.89932686,2.4516861
40,0.69589436,0.9452926,2.109047
41,0.64817625,0.8857596,1.9235733
42,0.7372358,1.02684,2.2078843
43,0.669467,0.8862278,2.2953124
44,0.67598575,0.82370424,1.9032412
45,0.8588378,0.94154185,2.5052414
46,0.59811014,0.96545273,2.13594
47,0.6814633,0.9810446,1.9273592
48,0.6731442,0.9150199,2.154967
49,0.6918291,1.0067582,2.4827673
50,0.74632525,0.91982925,2.3558176
51,0.65644497,0.9748847,1.9668075
52,0.6910828,0.9457497,2.1750531
53,0.70843107,0.8974828,1.8795388
54,0.66919535,0.9872113,2.1838048
55,0.5904154,0.9463779,2.1292708
56,0.6876385,0.82712305,2.0980337
57,0.59261495,0.8888205,2.358907
58,0.6498692,1.0571973,2.1307385
59,0.77054626,0.90513957,2.0767734
60,0.67463535,0.9090768,2.1667023
61,0.6555866,0.9346948,2.1295676
62,0.6369552,0.878065,2.2974715
63,0.7264208,0.88001645,2.3410616
64,0.6410637,0.9257844,2.1990523
65,0.75098026,0.9531038,2.106173
66,0.6875635,0.9018283,2.2145145
67,0.7016388,0.85820115,2.1505418
68,0.65221065,0.8887404,2.2130058
69,0.75014156,0.9736595,2.4891644
70,0.593676,0.8867,1.9207993
71,0.66169757,0.8901371,1.9148496
72,0.70481545,0.96379566,1.9491748
73,0.7516444,0.82158417,1.9755591
74,0.725656,1.0214815,2.3014553
75,0.6554688,0.9622002,2.271943
76,0.6945971,0.9789213,2.1384182
77,0.73538375,0.84957874,2.215613
78,0.6706848,0.8297611,1.9899464
79,0.7400544,0.88217103,2.1993701
80,0.68128395,0.81356895,2.060228
81,0.6155685,0.9290606,2.0512211
82,0.67131114,0.87052107,2.2152302
83,0.6976333,0.82722545,2.0394394
