,posterior_phi,posterior_sigma,posterior_g1,posterior_g2,posterior_g3,posterior_g4
68,-0.6679308,0.35781226,2.051614,0.03412156,-0.17122968,0.27481875
69,-0.8485927,0.28351918,2.2465715,-0.037400763,-0.19653565,0.36035657
70,-0.6761283,0.3334194,2.034903,0.0001132918,-0.045278016,0.21708371
71,-0.6416194,0.34219941,2.1562142,0.035833932,-0.19106552,0.3698642
72,-0.94078237,0.24308218,2.1948981,-0.027093217,-0.09178403,0.24290465
73,-0.59637153,0.345474,1.917707,0.03988996,-0.1441319,0.34549597
74,-0.6938643,0.344515,2.3563657,-0.16966586,-0.15258479,0.4056547
75,-0.63863444,0.3291287,2.0458887,0.0028206194,-0.283202,0.52529675
76,-0.57038236,0.35860252,2.0724227,0.022343868,-0.14023106,0.3425249
77,-0.6735215,0.32335854,2.3572133,-0.041575707,-0.19128431,0.37138638
78,-0.7790426,0.2901529,2.1644454,0.037392356,-0.10451399,0.19449277
79,-0.7263277,0.3456133,2.0601256,-0.03635409,-0.13600454,0.31061605
80,-0.7706747,0.2952043,2.2860444,-0.09115722,-0.07947486,0.24898005
81,-0.7476392,0.3125475,2.0408015,0.07766351,-0.057451043,0.15067512
82,-0.7758386,0.28859714,2.1966903,-0.02072439,-0.24222468,0.43365008
83,-0.69364256,0.32623345,2.172345,0.0017974088,-0.14486636,0.30658346
84,-0.7603212,0.32351488,1.9278901,0.14985962,-0.07337029,0.19630194
85,-0.6080982,0.35590675,2.2507389,-0.0881548,-0.07151095,0.25263524
86,-0.8447378,0.26381904,2.238401,-0.12553413,-0.16779226,0.41949064
87,-0.897638,0.23589352,2.153443,-0.046964232,-0.12939602,0.3359171
88,-0.68677956,0.34193724,2.0950038,-0.09559032,-0.26154667,0.4120576
89,-0.67730445,0.3084313,2.1604576,0.03066205,0.0035443136,0.15237966
90,-0.7929384,0.28948286,2.1003888,-0.009650687,-0.20948586,0.3577897
91,-0.73327494,0.29529798,2.332862,-0.1266968,-0.2073297,0.38965473
92,-0.81404936,0.27796856,1.8960688,0.07378847,-0.13603069,0.2800599
