,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_g5,posterior_phi,posterior_sigma,posterior_beta3,posterior_rho
47,2.525528,-0.17905271,-0.18918222,0.33642486,0.07312733,0.8346345,0.48899624,3.286808,0.40275347
48,1.5621849,0.6917615,-0.13545293,0.19303101,0.7441022,0.84867465,0.5075059,3.5036423,0.34141344
49,3.096408,-0.8439106,-0.16389,0.20811047,-0.7988132,0.84948343,0.49396273,3.5873525,0.30438736
50,0.08097729,2.119415,-0.1766778,0.3630589,2.2932873,0.84231,0.40628272,3.33596,0.40746987
51,1.5745335,0.7704309,-0.23625308,0.30998787,0.8374386,0.8520339,0.5157879,3.6902516,0.3343533
52,3.0327096,-0.64586186,-0.14763546,0.25022256,-0.597583,0.83633417,0.43579787,3.6713972,0.33945256
53,-0.07256871,2.408582,-0.22622187,0.2859626,2.3534436,0.8454,0.45294398,3.7163596,0.33935797
54,2.5651798,-0.35504183,-0.25228688,0.3149224,-0.2446963,0.82613367,0.4669553,3.8649542,0.2783136
55,0.6770804,1.8169953,-0.21785285,0.31709656,2.0048566,0.84673774,0.4785763,3.2513742,0.41966122
56,1.5535703,0.5526769,-0.215135,0.3662556,0.7470063,0.8490029,0.464736,3.8059928,0.30222166
57,2.8030722,-0.5600542,-0.1333793,0.28174394,-0.5384019,0.8223949,0.5338858,3.3204775,0.3855614
58,1.7321211,0.64153343,-0.1947016,0.32468674,0.6343688,0.85339534,0.48732173,3.2049885,0.42281336
59,0.20094515,2.0663297,-0.1257259,0.22478755,2.1599548,0.8437978,0.4786132,3.5672352,0.37483472
60,1.279788,0.8329895,-0.121491455,0.25152874,0.9015746,0.8420668,0.45737758,4.211949,0.25873566
61,2.4851975,-0.30737573,-0.12473024,0.21566334,-0.2409662,0.83298516,0.53527784,3.6012805,0.31189477
62,1.6992663,0.56939596,-0.20494136,0.31746817,0.6266294,0.85052615,0.49166116,3.3547046,0.3741419
63,2.5125945,-0.14781,-0.15306495,0.31273738,-0.11028311,0.8076735,0.56606,3.544052,0.3715492
64,2.0317307,0.09913063,-0.18010722,0.40069222,0.09327643,0.8467773,0.49746364,3.701477,0.32824835
65,0.43323946,1.6773996,-0.105919145,0.2026915,1.7073324,0.85130125,0.41821948,3.1535065,0.3972781
66,2.212893,0.009035118,-0.18216407,0.28721756,0.026457729,0.83815604,0.4852069,3.7927358,0.33459562
67,2.4655604,-0.26572528,-0.18281484,0.21735752,-0.2751137,0.85067505,0.47745028,3.531661,0.3391383
68,-0.8063805,3.0847092,-0.14382116,0.2707775,3.2578504,0.8279128,0.44055185,3.7366097,0.33101237
69,1.6616987,0.57174015,-0.1997275,0.31437898,0.55903006,0.8596743,0.48202953,3.9535701,0.30491087
70,2.0343044,0.081915714,-0.21439679,0.38781765,0.25723794,0.81403613,0.5024479,3.7575066,0.31739005
71,2.700633,-0.56840897,-0.18114558,0.28252926,-0.45042714,0.8444101,0.45854986,3.476656,0.35116094
72,0.08291819,2.0828717,-0.2483761,0.295228,2.0097008,0.8521538,0.39433846,3.3740878,0.3727557
73,1.6955621,0.5369348,-0.2022635,0.29371452,0.646971,0.8313962,0.50392973,3.7259443,0.36006957
74,1.359766,1.004008,-0.20834929,0.43688667,1.1103175,0.7986325,0.5425974,3.8457649,0.29148084
75,1.8201827,0.51103663,-0.22793563,0.30763075,0.50555176,0.8266738,0.49414834,3.5638685,0.34276825
76,2.2609692,0.029676799,-0.1731214,0.2745006,0.19512635,0.85045326,0.54579294,3.3350298,0.34910566
77,1.3559334,1.050777,-0.18137468,0.36195642,1.0786839,0.79613614,0.5388635,3.8409643,0.2796946
78,2.5604057,-0.20949699,-0.18941739,0.18702489,-0.20872974,0.85629773,0.44436508,3.2180903,0.40140253
79,-0.084157735,2.6068528,-0.18078332,0.22836298,2.9160755,0.84226334,0.5141335,3.120297,0.3304716
80,-0.13231748,2.2398236,-0.15275623,0.26755702,2.224646,0.8447824,0.46944934,3.6292834,0.34907958
81,2.6421142,-0.39667556,-0.14562428,0.38512826,-0.24642251,0.84156656,0.4646858,3.16482,0.41047803
82,1.3001007,0.8888376,-0.12217675,0.24421842,1.0021428,0.81685454,0.5475659,3.6628876,0.30586657
83,2.3245757,0.012201742,-0.17552266,0.33203784,0.009879749,0.8688659,0.46495914,3.2408814,0.40039852
84,-1.3313968,3.761317,-0.09184419,0.16426043,3.6329546,0.8422249,0.41899788,3.0862787,0.41480762
85,1.5175725,0.70725095,-0.14010523,0.27022138,0.64114195,0.849599,0.4249003,4.0361886,0.30130324
86,4.3016467,-1.6413959,-0.1656652,0.24330266,-1.5980579,0.8510757,0.47299495,3.0460622,0.40921238
87,0.366481,1.9617045,-0.15701325,0.2968214,2.1011548,0.8441635,0.47706094,3.685432,0.34262237
88,-0.22146775,2.6016188,-0.10451113,0.26820406,2.4752364,0.8334369,0.5397818,3.8726296,0.2848883
89,0.043915376,2.2559981,-0.10325178,0.20731072,2.2547166,0.84935653,0.46509066,3.051625,0.42921486
90,1.681599,0.9809416,-0.21999921,0.39309016,0.9892501,0.8389413,0.45667848,3.5710459,0.34692678
91,0.11644176,2.2557743,-0.1756776,0.36195236,2.447783,0.84608096,0.4620935,3.9009893,0.2912358
92,1.233886,1.0635108,-0.1850016,0.31115383,1.1323388,0.781787,0.6225188,3.724644,0.34809333
93,0.38614854,1.7542475,-0.23769699,0.34127918,1.7946935,0.8288503,0.50316894,3.689163,0.3026961
94,2.5517545,-0.4018046,-0.09795496,0.29680544,-0.29256073,0.7956954,0.57843566,3.6772666,0.30025646
95,3.008818,-0.6970172,-0.197851,0.2696402,-0.5351966,0.8409325,0.46965814,3.3910208,0.33859226
96,-0.31686932,2.2314525,-0.22371359,0.20732193,2.3681018,0.8440213,0.30924794,3.7444253,0.26926962
