,posterior_g1,posterior_g2,posterior_g3,posterior_phi,posterior_sigma,posterior_beta3,posterior_rho
0,2.0446458,0.07440064,0.08869475,0.7328263,0.14296174049377441,2.243605613708496,1.5823821
1,2.0432563,0.056039035,0.11663942,0.78531694,0.13106144964694977,2.3191893100738525,1.2055373
2,2.3253472,0.078066565,0.07558406,0.1858038,0.12533167004585266,2.0,1.5490484
3,2.2279236,0.08656658,0.005738447,0.4847534,0.1849016398191452,2.2432010173797607,1.3773413
4,2.0962992,0.035293806,0.09127662,0.8641366,0.1070687398314476,2.409090280532837,1.4584699
5,2.23048,0.14067173,0.036313828,0.7870217,0.12461498379707336,2.0147318840026855,1.5728341
6,1.9369974,-0.030729324,0.12844987,0.7995007,0.10382811725139618,2.5907492637634277,2.1005454
7,1.8587373,0.0892356,0.1712968,0.8462857,0.09877624362707138,2.5806477069854736,1.981884
8,2.128937,0.016677806,0.10423978,0.88610256,0.08201097697019577,2.1867363452911377,1.3983217
9,2.139812,0.06923341,0.037102412,0.77940583,0.17111122608184814,2.2701332569122314,2.1598458
10,2.1306777,0.11373297,0.08751252,0.8313876,0.10751783847808838,2.128815174102783,1.5150881
11,2.0769343,0.083080016,0.09014736,0.8484172,0.1129334345459938,2.385232925415039,1.1735413
12,2.1420894,0.10094088,0.12282304,0.70315295,0.1362038105726242,2.195307970046997,1.3099701
13,1.9247057,0.18661074,0.15153083,0.8691118,0.047042734920978546,2.435006618499756,0.9708801
14,2.187514,0.06211898,0.0817202,0.8546621,0.09415146708488464,2.20530104637146,1.3163284
15,2.2691894,0.06417889,0.038950276,0.5702881,0.20095354318618774,2.0679266452789307,1.8720024
16,2.1334605,0.04709424,0.058483392,0.8159008,0.13074937462806702,2.358989953994751,1.2710238
17,2.2483418,0.06676672,0.04999845,0.87814057,0.06056701019406319,2.083313226699829,1.4825872
18,2.1116426,0.10010684,0.077054076,0.86213505,0.08998668193817139,2.231457233428955,1.2583342
19,2.168794,0.124319665,0.13782673,0.8486994,0.07036128640174866,2.0537853240966797,1.4212337
20,2.318611,0.11854921,0.041682936,0.5037239,0.12038369476795197,2.0458502769470215,1.57682
21,2.1318483,0.1439542,0.16087319,0.8777202,0.032140351831912994,2.1640217304229736,1.1254178
22,2.209346,0.087686054,0.0702125,0.6057888,0.19011887907981873,2.1625781059265137,1.7827535
23,2.0661933,0.09597932,0.07651537,0.7042066,0.18193839490413666,2.2989001274108887,1.3821714
24,2.041924,0.08146713,0.11459493,0.7788475,0.12481793761253357,2.5765976905822754,0.9845337
25,2.090937,0.15261443,0.058497462,0.82943285,0.10061392933130264,2.1453583240509033,1.2650408
26,2.0924368,-0.04883743,0.12727901,0.88082254,0.06923064589500427,2.3601627349853516,1.1861355
27,2.035718,0.106791615,0.035410576,0.75020957,0.15588191151618958,2.2803683280944824,1.5598713
28,2.387054,-0.008335634,0.08739769,0.6040196,0.1526915729045868,2.0054633617401123,1.4129294
29,2.0556197,0.06910987,0.1391602,0.8269691,0.0726989209651947,2.2890379428863525,1.4223858
30,2.243086,0.040197387,0.05593457,0.8379679,0.12060045450925827,2.055992841720581,1.6648769
31,2.163969,0.047027066,0.07691381,0.790492,0.104976586997509,2.055457830429077,1.5641248
32,1.94151,0.13949488,0.1529819,0.8605747,0.03994989022612572,2.1738743782043457,1.049001
33,2.1242855,0.11272866,0.05774794,0.85801893,0.06734788417816162,2.308913230895996,1.1623098
34,2.3279183,-0.020808943,0.04093305,0.8446799,0.11090505123138428,2.0792317390441895,1.6633427
35,2.166319,-0.027800957,0.13838547,0.83182293,0.08797625452280045,2.1197102069854736,1.3009595
36,2.1923063,0.07492856,0.03300362,0.7716486,0.13301709294319153,2.1137642860412598,1.6753153
37,2.0622556,0.003128986,0.15423378,0.84674865,0.1014903336763382,2.2403087615966797,1.109832
38,2.0590155,0.03602061,0.060737487,0.8355622,0.11257337778806686,2.221703290939331,1.4564673
39,2.2194827,0.025871381,0.013464699,0.87576777,0.055468153208494186,2.2821433544158936,1.3262373
40,2.2295806,0.1174464,0.06464399,0.7437967,0.11593268811702728,2.1169912815093994,1.5045645
41,2.243685,0.0057669817,0.053546846,0.8524965,0.08896411955356598,2.0695912837982178,1.451938
42,2.145289,0.06307262,0.10253101,0.7924814,0.1385539323091507,2.1105916500091553,1.714287
43,2.2626977,0.07284909,-0.009326698,0.81843114,0.10429685562849045,2.1236464977264404,1.5769924
44,2.3175275,-0.024057275,0.13975056,0.7230419,0.1326519250869751,2.035130739212036,1.7015707
45,1.8972051,0.08657876,0.14360227,0.87353176,0.022464608773589134,2.4500420093536377,1.4834596
46,2.239687,0.11230905,0.05773891,0.75744224,0.12361843883991241,2.007138967514038,1.5867783
47,2.20259,0.07288196,0.09016914,0.8853898,0.03988685458898544,2.016716718673706,1.3617418
