,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_g5,posterior_g6,posterior_beta2,posterior_beta1,posterior_beta3,posterior_rho
0,3.023431,-0.91624254,-1.0128745,0.21080041,-1.0049573,0.85070217,0.7962528,0.06585163623094559,3.7741169929504395,0.54430383
1,1.1686238,0.94865936,-0.5450381,0.20310998,0.9297429,0.5315009,1.1814132,0.07837361842393875,4.395498275756836,0.38128674
2,2.0075855,0.09433421,-1.1006777,0.13667691,0.07234725,0.97912705,0.79891956,0.07083307206630707,3.749202013015747,0.5557844
3,-0.6169598,2.4902432,1.6205266,0.18654095,2.5804644,-1.621891,0.70348644,0.03847561776638031,3.633240222930908,0.5200839
4,3.5330298,-1.2316873,0.8802132,0.21269993,-1.3339058,-0.91760904,1.1654669,0.06745246052742004,3.671942710876465,0.45183873
5,1.7803413,0.22108173,-0.92048365,0.22595982,0.45735908,0.959689,0.9192188,0.05,3.484882116317749,0.4699634
6,3.3999424,-1.4440247,-0.41927356,0.23942707,-1.4469881,0.46617967,0.83175975,0.04876261204481125,3.552682399749756,0.54507357
7,0.5379548,1.5692079,-1.1203601,0.07549617,1.6584203,1.1143613,0.930781,0.05,4.148504734039307,0.30462155
8,2.9663723,-0.8571316,-2.171042,0.11953186,-0.86669356,2.1786263,1.073833,0.060009121894836426,4.285539627075195,0.38404116
9,0.78454316,1.3422699,0.5736818,0.2389043,1.4340175,-0.6329232,1.1002381,0.06700742244720459,4.287894248962402,0.42335314
10,0.51872915,1.6276845,0.68912625,0.271291,1.6560965,-0.7489067,1.1294669,0.07815702259540558,4.012373447418213,0.41786167
11,1.6164476,0.52588236,0.42073435,0.21864301,0.49719745,-0.42569533,1.2963789,0.05,4.802083969116211,0.26431867
12,0.08693219,1.7941853,-1.5438418,0.16681886,2.1578505,1.5117421,0.34357253,0.008443422615528107,2.865905284881592,0.66593856
13,2.7053256,-0.65982705,1.1387067,0.21901725,-0.7132477,-1.0723372,0.8068672,0.04977937042713165,3.3137052059173584,0.6285287
14,0.86269385,1.2617754,-0.6422752,0.3047207,1.3744115,0.72588116,1.0265539,0.05,3.2396700382232666,0.45993492
15,1.862997,0.32268393,-0.10640766,0.115382716,0.25671408,0.017114474,1.0414722,0.0744018480181694,4.197892189025879,0.3958391
16,1.5673558,0.37421784,2.3333335,0.33566123,0.52621394,-2.4644654,0.8837207,0.062288548797369,3.47487473487854,0.57732964
17,2.9906654,-0.912708,-0.3279676,0.32246318,-0.88791776,0.30559662,1.1985016,0.05172009393572807,3.8114101886749268,0.39432904
18,0.37704563,1.6426771,-0.5441948,0.39262062,1.8028778,0.5594143,1.0123781,0.05,3.5350706577301025,0.4731086
19,2.2535794,-0.3741522,0.71180254,0.1313894,-0.21924493,-0.6042534,0.6515748,0.039730846881866455,3.6217870712280273,0.521868
20,1.4188133,0.7372351,-1.2296791,0.22888333,0.7391102,1.1224034,1.1803788,0.05055107921361923,4.596505165100098,0.2777092
21,1.9335634,0.04396602,1.8575267,0.13904499,0.02679271,-1.9550656,0.6935232,0.025175640359520912,3.518575668334961,0.5872158
22,0.05649408,2.1536267,-2.9669883,0.018175615,2.1560764,3.0206506,1.1193193,0.05,4.400521755218506,0.25452977
23,2.1463354,0.087011926,-0.89150596,0.04271291,0.027819421,0.9314315,1.179582,0.04265346750617027,4.402952194213867,0.29792437
24,2.1712751,-0.114900105,-1.4754287,0.23428182,-0.09039758,1.50746,0.98099005,0.059255387634038925,3.6559314727783203,0.48115274
25,1.9853446,0.09720641,-1.3203305,0.19568945,0.14259303,1.3130704,1.0398746,0.03592721000313759,4.543659210205078,0.34282207
26,0.6311427,1.5850719,-3.269753,0.118274964,1.6059186,3.3064265,1.1987873,0.061976268887519836,4.145440101623535,0.38380498
27,1.2457204,0.9810849,-1.051691,0.3161354,0.9753946,0.9936907,1.2426862,0.04969502240419388,4.02894401550293,0.40989769
28,1.0737554,0.9609441,-1.3902725,0.17334656,1.0413996,1.1442797,0.59087265,0.040220409631729126,3.6009817123413086,0.5544184
29,0.178704,1.8647846,2.114444,0.27978987,1.9503856,-2.0789435,1.018832,0.041768644005060196,3.6591925621032715,0.4347472
30,0.40063298,1.6140772,2.3992095,0.09985172,1.6374488,-2.6153266,0.3939506,0.04408034309744835,3.962315320968628,0.49448258
31,0.39809817,1.6449105,-0.61151385,0.20227456,1.6446959,0.57166815,0.9772254,0.025008633732795715,4.156003952026367,0.35152254
32,1.6984509,0.34882125,-1.8153906,0.08500312,0.4336993,1.9211478,0.96533066,0.05,4.108773231506348,0.33239344
33,1.1736345,0.7860914,0.23910753,0.20642577,0.7182676,-0.16220842,0.76204526,0.0430469736456871,3.754302501678467,0.5319497
34,1.9819951,0.2087888,-0.6227411,0.20070209,0.19424763,0.5229637,1.0015318,0.04224705323576927,4.7150139808654785,0.33732036
35,2.9793687,-0.8024754,1.5380193,0.36888394,-0.8936375,-1.8789332,0.5328181,0.04742314666509628,2.7403392791748047,0.76898146
36,1.1569926,1.0797365,0.7789417,0.05957894,0.9979643,-0.7938609,1.0926672,0.05894405394792557,4.198790073394775,0.3978997
37,1.1026936,0.9569111,-2.3317115,0.28516877,1.0008825,2.2117312,1.0559207,0.052605949342250824,4.030660152435303,0.46179646
38,1.2354277,0.90156204,0.9810378,0.21017556,1.1382972,-1.0748425,1.0601114,0.05,3.2602901458740234,0.4778478
39,0.27408287,1.904469,0.960499,0.2549921,1.8547175,-0.99145484,1.0414829,0.049764856696128845,4.308452129364014,0.3729642
40,2.2629166,-0.3735903,-0.5184515,0.114992425,-0.3464778,0.5361443,0.5772012,0.05735761672258377,4.610266208648682,0.49305236
41,0.91048473,1.3264792,-0.67607075,0.050381977,1.3054124,0.8366641,1.2328963,0.05,3.3633644580841064,0.43786868
42,1.2286738,0.8576532,1.4600792,0.13664787,0.88728684,-1.4790317,0.96186465,0.040777213871479034,4.533297538757324,0.33899656
43,2.0085106,-0.024881782,1.7019606,0.36301488,0.1607719,-1.8304573,0.91697073,0.06167732924222946,3.803752899169922,0.4344755
44,1.1020846,1.0012629,1.9124713,0.17077267,0.97572756,-2.002536,1.0701758,0.05,4.567600727081299,0.27247214
45,3.7385817,-1.51008,3.1526701,0.2613287,-1.5221932,-3.2706738,1.1027539,0.05505402013659477,3.557645320892334,0.47061563
46,2.1936018,-0.096476376,-2.0277548,0.15491042,-0.026840996,2.0441678,1.1138177,0.05200060456991196,4.061418533325195,0.42291275
47,3.721683,-1.6159053,1.6178908,0.005317331,-1.7560456,-1.6693252,0.57005525,0.055406004190444946,3.1985437870025635,0.57592624
48,1.2313471,0.7979012,-2.9408147,0.24760169,0.9675731,2.8001957,0.9565156,0.058829084038734436,4.3586039543151855,0.45672938
